#DESCRIPCIÓN FUNCIONAL ,CÓDIGO FUNCIONAL,CÓDIGO ECONÓMICO,FECHA,TERCERO,f,g,DESCRIPCIÓN,IMPORTE PAGO
Administración General.                 ,9200,22200,2017-01-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONIA FIJA DICIEMBRE                                                                                                                                                      ,2083.14
Promoción y fomento del deporte.        ,3410,22100,2017-01-09,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ DICIEMBRE                                                                                                                                                                 ,975.81
Escuelas infantiles                     ,3231,22100,2017-01-09,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ DICIEMBRE                                                                                                                                                                 ,995.99
Parques y jardines                      ,1710,22100,2017-01-09,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ DICIEMBRE                                                                                                                                                                 ,1186.37
Funcionamiento de centros docentes de en,3232,22100,2017-01-09,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ DICIEMBRE                                                                                                                                                                 ,2210.65
Administración General.                 ,9200,22100,2017-01-09,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ DICIEMBRE                                                                                                                                                                 ,4399.55
Alumbrado público.                      ,1650,22100,2017-01-09,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ DICIEMBRE                                                                                                                                                                 ,24585.69
Parques y jardines                      ,1710,22100,2017-01-09,IBERDROLA COMERCIALIZADORA ULTIMO                                                         ,RECURSO SAU                             ,,GASTO ALUMBRADO DICIEMBRE                                                                                                                                                           ,28.16
Administración General.                 ,9200,22100,2017-01-09,IBERDROLA COMERCIALIZADORA ULTIMO                                                         ,RECURSO SAU                             ,,GASTO ALUMBRADO DICIEMBRE                                                                                                                                                           ,36.3
Alumbrado público.                      ,1650,22100,2017-01-09,IBERDROLA COMERCIALIZADORA ULTIMO                                                         ,RECURSO SAU                             ,,GASTO ALUMBRADO DICIEMBRE                                                                                                                                                           ,3775.89
Parques y jardines                      ,1710,21000,2017-01-10,TELEFONICA MOVILES                                                                        ,,,GASTO TELEFONO MOVIL ENERO                                                                                                                                                          ,23.98
Promoción y fomento del deporte.        ,3410,22200,2017-01-10,TELEFONICA MOVILES                                                                        ,,,GASTO TELEFONO MOVIL ENERO                                                                                                                                                          ,24.2
Escuelas de música                      ,3261,22200,2017-01-10,TELEFONICA MOVILES                                                                        ,,,GASTO TELEFONO MOVIL ENERO                                                                                                                                                          ,25.37
Escuelas infantiles                     ,3231,22200,2017-01-10,TELEFONICA MOVILES                                                                        ,,,GASTO TELEFONO MOVIL ENERO                                                                                                                                                          ,28.78
Consultorios y centros de salud         ,3121,22200,2017-01-10,TELEFONICA MOVILES                                                                        ,,,GASTO TELEFONO MOVIL ENERO                                                                                                                                                          ,38.68
Policía Local                           ,1321,22200,2017-01-10,TELEFONICA MOVILES                                                                        ,,,GASTO TELEFONO MOVIL ENERO                                                                                                                                                          ,54.03
Promoción cultural                      ,3340,22200,2017-01-10,TELEFONICA MOVILES                                                                        ,,,GASTO TELEFONO MOVIL ENERO                                                                                                                                                          ,62.79
Órganos de gobierno.                    ,9120,22200,2017-01-10,TELEFONICA MOVILES                                                                        ,,,GASTO TELEFONO MOVIL ENERO                                                                                                                                                          ,62.87
Funcionamiento de centros docentes de en,3232,22200,2017-01-10,TELEFONICA MOVILES                                                                        ,,,GASTO TELEFONO MOVIL ENERO                                                                                                                                                          ,66.3
Alumbrado público.                      ,1650,21900,2017-01-10,TELEFONICA MOVILES                                                                        ,,,GASTO TELEFONO MOVIL ENERO                                                                                                                                                          ,77.38
Parques y jardines                      ,1710,22200,2017-01-10,TELEFONICA MOVILES                                                                        ,,,GASTO TELEFONO MOVIL ENERO                                                                                                                                                          ,89.88
Servicio Social de Base                 ,2311,22200,2017-01-10,TELEFONICA MOVILES                                                                        ,,,GASTO TELEFONO MOVIL ENERO                                                                                                                                                          ,125.7
Administración General.                 ,9200,22200,2017-01-10,TELEFONICA MOVILES                                                                        ,,,GASTO TELEFONO MOVIL ENERO                                                                                                                                                          ,132.02
Otros servicios de bienestar comunitario,1690,22200,2017-01-10,TELEFONICA MOVILES                                                                        ,,,GASTO TELEFONO MOVIL ENERO                                                                                                                                                          ,138.66
Órganos de gobierno.                    ,9120,22200,2017-01-10,TELEFONICA MOVILES                                                                        ,,,GASTO TELEFONO MOVIL ENERO                                                                                                                                                          ,223.14
Gestión del sistema tributario.         ,9320,22706,2017-01-13,COMUNIDAD FORAL DE NAVARRA (ECONOMIA                                                      ,Y HACIENDA)                             ,,8 HOJAS VALORACION CATASTRAL PARCELA BRITISH                                                                                                                                        ,9.6
Parques y jardines                      ,1710,22799,2017-01-18,ADAXKA S.L.                                                                               ,,,ASISTENCIA MES DE DICIEMBRE HUERTOS                                                                                                                                                 ,1394.53
Promoción cultural                      ,3340,22606,2017-01-18,ADNOT                                                                                     ,,KARINE                        ,"CLASES FRANCES INICIACION 35€ 16,5 HORAS DICIEMBRE                                                                                                                                  ",577.5
Funcionamiento de centros docentes de en,3232,21200,2017-01-18,ALBA TRATAMIENTOS DE HIGIENE SL                                                           ,,,DESINFECTACION Y DESRATIZACION CP URIZ                                                                                                                                              ,293.43
Otros servicios comunitarios y sociales ,2399,21200,2017-01-18,ALBA TRATAMIENTOS DE HIGIENE SL                                                           ,,,DESINFECTACION Y DESRATIZACION CAF                                                                                                                                                  ,293.43
Escuelas infantiles                     ,3231,21200,2017-01-18,ALBA TRATAMIENTOS DE HIGIENE SL                                                           ,,,DESINFECTACION Y DESRATIZACION GUARDERIA SARRIGUREN                                                                                                                                 ,316.9
Escuelas infantiles                     ,3231,21200,2017-01-18,ALBA TRATAMIENTOS DE HIGIENE SL                                                           ,,,DESINFECTACION Y DESRATIZACION GUARDERIA GORRAIZ                                                                                                                                    ,316.9
Funcionamiento de centros docentes de en,3232,21200,2017-01-18,ALBA TRATAMIENTOS DE HIGIENE SL                                                           ,,,DESINFECTACION Y DESRATIZACION CP JOKIN LIZARRAGA                                                                                                                                   ,762.91
Parques y jardines                      ,1710,22199,2017-01-18,ALDAZ ECHARRI S.A.                                                                        ,,,88 KG CORRUGADO DE 8 MM                                                                                                                                                             ,85.18
Promoción cultural                      ,3340,22606,2017-01-18,ANALISIS DE LOS CUERPOS EN MOVIMIENTO                                                     ,,,DANZAS  DICIEMBRE 2016 ADULTOS Y NIÑOS                                                                                                                                              ,70
Parques y jardines                      ,1710,21400,2017-01-18,AROZ-BERRI SA                                                                             ,,,ARREGLO ENCHUVE Y SOLTAR LATIGILLOS DE NIVELADORA JARDINES                                                                                                                          ,40.79
Parques y jardines                      ,1710,21400,2017-01-18,ARRE MOTOR S.A.                                                                           ,,,CBIIO DE FRENOS Y SUSTITUIR ZAPATAS EN NISSAN CABSTAR JARDINES                                                                                                                      ,554.51
Parques y jardines                      ,1710,21400,2017-01-18,ARRE MOTOR S.A.                                                                           ,,,"ARREGLO AVERIA,CBIO MOTOR ARRANQUE,CLAUSOR  VEH 0225CZF JARDINES                                                                                                                    ",1064.91
Parques y jardines                      ,1710,22199,2017-01-18,"ARTE VERDE NAVARRA, S.L                                                                   ",,,25 CUPRESSOCYPARIS LEYLANDII                                                                                                                                                        ,118.75
Administración General.                 ,9200,22770,2017-01-18,ASESORIA LABORAL RUIZ-PIQUER SL                                                           ,,,SERVICIO ASESORIA LABORAL DICIEMBRE                                                                                                                                                 ,1165.23
Servicio Social de Base                 ,2311,22002,2017-01-18,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,12 CARTUCHOS OFICINAS  Y SSB                                                                                                                                                        ,42.73
Escuelas de música                      ,3261,22199,2017-01-18,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,IMPRESORA HP ESCUELA MUSICA                                                                                                                                                         ,113.44
Administración General.                 ,9200,22002,2017-01-18,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,12 CARTUCHOS OFICINAS  Y SSB                                                                                                                                                        ,193.53
Promoción de la igualdad efectiva entre ,2391,22706,2017-01-18,ASOCIACION ARAN ARAN                                                                      ,,,REPRESENTACION ACCION MATRIOSHKA EL 13/ 11 ACTOS CONTRA VIOLENCIA GENERO                                                                                                            ,700
Bibliotecas públicas.                   ,3321,22199,2017-01-18,AUZOLAN LIBURUDENDA                                                                       ,,,8 LIBROS BIBLIOTECA                                                                                                                                                                 ,115.08
Bibliotecas públicas.                   ,3321,22199,2017-01-18,AUZOLAN LIBURUDENDA                                                                       ,,,30 LIBROS BIBLIOTECA                                                                                                                                                                ,450.15
Promoción cultural                      ,3340,22750,2017-01-18,BELEN ALVAREZ DISTRIBUCION Y GESTION DE                                                   ,,,CUENTACUENTOS  EL ESPERITU DE LA NAVIDAD 29/12                                                                                                                                      ,363
Promoción de la igualdad efectiva entre ,2391,22706,2017-01-18,CANON COPIADORAS DE NAVARRA S.L.                                                          ,,,5241 COPIAS COLOR Y 6278 B/N SSB 10/11-22/12 INC COPIAS IGUALDAD                                                                                                                    ,73
Otros servicios comunitarios y sociales ,2399,22000,2017-01-18,CANON COPIADORAS DE NAVARRA S.L.                                                          ,,,RENOVAR CONTRATO MANTENIMI COPIADORA CAF                                                                                                                                            ,145.2
Servicio Social de Base                 ,2311,22000,2017-01-18,CANON COPIADORAS DE NAVARRA S.L.                                                          ,,,5241 COPIAS COLOR Y 6278 B/N SSB 10/11-22/12 INC COPIAS IGUALDAD                                                                                                                    ,340.05
Servicio Social de Base                 ,2311,22000,2017-01-18,CANON COPIADORAS DE NAVARRA S.L.                                                          ,,,13403 COPIAS IMPRESORA SSB 23/09 A 10/11 (FIN 353559-3730-171276-10731)                                                                                                             ,350.32
Funcionamiento de centros docentes de en,3232,63200,2017-01-18,CARPINTERIA EGÜÉS S.L.                                                                    ,,,2 ARMARIOS PUBLICITARIOS CP                                                                                                                                                         ,931.7
Promoción cultural                      ,3340,22606,2017-01-18,"CHURIO MARCEN,AMAYA Y GARCIA MURILLO                                                      ",MARIA JULIANA                           ,,3 MESES CURSO DE REPOSTERIA INCLUYENDO LOCAL OCTUBRE A DICIEMBRE                                                                                                                    ,1080
Transporte público.                     ,4411,22730,2017-01-18,"COMPAÑIA NAVARRA DE AUTOBUSES, S.A.                                                       ",CONDA                                   ,,TRANSPORTE CONDA DICIEMBRE                                                                                                                                                          ,3812.3
Parques y jardines                      ,1710,22104,2017-01-18,"CONFEIRUÑA, S.L.                                                                          ",,,"BOTAS,CAMISETA TERMICA,GUANTES JUANTXO JARDINES                                                                                                                                     ",114.76
"Urbanismo: planeamiento, gestión, ejecuc",1510,60900,2017-01-18,CONSTRUCCIONES J. M. SENOSIAIN SL                                                         ,,,SUSTITUIR CESPED POR PAVIMENTO DE ADOQUIN EN CAMINO ARDANAZ  GORRAIZ                                                                                                                ,14999.98
"Urbanismo: planeamiento, gestión, ejecuc",1510,60900,2017-01-18,CONSTRUCCIONES NOVELETA SL                                                                ,,,REPARAR CAMINO LEKU EDER A ELCANO                                                                                                                                                   ,13993.65
Limpieza viaria.                        ,1630,22709,2017-01-18,"CONTENEDORES IRUÑA, S.L.                                                                  ",,,SERVICIO CONTENEDORES SEPTIEMBRE                                                                                                                                                    ,327.8
Participación ciudadana.                ,9240,64100,2017-01-18,DE PAR EN PAR                                                                             ,,,CONTRATO ASISTENCIA REDACCION  INSTRUCCION CALUSULAS SOCIALES Y AMBIENTALES                                                                                                         ,4840
Promoción y fomento del deporte.        ,3410,21200,2017-01-18,DELTADEC                                                                                  ,,,SUMINISTRO+COLOCACION ESMERILADO IMPRESO PUERTAS POLIDEPORTIVOS SARRIGUREN Y OLAZ                                                                                                   ,193
Parques y jardines                      ,1710,22199,2017-01-18,DENDA BRICOLAJE S.L.                                                                      ,,,"GRIFO, 9 ASPERSOR, ESCUADRA JARDINES                                                                                                                                                ",163.25
Administración General.                 ,9200,22602,2017-01-18,DIARIO DE NAVARRA                                                                         ,,,PUBLICIDAD MODIF PLAN PARCIAL SECTOR 1 ELCANO Y PMU ARDANAZ                                                                                                                         ,1266.27
Administración General.                 ,9200,22602,2017-01-18,DIARIO DE NOTICIAS                                                                        ,,,PUBLICIDAD MODIF PLAN PARCIAL SECTOR 1 ELCANO Y PMU ARDANAZ                                                                                                                         ,1118.04
Administración General.                 ,9200,22000,2017-01-18,DIEZ DE ULZURRUN                                                                          ,SAGALA                                  ,ENRIQUE                       ,"TRADUCCION BASE CONVOCATORIA TRAB.FAMILIAR, CONCURSO ESCAPARAT Y COM.INDUSTRIA                                                                                                      ",10.53
Empleo social protegido                 ,2419,22706,2017-01-18,DIEZ DE ULZURRUN                                                                          ,SAGALA                                  ,ENRIQUE                       ,"TRADUCCION BASE CONVOCATORIA TRAB.FAMILIAR, CONCURSO ESCAPARAT Y COM.INDUSTRIA                                                                                                      ",43.56
Servicio Social de Base                 ,2311,16200,2017-01-18,DIEZ DE ULZURRUN                                                                          ,SAGALA                                  ,ENRIQUE                       ,"TRADUCCION BASE CONVOCATORIA TRAB.FAMILIAR, CONCURSO ESCAPARAT Y COM.INDUSTRIA                                                                                                      ",239.58
Escuelas de música                      ,3261,22000,2017-01-18,"DINAFAX, S.L.                                                                             ",,,9.372 COPIAS IMPRESORA ESC MUSICA (FIN 202.838) 30/09 A 19/12                                                                                                                       ,102.06
Administración General.                 ,9200,22000,2017-01-18,"DINAFAX, S.L.                                                                             ",,,9.537 COPIAS BN IMPRESORA PLANTA 1 (FIN 399792) 23-11 A 20-12                                                                                                                       ,103.85
Policía Local                           ,1321,21400,2017-01-18,EGEA                                                                                      ,OLANO                                   ,JESUS MARIA                   ,CAMBIO 4 RUEDAS VEHICULO DACIA POLICIAS                                                                                                                                             ,500.12
Parques y jardines                      ,1710,21000,2017-01-18,ELECTRICIDAD KESMA S.L.                                                                   ,,,REPARACION BOMBA RIEGO                                                                                                                                                              ,1066.78
Participación ciudadana.                ,9240,62900,2017-01-18,"ELKAR COMEDIAS, S.L.                                                                      ",,,267 LIBROS BIBLIOTECA                                                                                                                                                               ,4142.86
Promoción cultural                      ,3340,22750,2017-01-18,ELKARKIDE                                                                                 ,,,BUZONEO FOLLETO PUBLICIDAD CAMPAÑA NAVIDAD                                                                                                                                          ,75.19
Euskera                                 ,3350,22799,2017-01-18,ELKARKIDE                                                                                 ,,,BUZONEO FOLLETO PUBLICIDAD CAMPAÑA NAVIDAD                                                                                                                                          ,75.19
Promoción de la igualdad efectiva entre ,2391,22706,2017-01-18,ELKARKIDE                                                                                 ,,,BUZONEO FOLLETO PUBLICIDAD CAMPAÑA NAVIDAD                                                                                                                                          ,75.2
Promoción y fomento del deporte.        ,3410,22740,2017-01-18,ELKARKIDE                                                                                 ,,,BUZONEO FOLLETO PUBLICIDAD CAMPAÑA NAVIDAD                                                                                                                                          ,75.2
Desarrollo empresarial.                 ,4330,21000,2017-01-18,ENTIDAD DE CONSERVACIÓN PLAN PARCIAL EGU                                                  ,,,GTOS MANTENIMIENTO PARCELAS POL EGUA 4º TRIM                                                                                                                                        ,2205.97
Alumbrado público.                      ,1650,63900,2017-01-18,ESOAL INGENIERIA                                                                          ,,,PROYECTO 50% DE RENV.ALUMB.PUBL. LED                                                                                                                                                ,7751.56
Promoción y fomento del deporte.        ,3410,48200,2017-01-18,ESTADIO REYNO DE NAVARRA                                                                  ,FUNDACION OSASUNA                       ,,COLABORACION FUNDACION OSASUNA TEMP 16-17(JGL10/4)                                                                                                                                  ,150
Escuelas de música                      ,3261,21200,2017-01-18,EURO-SERVHI                                                                               ,,,3 CONTENEDORES HIGIENICOS ESCUELA MUSICA DIC-FEB                                                                                                                                    ,44.55
Escuelas infantiles                     ,3231,21200,2017-01-18,FERRETERIA BERRIAINZ                                                                      ,,,ESCALERA MADERA COLEGIO+TAMBOR+LLAVES+CLAVIJAS                                                                                                                                      ,4.67
Administración General.                 ,9200,21200,2017-01-18,FERRETERIA BERRIAINZ                                                                      ,,,ESCALERA MADERA COLEGIO+TAMBOR+LLAVES+CLAVIJAS                                                                                                                                      ,17.29
Funcionamiento de centros docentes de en,3232,21200,2017-01-18,FERRETERIA BERRIAINZ                                                                      ,,,ESCALERA MADERA COLEGIO+TAMBOR+LLAVES+CLAVIJAS                                                                                                                                      ,212.19
Otros servicios de atencion social      ,2318,22104,2017-01-18,FISIO MEDICA ACTUAL SL                                                                    ,,,5 BATAS SEÑORA TRABAJADORAS SOCIALES                                                                                                                                                ,167.77
Otros servicios de atencion social      ,2318,22199,2017-01-18,FISIO MEDICA ACTUAL SL                                                                    ,,,COLCHON+BARANDILLA+PEDALIER+ASIDERO SAD                                                                                                                                             ,505.36
Promoción y fomento del deporte.        ,3410,22740,2017-01-18,FUNDACION REMONTE EUSKAL JAI BERRI                                                        ,,,FESTIVAL DE REMONTE OLAZ 26/12                                                                                                                                                      ,2057
Parques y jardines                      ,1710,22199,2017-01-18,GARCIA                                                                                    ,ERRO                                    ,MIGUEL ANGEL                  ,BATERIA COCHE+PANEL ANUNCIO+2 ENLACES ALUMINIO+AZADA+PANTALLE FLUORESCENTE                                                                                                          ,786.29
Parques y jardines                      ,1710,22199,2017-01-18,GARCIA                                                                                    ,ERRO                                    ,MIGUEL ANGEL                  ,5 RODILLERAS PROFESIONALES+50 PILAS+HILO DESBROZADORA+MASILLA SELLADO+3 AZADAS+PASTOR ELECTRICO+MANGUERA EXTENSIBLE                                                                 ,2798.4
Administración General.                 ,9200,22601,2017-01-18,GARDEN                                                                                    ,,,CENTRO FLORAL FALLECIMIENTO PADRE ISABEL IGAL                                                                                                                                       ,78.65
"Urbanismo: planeamiento, gestión, ejecuc",1510,22760,2017-01-18,"GESTION AMBIENTAL DE NAVARRA, S.A.U.                                                      ",,,"INFOMES PARA LIC ACT ESP 4D CONCEJO,PESCADERIAS Y MESON EGUES                                                                                                                       ",574.75
Euskera                                 ,3350,22799,2017-01-18,GRAFICAS ALZATE                                                                           ,,,"FOLLETO PROGRAMA NAVIDAD ACTIVIDADES EUSK,CULT,DEP,IGUALDAD                                                                                                                         ",263.59
Promoción cultural                      ,3340,22750,2017-01-18,GRAFICAS ALZATE                                                                           ,,,"FOLLETO PROGRAMA NAVIDAD ACTIVIDADES EUSK,CULT,DEP,IGUALDAD                                                                                                                         ",263.59
Promoción de la igualdad efectiva entre ,2391,13100,2017-01-18,GRAFICAS ALZATE                                                                           ,,,"FOLLETO PROGRAMA NAVIDAD ACTIVIDADES EUSK,CULT,DEP,IGUALDAD                                                                                                                         ",263.6
Promoción y fomento del deporte.        ,3410,22740,2017-01-18,GRAFICAS ALZATE                                                                           ,,,"FOLLETO PROGRAMA NAVIDAD ACTIVIDADES EUSK,CULT,DEP,IGUALDAD                                                                                                                         ",263.6
Ordenación del tráfico y del estacionami,1330,22701,2017-01-18,"GRUAS ABAYA, S.L.                                                                         ",,,RETIRADA 7 VEHICULOS DICIEMBRE                                                                                                                                                      ,674.38
Fiestas populares y festejos.           ,3380,22199,2017-01-18,"GRUAS NOAIN, S.A.                                                                         ",,,MONTAR Y DESMONTAR CARPA ELIA OLENTZERO                                                                                                                                             ,246.84
Administración General.                 ,9200,21200,2017-01-18,HISPANOFIL                                                                                ,,,4 TERMORRETRACTIL+4 BORNE HILO PASANTE+ REGLETAS PARA ARREGLO SVARIOS                                                                                                               ,34.06
Alumbrado público.                      ,1650,21900,2017-01-18,HISPANOFIL                                                                                ,,,CABLE ENERGY+TERMORRETRACTIL PARA ALUMBRADO NAVIDAD                                                                                                                                 ,41.02
Conservación y mantenimiento de la via p,1533,21000,2017-01-18,IBERICA DE SALES SA                                                                       ,,,COMPRA SAL INVERNAL 28.40 TM                                                                                                                                                        ,1718.2
Conservación y mantenimiento de la via p,1533,21000,2017-01-18,IBERICA DE SALES SA                                                                       ,,,COMPRA SAL INVERNAL 28.9 TM                                                                                                                                                         ,1748.45
Promoción de la igualdad efectiva entre ,2391,22706,2017-01-18,"IMPRENTA GOLDARACENA, S.L.                                                                ",,,100 CARTELES A3 CAMPAÑA NAVIDAD                                                                                                                                                     ,45.37
Promoción cultural                      ,3340,22750,2017-01-18,"IMPRENTA GOLDARACENA, S.L.                                                                ",,,100 CARTELES A3 CAMPAÑA NAVIDAD                                                                                                                                                     ,45.37
Euskera                                 ,3350,22799,2017-01-18,"IMPRENTA GOLDARACENA, S.L.                                                                ",,,100 CARTELES A3 CAMPAÑA NAVIDAD                                                                                                                                                     ,45.38
Promoción y fomento del deporte.        ,3410,22740,2017-01-18,"IMPRENTA GOLDARACENA, S.L.                                                                ",,,100 CARTELES A3 CAMPAÑA NAVIDAD                                                                                                                                                     ,45.38
Administración General.                 ,9200,21200,2017-01-18,INGESCO LIGHTNING SOLUTIONS                                                               ,,,12 REVISION PARARAYOS INSTALADOS EN EL VALLE                                                                                                                                        ,1306.8
Otros servicios de atencion social      ,2318,22104,2017-01-18,INTERSPORT IRABIA S.L.                                                                    ,,,10 CAMISETA+5 PANTALONES+5 FORROS SAD                                                                                                                                               ,491.9
Administración General.                 ,9200,21200,2017-01-18,ISAI                                                                                      ,,,REPARACION ESCUDO PUERTA HELENA Y LECTOR OAC                                                                                                                                        ,193.36
Bibliotecas públicas.                   ,3321,22000,2017-01-18,JUGUETES EREGUI S.L.                                                                      ,,,JUGETES LUDOTECA                                                                                                                                                                    ,353.53
Servicio Social de Base                 ,2311,22105,2017-01-18,LA MANDUCA DE GORRAIZ                                                                     ,,,170 DOC HUEVOS CESTA BASICA DICIEMBRE                                                                                                                                               ,213.93
Participación ciudadana.                ,9240,22706,2017-01-18,LABRIT MULTIMEDIA S.L                                                                     ,,,ALOJAMIENTO Y MANTENIMIENTO PATRIMONIO INMATERIAL                                                                                                                                   ,665.5
