a,b,c,d,e,f,g,h,i,j,k,l,m,n,o
1,,15100,12007,RETRIBUCION GRADO PERSONAL URBANISMO,,,18500.0,18500.0,19300.54,19300.54,19300.54,,19300.54,-800.54
1,,15100,12103,RETRIB. COMPLEMENTARIAS PERSONAL  URBANI,,,46000.0,46000.0,45810.3,45810.3,45810.3,,45810.3,189.7
1,,15100,13100,RETRIBUCIONES PERSONAL TEMPORAL URBANISM,,,6000.0,6000.0,0.0,0.0,0.0,,0.0,6000.0
1,,15100,16000,SEGURIDAD SOCIAL PERSONAL URBANISMO,,,40000.0,40000.0,40000.0,40000.0,35022.04,,32104.49,0.0
1,,15100,16400,AYUDA FAMILIAR PERSONAL URBANISMO,,,900.0,900.0,449.52,449.52,449.52,,449.52,450.48
1,,16300,12004,RETRIB. BASICAS PERSONAL LIMPIEZA VIARIA,,,62000.0,62000.0,53742.39,53742.39,53742.39,,53742.39,8257.61
1,,16300,12006,ANTIGÜEDAD PERSONAL LIMPIEZA VIARIA,,,900.0,900.0,1320.38,1320.38,1320.38,,1320.38,-420.38
1,,16300,12103,RETRIB. COMPLEMENTARIAS PERSONAL LIMPIEZ,,,20000.0,20000.0,24030.64,24030.64,24030.64,,24030.64,-4030.64
1,,16300,13100,RETRIBUCIONES PERSONAL TEMPORAL LIMPIEZA,,,42000.0,42000.0,47078.3,47078.3,47078.3,,47078.3,-5078.3
1,,16300,16000,SEGURIDAD SOCIAL PERSONAL LIMPIEZA VIARI,,,45000.0,45000.0,45000.0,45000.0,30875.54,,28793.68,0.0
1,,16300,16400,AYUDA FAMILIAR PERSONAL LIMPIEZA VIARIA,,,0.0,0.0,768.41,768.41,768.41,,768.41,-768.41
1,,16900,12003,RETRIB. BASICAS PERSONAL SERV.MULT NIVEL,,,72000.0,72000.0,70634.39,70634.39,70634.39,,70634.39,1365.61
1,,16900,12004,RETRIB.BASICAS PERSONAL SERV MULT NIVEL,,,57000.0,57000.0,31349.64,31349.64,31349.64,,31349.64,25650.36
1,,16900,12006,ANTIGÜEDAD PERSONAL SERV MULT,,,3500.0,3500.0,3288.54,3288.54,3288.54,,3288.54,211.46
1,,16900,12007,RETRIBUCION GRADO PERSONAL SERV.MULT,,,14000.0,14000.0,11338.64,11338.64,11338.64,,11338.64,2661.36
1,,16900,12103,RETRIB. COMPLEMENTARIAS PERSONAL SERV MU,,,60000.0,60000.0,65712.92,65712.92,65712.92,,65712.92,-5712.92
1,,16900,15100,PLAN EMERGENICAS Y OTROS,,,30000.0,15800.0,0.0,0.0,0.0,,0.0,15800.0
1,,16900,16000,SEGURIDAD SOCIAL PERSONAL SERVICIOS MULT,,,75000.0,75000.0,75061.42,75061.42,44551.22,,41501.43,-61.42
1,,16900,16200,GASTOS FORMACION PERSONAL SM,,,2000.0,2000.0,0.0,0.0,0.0,,0.0,2000.0
1,,16900,16400,AYUDA FAMILIAR PERSONAL SERV. MULT,,,5000.0,5000.0,4385.5,4385.5,4385.5,,4385.5,614.5
1,,17100,12002,RETRIB. BASICAS PERSONAL JARDINES NIVEL,,,21500.0,21500.0,21696.22,21696.22,21696.22,,21696.22,-196.22
1,,17100,12003,RETRIB. BASICAS PERSONAL  JARDINES NIVEL,,,18000.0,18000.0,17997.84,17997.84,17997.84,,17997.84,2.16
1,,17100,12004,RETRIB.BASICAS PERSONAL JARDINES NIVEL D,,,108000.0,106800.0,81061.21,81061.21,81061.21,,81061.21,25738.79
1,,17100,12006,ANTIGÜEDAD PERSONAL JARDINES,,,3500.0,3500.0,3802.55,3802.55,3802.55,,3802.55,-302.55
1,,17100,12007,RETRIBUCION GRADO PERSONAL JARDINERIA,,,11500.0,11500.0,11376.96,11376.96,11376.96,,11376.96,123.04
1,,17100,12103,RETRIB.  COMPLEMENTARIAS PERSONAL JARDIN,,,56000.0,56000.0,53216.77,53216.77,53216.77,,53216.77,2783.23
1,,17100,13100,RETRIBUCIONES PERSONAL TEMPORAL JARDINES,,,22000.0,22000.0,33324.54,33324.54,33324.54,,33324.54,-11324.54
1,,17100,16000,SEGURIDAD SOCIAL PERSONAL JARDINES,,,75000.0,72000.0,72000.0,72000.0,70005.45,,63869.63,0.0
1,,17100,16200,FORMACION PERSONAL JARDINES,,,2000.0,2000.0,1372.0,1372.0,1372.0,,1372.0,628.0
1,,17100,16400,AYUDA FAMILIAR FUNCIONARIOS JARDINES,,,5700.0,5700.0,4195.96,4195.96,4195.96,,4195.96,1504.04
1,,21100,16004,CUOTA MONTEPIO Y AYUDA FAMILIAR PERS.PAS,,,475000.0,475000.0,425342.17,425342.17,425342.17,,425342.17,49657.83
1,,21100,16008,A.S.U.N Y A.S.U.E FUNCIONARIOS MONTEPIO,,,3000.0,3000.0,0.0,0.0,0.0,,0.0,3000.0
1,,21100,16205,SEGURO VIDA Y ACCIDENTES PERSONAL AYTO,,,20000.0,20000.0,18135.36,18135.36,18135.36,,15489.97,1864.64
1,,23110,12002,RETRIB.BASICAS PERSONAL SSB NIVEL B,,,172000.0,172000.0,156428.72,156428.72,156428.72,,156428.72,15571.28
1,,23110,12004,RETRIB.BASICAS PERSONAL SSB NIVEL D,,,47000.0,47000.0,40808.48,40808.48,40808.48,,40808.48,6191.52
1,,23110,12006,ANTIGÜEDAD PERSONAL SSB,,,3800.0,3800.0,3797.54,3797.54,3797.54,,3797.54,2.46
1,,23110,12007,RETRIBUCION GRADO PERSONAL SSB,,,10000.0,10000.0,9763.26,9763.26,9763.26,,9763.26,236.74
1,,23110,12103,RETRIB. COMPLEMENTARIAS PERSONAL SSB,,,110000.0,110000.0,92508.94,92508.94,92508.94,,92508.79,17491.06
1,,23110,13100,RETRIBUCIONES PERS. LABORAL S.S.B.,,,27000.0,27000.0,89949.66,89949.66,89949.66,,89949.66,-62949.66
1,,23110,16000,SEGURIDAD SOCIAL PERSONAL S.S.B,,,110000.0,110000.0,107000.0,107000.0,105979.52,,95550.84,3000.0
1,,23110,16200,FORMACION PERSONAL S.S.B,,,4000.0,4000.0,350.0,350.0,350.0,,0.0,3650.0
1,,23110,16400,AYUDA FAMILIAR PERSONAL SSB,,,10000.0,10000.0,6879.1,6879.1,6879.1,,6879.1,3120.9
1,,23180,12004,RETRIB. BASICAS PERSONAL PROGRAMA SAD,,,75000.0,75000.0,67616.27,67616.27,67616.27,,67616.27,7383.73
1,,23180,12006,ANTIGÜEDAD PERSONAL PROGRAMA SAD,,,1400.0,1400.0,1522.18,1522.18,1522.18,,1522.18,-122.18
1,,23180,12103,RETRIB. COMPLEMENTARIAS PERSONAL PROGRAM,,,30000.0,30000.0,18163.5,18163.5,18163.5,,18163.5,11836.5
1,,23180,13100,RETRIBUCIONES PERSONAL SAD TEMPORAL,,,10000.0,10000.0,20351.44,20351.44,20351.44,,20005.05,-10351.44
1,,23180,16000,SEGURIDAD SOCIAL PERSONAL SAD,,,40000.0,40000.0,33000.0,33000.0,32245.1,,29170.24,7000.0
1,,23180,16200,FORMACION PERSONAL S.A.D.,,,0.0,0.0,35.7,35.7,35.7,,35.7,-35.7
1,,23180,16400,AYUDA FAMILIAR PERSONAL PROGRAMA SAD,,,2000.0,2000.0,2061.85,2061.85,2061.85,,2061.85,-61.85
1,,23910,12002,RETRIB.BASICAS PERSONAL IGUALDAD NIVEL B,,,0.0,0.0,9292.21,9292.21,9292.21,,9292.21,-9292.21
1,,23910,12006,ANTIGUEDAD PERSONAL IGUALDAD NIVEL B,,,0.0,0.0,123.99,123.99,123.99,,123.99,-123.99
1,,23910,12103,RETRIB.COMPLEM PERSONAL IGUALDAD NIVEL B,,,0.0,0.0,1963.21,1963.21,1963.21,,1963.21,-1963.21
1,,23910,13100,RETRIBUCIONES TECNICA IGUALDAD,,,25500.0,25500.0,14862.32,14862.32,14862.32,,14862.32,10637.68
1,,23910,16000,SEGURIDAD SOCIAL TECNICA IGUALDAD,,,8400.0,8400.0,8400.0,8400.0,8369.24,,7548.98,0.0
1,,24120,13100,RETRIB. BASICAS PERSONAL PROGRAMA ESP,,,190000.0,190000.0,192685.46,192685.46,192685.46,,192685.46,-2685.46
1,,24120,16000,SEGURIDAD SOCIAL EMPLEO SOCIAL PROTEGIDO,,,60000.0,60000.0,60000.0,60000.0,51987.32,,47338.94,0.0
1,,24120,16200,FORMACION PERSONAL EMPLEO SOCIAL PROTEGI,,,5000.0,5000.0,5110.66,5110.66,5110.66,,3302.32,-110.66
1,,24190,12002,RETRIB. BASICAS  TECNICO DE EMPLEO,,,18000.0,18000.0,15564.23,15564.23,15564.23,,15564.23,2435.77
1,,24190,12103,RETRIB. COMPLEMENTARIAS TECNICA EMPLEO,,,4000.0,4000.0,2334.66,2334.66,2334.66,,2334.66,1665.34
1,,24190,13100,RETRIBUCION TECNICO EMPLEO LABORAL,,,0.0,0.0,1058.72,1058.72,1058.72,,1058.72,-1058.72
1,,24190,16000,SEGURIDAD SOCIAL PERSONAL DESARROLLO Y E,,,6000.0,6000.0,6200.0,6200.0,6199.93,,5521.81,-200.0
1,,24190,16400,AYUDA FAMILIAR PERSONAL TECNICA EMPLEO,,,500.0,500.0,624.65,624.65,624.65,,624.65,-124.65
1,,24191,13100,RETRIB. BASICAS PERSONAL PROGRAMA SNE,,,100000.0,100000.0,87379.93,87379.93,87379.93,,87379.93,12620.07
1,,24191,16000,SEGURIDAD SOCIAL PERSONAL PROGRAMA SNE,,,35000.0,35000.0,35000.0,35000.0,27901.14,,26073.33,0.0
1,,32320,12004,RETRIB. BASICAS  PERSONAL C.P,,,30000.0,30000.0,47179.72,47179.72,47179.72,,47179.72,-17179.72
1,,32320,12006,ANTIGÜEDAD PERSONAL COLEGIO PUBLICO,,,800.0,800.0,758.38,758.38,758.38,,758.38,41.62
1,,32320,12103,RETRIB. COMPLEMENTARIAS  PERSONAL C.P,,,10500.0,10500.0,18319.96,18319.96,18319.96,,18319.96,-7819.96
1,,32320,13000,RETRIB. BASICAS LABORAL FIJO PERSONAL C.,,,24000.0,24000.0,17847.02,17847.02,17847.02,,17847.02,6152.98
1,,32320,13002,RETRIB. COMPLEMENT LABORAL FIJO PERSONAL,,,3000.0,3000.0,8870.45,8870.45,8870.45,,8870.45,-5870.45
1,,32320,13100,PERSONAL LABORAL TEMPORAL C.P.,,,69000.0,69000.0,44117.15,44117.15,44117.15,,44117.15,24882.85
1,,32320,16000,SEGURIDAD SOCIAL PERSONAL CP SARRIGUREN,,,48000.0,48000.0,48000.0,48000.0,44013.99,,40326.93,0.0
1,,32320,16400,AYUDA FAMILIAR PERSONAL C.P.,,,1000.0,1000.0,622.56,622.56,622.56,,622.56,377.44
1,,32610,12000,RETRIB. BASICAS PERSONAL ESCUELA MUSICA,,,273000.0,273000.0,265882.33,265882.33,265882.33,,265882.33,7117.67
1,,32610,12004,RETRIB. BASICAS PERSONAL ADMITIVO ESCUEL,,,16000.0,16000.0,15674.82,15674.82,15674.82,,15674.82,325.18
1,,32610,12006,ANTIGÜEDAD PERSONAL ESCUELA MUSICA,,,5000.0,5000.0,6909.26,6909.26,6909.26,,6909.26,-1909.26
1,,32610,12007,RETRIBUCION GRADO PERSONAL ESC.MUS,,,17000.0,17000.0,12205.62,12205.62,12205.62,,12205.62,4794.38
1,,32610,12103,RETRIB. COMPLEMENTARIAS PERSONAL ESC.MUS,,,27000.0,27000.0,20793.08,20793.08,20793.08,,20793.08,6206.92
1,,32610,13002,RETRIB. COMPLEM. PERSONAL ESCUELA MUSICA,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
1,,32610,13100,PERSONAL LABORAL ESCUELA MUSICA,,,82000.0,82000.0,84583.79,84583.79,84583.79,,84583.79,-2583.79
1,,32610,16000,SEGURIDAD SOCIAL PERSONAL ESCUELA MUSICA,,,125000.0,125000.0,127500.0,127500.0,127457.46,,117292.67,-2500.0
1,,32610,16200,FORMACION PROFESORADO ESCUELA MUSICA,,,2000.0,2000.0,203.85,203.85,203.85,,203.85,1796.15
1,,32610,16400,AYUDA FAMILIAR PERSONAL ESC.MUSICA,,,5900.0,5900.0,4912.27,4912.27,4912.27,,4912.27,987.73
1,,33210,12003,RETRIB. BASICAS PERSONAL LUDOTECA-BIBLIO,,,50000.0,50000.0,34306.69,34306.69,34306.69,,34306.69,15693.31
1,,33210,12006,ANTIGÜEDAD PERSONAL LUDOTECA- BIBLIOTECA,,,800.0,800.0,971.0,971.0,971.0,,971.0,-171.0
1,,33210,12103,RETRIB. COMPLEMENTARIAS PERSONAL LUDOTEC,,,10500.0,10500.0,6172.77,6172.77,6172.77,,6172.77,4327.23
1,,33210,13100,PERSONAL AUXILIAR TEMPORAL LUDOTECA BIBL,,,25000.0,25000.0,23021.26,23021.26,23021.26,,22757.98,1978.74
1,,33210,16000,SEGURIDAD SOCIAL PERSONAL LUDOTECA-BIBLI,,,25000.0,25000.0,25000.0,25000.0,20571.74,,18553.49,0.0
1,,33210,16200,FORMACION PERSONAL LUDOTECA-BIBLIOTECA,,,1000.0,1000.0,0.0,0.0,0.0,,0.0,1000.0
1,,33400,12000,RETRIB. BASICAS TECNICA DE CULTURA,,,25700.0,25700.0,25789.96,25789.96,25789.96,,25789.96,-89.96
1,,33400,12006,ANTIGÜEDAD TECNICA DE CULTURA,,,550.0,550.0,551.46,551.46,551.46,,551.46,-1.46
1,,33400,12103,RETRIB. COMPLEMENTARIAS TECNICA DE CULTU,,,3300.0,3300.0,3213.51,3213.51,3213.51,,3213.51,86.49
1,,33400,16000,SEGURIDAD SOCIAL TECNICA CULTURA,,,10400.0,10400.0,10400.0,10400.0,10129.65,,9290.59,0.0
1,,33400,16400,AYUDA FAMILIAR TECNICA DE CULTURA,,,450.0,450.0,413.61,413.61,413.61,,413.61,36.39
1,,33500,12002,RETRIB. BASICAS TECNICO EUSKERA,,,20100.0,20100.0,19548.97,19548.97,19548.97,,19548.97,551.03
1,,33500,12103,RETRIB. COMPLEMENTARIAS TECNICO EUSKERA,,,4700.0,4700.0,2932.34,2932.34,2932.34,,2932.34,1767.66
1,,33500,16000,SEGURIDAD SOCIAL PERSONAL EUSKERA,,,7800.0,7800.0,7800.0,7800.0,7158.35,,6496.43,0.0
1,,34100,12000,RETRIB. BASICAS TECNICA DE DEPORTE,,,25600.0,25600.0,24927.33,24927.33,24927.33,,24927.33,672.67
1,,34100,12006,ANTIGÜEDAD TECNICA DE DEPORTE,,,600.0,600.0,533.02,533.02,533.02,,533.02,66.98
1,,34100,12007,RETRIBUCION GRADO TECNICA DE DEPORTE,,,3000.0,3000.0,4506.58,4506.58,4506.58,,4506.58,-1506.58
1,,34100,12103,RETRIB. COMPLEMENTARIAS TECNICA DE DEPOR,,,3200.0,3200.0,3101.5,3101.5,3101.5,,3101.5,98.5
1,,34100,16000,SEGURIDAD SOCIAL TECNICA DE DEPORTE,,,12000.0,12000.0,11300.0,11300.0,10462.9,,9567.09,700.0
1,,34100,16400,AYUDA FAMILIAR TECNICA DE DEPORTE,,,800.0,800.0,798.6,798.6,798.6,,798.6,1.4
1,,91200,10000,SUELDO ALCALDIA,,,41200.0,41200.0,41200.04,41200.04,41200.04,,41200.04,-0.04
1,,91200,16000,SEGURIDAD SOCIAL ALCALDIA,,,13500.0,13500.0,13600.0,13600.0,13586.41,,12468.46,-100.0
1,,91201,10000,CONCEJALIAS DELEGADAS,,,86400.0,86400.0,86399.88,86399.88,86399.88,,86399.88,0.12
1,,91201,16000,SEGURIDAD SOCIAL CONCEJALIAS,,,28400.0,28400.0,28400.0,28400.0,28155.8,,25811.03,0.0
1,,91201,16205,SEGURO ACCIDENTES CORPORATIVOS,,,2000.0,3000.0,2744.7,2744.7,2744.7,,2744.7,255.3
1,,92000,12000,RETRIB. BASICAS PERSONAL ADMON GRAL,,,52000.0,52000.0,51579.92,51579.92,51579.92,,51579.92,420.08
1,,92000,12003,RETRIB. BASICAS PERSONAL ADMON GRAL,,,53500.0,53500.0,53993.52,53993.52,53993.52,,53993.52,-493.52
1,,92000,12004,RETRIB. BASICAS PERSONAL ADMON GRAL,,,70000.0,70000.0,68830.81,68830.81,68830.81,,68830.81,1169.19
1,,92000,12006,ANTIGÜEDAD PERSONAL ADMON GRAL,,,5000.0,5000.0,5707.21,5707.21,5707.21,,5707.21,-707.21
1,,92000,12007,RETRIBUCION GRADO PERSONAL ADMON GRAL,,,16000.0,16000.0,19335.5,19335.5,19335.5,,19335.5,-3335.5
1,,92000,12103,R ETRIB. COMPLEMENTARIAS PERSONAL ADMON,,,75000.0,75000.0,79748.09,79748.09,79748.09,,79748.09,-4748.09
1,,92000,13100,PERSONAL TEMPORAL ADMINISTRACION,,,60000.0,40000.0,31440.8,31440.8,31440.8,,31440.8,8559.2
1,,92000,14300,RETRIBUCIONES PERSONAL BUZONEO,,,1000.0,1000.0,0.0,0.0,0.0,,0.0,1000.0
1,,92000,16000,SEGURIDAD SOCIAL PERSONAL ADMINISTRACION,,,94000.0,94000.0,94000.0,94000.0,69720.32,,63326.39,0.0
1,,92000,16200,FORMACION PERSONAL ADMINISTRACION,,,2000.0,2000.0,70.65,70.65,70.65,,70.65,1929.35
1,,92000,16204,AYUDAS AL ESTUDIO,,,12000.0,12000.0,9074.91,9074.91,9074.91,,9074.91,2925.09
1,,92000,16209,SERVICIO PREVENCION RIESGOS LABORALES,,,30000.0,30000.0,22191.4,22191.4,16642.2,,16642.2,7808.6
1,,92000,16400,AYUDA FAMILIAR PERSONAL ADMON GRAL,,,4600.0,4600.0,5984.57,5984.57,5984.57,,5984.57,-1384.57
1,,92400,12002,RETRIB.BASICAS TECNICA PARTICIPACION,,,20100.0,20100.0,1808.02,1808.02,1808.02,,1808.02,18291.98
1,,92400,12103,RETRIB.COMPLEMENTARIAS TECNICA PARTICIPA,,,4700.0,4700.0,271.2,271.2,271.2,,271.2,4428.8
1,,92400,16000,SEGURIDAD SOCIAL PERSONAL PARTICIPACION,,,7800.0,7800.0,7800.0,7800.0,655.99,,0.0,0.0
1,,93100,12000,RETRIB. BASICAS PERSONAL HACIENDA E INTE,,,25600.0,25600.0,25789.96,25789.96,25789.96,,25789.96,-189.96
1,,93100,12002,RETRIB BASICAS PERSONAL HACIENDA E INTER,,,21500.0,21500.0,21696.22,21696.22,21696.22,,21696.22,-196.22
1,,93100,12004,RETRIB BASICAS PERSONAL HACIENDA E INTER,,,15600.0,15600.0,15674.82,15674.82,15674.82,,15674.82,-74.82
1,,93100,12006,ANTIGÜEDAD PERSONAL HACIENDA E INTERVENC,,,2000.0,3000.0,2666.05,2666.05,2666.05,,2666.05,333.95
1,,93100,12007,RETRIBUCION GRADO HACIENDA E INTERVENCIO,,,12000.0,13200.0,12821.34,12821.34,12821.34,,12821.34,378.66
1,,93100,12103,RETRIB. COMPLEMENTARIAS HACIENDA E INTER,,,32000.0,32000.0,31504.2,31504.2,31504.2,,31504.2,495.8
1,,93100,16000,SEGURIDAD SOCIAL PERSONAL HACIENDA,,,28000.0,28000.0,28525.0,28525.0,28523.53,,26145.64,-525.0
1,,93100,16400,AYUDA FAMILIAR HACIENDA E INTERVENCION,,,1500.0,1500.0,1654.8,1654.8,1654.8,,1654.8,-154.8
,,,,,,,,,,,,,,
TOTAL ,,,,,,,,,,,,,,
Capítulo ,,1,GASTOS DE PERSONAL.,,,,5542900.0,5507700.0,5233300.38,5233300.38,5087934.13,,4999251.73,274399.62
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,,13210,21300,CONSERVACION MAQUINARIA UTILLAJE POLICIA,,,1000.0,1000.0,16.94,16.94,16.94,,16.94,983.06
1,,13210,21400,MANTENIMIENTO VEHICULOS POLICIA,,,12000.0,12000.0,7625.83,7625.83,7625.83,,3771.9,4374.17
1,,13210,22000,GASTOS OFICINA POLICIA,,,3500.0,3500.0,2640.2,2640.2,2640.2,,2205.76,859.8
1,,13210,22103,COMBUSTIBLE VEHICULOS POLICIA,,,8000.0,8000.0,8184.22,8184.22,8184.22,,7318.05,-184.22
1,,13210,22104,VESTUARIO POLICIA LOCAL,,,20000.0,20000.0,16166.68,16166.68,16166.68,,15302.74,3833.32
1,,13210,22199,MATERIAL TECNICO ESPECIAL POLICIA,,,5000.0,5000.0,8169.19,8169.19,8169.19,,8169.19,-3169.19
1,,13210,22200,TELEFONO FIJO Y MOVIL POLICIA,,,2500.0,2500.0,2451.35,2451.35,2451.35,,2298.79,48.65
1,,13210,22400,SEGURO VEHICULOS POLICIA,,,2200.0,2200.0,1014.91,1014.91,1014.91,,0.0,1185.09
1,,13210,22606,EDUCACION VIAL,,,2000.0,2000.0,1998.17,1998.17,1998.17,,1998.17,1.83
1,,13210,22706,SEMANA MOVILIDAD,,,6000.0,6000.0,6231.28,6231.28,6231.28,,6049.78,-231.28
1,,13210,23120,LOCOMOCION PERSONAL POLICIA,,,0.0,0.0,12.8,12.8,12.8,,12.8,-12.8
1,,13210,23300,OTRAS INDEMNIZACIONES POLICIA,,,1000.0,1000.0,0.0,0.0,0.0,,0.0,1000.0
1,,13210,23301,INDEMNIZACION ASISTENCIA EVENTOS POLICIA,,,0.0,0.0,2639.72,2639.72,2639.72,,2639.72,-2639.72
1,,13300,22701,RECOGIDA DE  VEHICULOS CON GRUAS,,,4000.0,4000.0,2516.97,2516.97,2516.97,,2341.86,1483.03
1,,15100,22760,INFORMES URBANISTICOS,,,7000.0,7000.0,7774.25,7774.25,7774.25,,6806.25,-774.25
1,,15100,23120,LOCOMOCION PERSONAL URBANISMO,,,100.0,100.0,454.15,454.15,454.15,,454.15,-354.15
1,,15100,23300,OTRAS INDEMNIZ. PERSONAL URBANISMO,,,100.0,100.0,230.0,230.0,230.0,,230.0,-130.0
1,,15330,21000,REPARACIONES VARIAS CALLES Y ESPACIOS PU,,,15000.0,15000.0,15092.75,15092.75,15092.75,,13450.99,-92.75
1,,15331,21000,PLAN INVERNAL,,,15000.0,15000.0,3335.97,3335.97,3335.97,,3335.97,11664.03
1,,16300,22199,COMPRAS VARIAS SERV.LIMPIEZA CALLES,,,0.0,0.0,559.52,559.52,559.52,,559.52,-559.52
1,,16300,22709,TRANSPORTE CONTENEDORES LIMPIEZA VIARIA,,,3600.0,3600.0,3605.8,3605.8,3605.8,,3278.0,-5.8
1,,16500,21900,CONSERVACION ALUMBRADO PUBLICO,,,35000.0,35000.0,35501.31,35501.31,35501.31,,27729.44,-501.31
1,,16500,22100,ENERGIA ELECTRICA ALUMBRADO PUBLICO,,,220000.0,278000.0,274741.78,274741.78,274741.78,,245882.67,3258.22
1,,16900,21200,CONSERVACION NAVE SERVICIOS MULTIPLES,,,2000.0,2000.0,3741.76,3741.76,3741.76,,3729.61,-1741.76
1,,16900,21300,MANTENIMIENTO VEHICULOS Y MAQUINARIA SER,,,22000.0,22000.0,18641.09,18641.09,18641.09,,15229.19,3358.91
1,,16900,21600,MANTENIMIENTO TELECOMUNICACIONES Y ANTEN,,,6000.0,6000.0,5202.07,5202.07,5202.07,,5085.48,797.93
1,,16900,21900,MANT.MOBILIARIO URBANO Y SEÑALIZACIONES,,,8000.0,8000.0,9389.25,9389.25,9389.25,,8181.23,-1389.25
1,,16900,22100,ENERGIA ELECTRICA NAVE SERVICIOS MULTIPL,,,1500.0,1500.0,1341.53,1341.53,1341.53,,1341.53,158.47
1,,16900,22101,AGUA  NAVE SERVICIOS MULTIPLES,,,700.0,700.0,1679.57,1679.57,1679.57,,1118.09,-979.57
1,,16900,22103,COMBUSTIBLE VEHICULOS Y MAQ. SERV MULTIP,,,15000.0,15000.0,13860.21,13860.21,13860.21,,12120.04,1139.79
1,,16900,22104,VESTUARIO PERSONAL SERVICIOS MULTIPLES,,,3000.0,3000.0,2193.54,2193.54,2193.54,,2193.54,806.46
1,,16900,22110,PRODUCTOS HIGIENICOS SERVICIOS MULTIPLES,,,800.0,800.0,839.77,839.77,839.77,,839.77,-39.77
1,,16900,22200,TELEFONO FIJO Y MOVIL SERV MULTIPLES,,,2100.0,2100.0,2378.99,2378.99,2378.99,,2322.36,-278.99
1,,16900,22400,SEGURO VEHICULOS SERVICIOS MULTIPLES,,,3000.0,3000.0,2932.41,2932.41,2932.41,,0.0,67.59
1,,16900,22401,SEGURO NAVE SERVICIOS MLTIPLES,,,400.0,400.0,317.95,317.95,317.95,,317.95,82.05
1,,16900,23300,OTRAS INDEMNIZACIONES PERS.SERV.MULT.,,,0.0,0.0,1352.34,1352.34,1352.34,,1352.34,-1352.34
1,,17100,21000,MANTENIMIENTO  Y MATERIAL RIEGO JARDINES,,,35000.0,35000.0,26274.72,26274.72,26274.72,,24841.87,8725.28
1,,17100,21200,CONSERVACION NAVE JARDINERIA,,,1000.0,1000.0,903.22,903.22,903.22,,903.22,96.78
