a,b,c,d,e,f,g,h,i,j,k,l,m,n,o
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL ,,,,,,,,,,,,,,
Capítulo ,2,IMPUESTOS INDIRECTOS.,,,,,,520000,520000,54352.19,,51081.98,465647.81,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,3099000,TASAS LAZARETO MUNICIPAL,,,,,,400,400,18.2,,18.2,381.8,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,30,TASAS POR LA PRESTACIÓN DE SERVICIOS PÚB,,,,,400,400,18.2,,18.2,381.8,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,3111000,TASAS SAD Y PODOLOGIA,,,,,,1600,1600,548.45,,533.25,1051.55,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,31,TASAS POR LA PRESTACIÓN DE SERVICIOS PÚB,,,,,1600,1600,548.45,,533.25,1051.55,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,3210000,LICENCIAS URBANISTICIAS O DE OBRA,,,,,,21750,21750,7458.24,,6606.85,14291.76,
,,,,,,,,,,,,,,
1,3250000,EXPEDICION DE DOCUMENTOS,,,,,,1200,1200,311.16,,311.16,888.84,
,,,,,,,,,,,,,,
1,3250001,TASAS EMISION INFORMES P.M,,,,,,1600,1600,394.82,,394.82,1205.18,
,,,,,,,,,,,,,,
1,3250002,TASAS BODAS CIVILES,,,,,,2500,2500,600,,600,1900,
,,,,,,,,,,,,,,
1,3250003,DERECHOS DE EXAMEN,,,,,,1000,1000,216,,216,784,
,,,,,,,,,,,,,,
1,3260000,TASAS GRUAS RETIRADAS VEHICULOS,,,,,,2000,2000,629.6,,629.6,1370.4,
,,,,,,,,,,,,,,
1,3291000,LICENCIAS DE APERTURA,,,,,,12000,12000,8667.05,,6619.06,3332.95,
,,,,,,,,,,,,,,
1,3291001,TASAS POR ACTIVIDADES CLASIFICADAS,,,,,,6000,6000,683.9,,683.9,5316.1,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,32,TASAS POR LA REALIZACIÓN DE ACTIVIDADES,,,,,48050,48050,18960.77,,16061.39,29089.23,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,3310000,VADOS,,,,,,48000,48000,0,,0,48000,
,,,,,,,,,,,,,,
1,3320000,TASAS UTILIZACION POR EMPRESAS SUMINISTR,,,,,,220000,220000,45085.83,,24910.83,174914.17,
,,,,,,,,,,,,,,
1,3330000,TASAS UTILIZACION POR EMP.TELECOMUNICACI,,,,,,3500,3500,722.47,,709.6,2777.53,
,,,,,,,,,,,,,,
1,3380000,COMPENSACION DE TELEFONICA DE ESPAÑA,,,,,,65000,65000,14096.8,,14096.8,50903.2,
,,,,,,,,,,,,,,
1,3391000,OCUPACION VIA PUBLICAS POR OBRAS,,,,,,42000,42000,17770.12,,3600.56,24229.88,
,,,,,,,,,,,,,,
1,3392000,TASAS MERCADILLO SARRIGUREN,,,,,,6000,6000,5070,,0,930,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,33,TASAS POR LA UTILIZACIÓN PRIVATIVA O EL,,,,,384500,384500,82745.22,,43317.79,301754.78,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,3421000,APORTACIONES ALUMNOS ESC.MUSICA,,,,,,308000,308000,94497.2,,91223.75,213502.8,
,,,,,,,,,,,,,,
1,3422000,TASAS ESCUELAS INFANTILES,,,,,,305000,305000,80166.85,,80563.85,224833.15,
,,,,,,,,,,,,,,
1,3422001,SERVICIO RESPIRO FAMILIAR,,,,,,19000,19000,6468,,6468,12532,
,,,,,,,,,,,,,,
1,3422002,SERVICIO LUDOGUARDERIA VERANO,,,,,,12000,12000,0,,0,12000,
,,,,,,,,,,,,,,
1,3422003,LUDOTECA,,,,,,11000,11000,1517,,1517,9483,
,,,,,,,,,,,,,,
1,3422004,TASAS COMEDOR CENTROS 0-3,,,,,,170000,170000,45692.08,,45395.28,124307.92,
,,,,,,,,,,,,,,
1,3422009,INCAUACION FIANZAS CENTROS 0-3,,,,,,300,300,0,,0,300,
,,,,,,,,,,,,,,
1,3429000,CURSOS IDIOMAS,,,,,,20000,20000,0,,0,20000,
,,,,,,,,,,,,,,
1,3430000,CURSOS ESCUELAS DEPORTIVAS,,,,,,2000,2000,334.8,,334.8,1665.2,
,,,,,,,,,,,,,,
1,3440000,CURSOS CULTURALES Y ENTRADAS TEATRO,,,,,,20000,20000,843.34,,843.34,19156.66,
,,,,,,,,,,,,,,
1,3440001,CAMPAMENTO EGULBATI,,,,,,17000,17000,0,,0,17000,
,,,,,,,,,,,,,,
1,3440002,CAMPAMENTOS JUVENILES,,,,,,1300,1300,0,,0,1300,
,,,,,,,,,,,,,,
1,3450000,TICKETS TAXI BADOSTAIN,,,,,,500,500,108,,108,392,
,,,,,,,,,,,,,,
1,3490000,TASAS VIVERO EMPRESAS,,,,,,5000,5000,950.93,,950.93,4049.07,
,,,,,,,,,,,,,,
1,3490001,TASAS HUERTOS ECOLOGICOS,,,,,,5500,5500,515,,502.5,4985,
,,,,,,,,,,,,,,
1,3490002,INGRESOS ACTIVIDADES CAF,,,,,,0,0,98,,98,-98,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,34,PRECIOS PÚBLICOS.,,,,,896600,896600,231191.2,,228005.45,665408.8,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,3600000,INGRESOS POR PLACAS DE VADOS,,,,,,500,500,77.96,,77.96,422.04,
,,,,,,,,,,,,,,
1,3600010,INCAUTACION FIANZAS PLACAS OBRA,,,,,,600,600,0,,0,600,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,36,VENTAS.,,,,,1100,1100,77.96,,77.96,1022.04,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,3890000,REINTEGROS AYUDAS SSB PPTOS CERRADOS,,,,,,3000,3000,2983.95,,2983.95,16.05,
,,,,,,,,,,,,,,
1,3890002,REINTEGRO DE EJERCICIOS CERRADOS,,,,,,3000,3000,0,,0,3000,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,38,REINTEGROS DE OPERACIONES CORRIENTES.,,,,,6000,6000,2983.95,,2983.95,3016.05,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,3912000,MULTAS DE TRAFICO,,,,,,180000,180000,125236.5,,82893.48,54763.5,
,,,,,,,,,,,,,,
1,3919000,OTRAS SANCIONES,,,,,,10000,10000,1617,,1617,8383,
,,,,,,,,,,,,,,
1,3921100,RECARGOS APREMIO,,,,,,70000,70000,25068.31,,25068.31,44931.69,
,,,,,,,,,,,,,,
1,3930000,INTERESES DE DEMORA,,,,,,10000,10000,8403,,8403,1597,
,,,,,,,,,,,,,,
1,3999001,"INGRESOS AGUA,LUZ,GAS BAR CDS",,,,,,10000,10000,3245.95,,0,6754.05,
,,,,,,,,,,,,,,
1,3999003,INGRESOS COMPOST Y LOSETAS HUERTAS,,,,,,500,500,0,,0,500,
,,,,,,,,,,,,,,
1,3999004,OTROS INGRESOS DIVERSOS,,,,,,5000,5000,6783.84,,6783.84,-1783.84,
,,,,,,,,,,,,,,
1,3999005,INGRESOS CELEBRACIONES FIESTAS,,,,,,5000,5000,24.5,,24.5,4975.5,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,39,OTROS INGRESOS.,,,,,290500,290500,170379.1,,124790.13,120120.9,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL ,,,,,,,,,,,,,,
Capítulo ,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",,,,,,1628750,1628750,506904.85,,415788.12,1121845.15,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,4200000,PARTICIPACION TRIBUTOS DE ESTADO,,,,,,22000,22000,5933.16,,5933.16,16066.84,
,,,,,,,,,,,,,,
1,4209000,SUBV. GASTOS FUNCIONAM. JUZGADO PAZ,,,,,,1600,1600,387.4,,387.4,1212.6,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,42,DE LA ADMINISTRACIÓN DEL ESTADO.,,,,,23600,23600,6320.56,,6320.56,17279.44,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,4500000,FONDO HACIENDAS LOCALES,,,,,,4056300,4056300,1864669.25,,1864669.25,2191630.75,
,,,,,,,,,,,,,,
1,4500200,SUBV EMPLEO SOCIAL PROTEGIDO,,,,,,170000,170000,0,,0,170000,
,,,,,,,,,,,,,,
1,4500201,SUBV. GASTOS FUNCIONAM SSB,,,,,,235000,235000,58772.01,,58772.01,176227.99,
,,,,,,,,,,,,,,
1,4500202,SUBV ATENCION DOMICILIARIA DEPENDENCIA,,,,,,34000,34000,0,,0,34000,
,,,,,,,,,,,,,,
1,4500204,SUBVENCION TECNICA IGUALDAD,,,,,,14000,14000,0,,0,14000,
,,,,,,,,,,,,,,
1,4500205,SUBVENCION DPTO. AYUDAS EMERGENCIA,,,,,,50000,50000,0,,0,50000,
,,,,,,,,,,,,,,
1,4500206,SUBVENCION  GUARDA DE CAMPO NIVEL C,,,,,,21000,21000,0,,0,21000,
,,,,,,,,,,,,,,
1,4503000,SUBV. GASTOS FUNCIONAM CENTROS 0-3,,,,,,330000,330000,0,,0,330000,
,,,,,,,,,,,,,,
1,4503001,SUBV.GASTOS FUNCIONAM ESCUELA MUSICA,,,,,,72000,72000,0,,0,72000,
,,,,,,,,,,,,,,
1,4508001,SUBV.  MONTEPIOS FUNCIONARIOS,,,,,,280000,280000,0,,0,280000,
,,,,,,,,,,,,,,
1,4508002,SUBV. GASTOS FUNCIONAM CONSULTORIO,,,,,,20000,20000,0,,0,20000,
,,,,,,,,,,,,,,
1,4508003,SUBV. ACTIV DEPARTAMENTO SALUD,,,,,,6000,6000,0,,0,6000,
,,,,,,,,,,,,,,
1,4508004,SUBV. ACTIVIDADES CULTURA,,,,,,15000,15000,0,,0,15000,
,,,,,,,,,,,,,,
1,4508005,SUBVENCION RETRIBUCIONES CARLOS ELECTOS,,,,,,85000,85000,0,,0,85000,
,,,,,,,,,,,,,,
1,4508006,SUBVENCION ACTIVIDADES EUSKERA,,,,,,15000,15000,0,,0,15000,
,,,,,,,,,,,,,,
1,4508007,SUBVENCION ACTIVIDADES IGUALDAD,,,,,,7000,7000,4364.06,,4364.06,2635.94,
,,,,,,,,,,,,,,
1,4508008,SUBVENCION ACTIVIDADES JUVENTUD,,,,,,3000,3000,0,,0,3000,
,,,,,,,,,,,,,,
1,4508009,SUVENCION PARTICIPACION CIUDADANA,,,,,,6000,6000,0,,0,6000,
,,,,,,,,,,,,,,
1,4511000,SUBVENCION CONTRATACION SNE,,,,,,40000,40000,0,,0,40000,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,45,DE LA COMUNIDAD FORAL DE NAVARRA Y DE OT,,,,,5459300,5459300,1927805.32,,1927805.32,3531494.68,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,4700000,INDEMNIZACIONES SEGUROS SINIESTROS,,,,,,5000,5000,2613.53,,2613.53,2386.47,
,,,,,,,,,,,,,,
1,4700001,COFINANCIACION CAIXA Y OTROS,,,,,,5000,5000,0,,0,5000,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,47,DE EMPRESAS PRIVADAS.,,,,,10000,10000,2613.53,,2613.53,7386.47,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL ,,,,,,,,,,,,,,
Capítulo ,4,TRANSFERENCIA CORRIENTES.,,,,,,5492900,5492900,1936739.41,,1936739.41,3556160.59,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,5200000,INTERESES DE CUENTAS BANCARIAS,,,,,,300,300,0,,0,300,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,52,INTERESES DE DEPÓSITOS.,,,,,300,300,0,,0,300,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,5340000,TRANSFERENCIA ANDACELAY INVERSIONES,,,,,,804000,804000,0,,0,804000,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,53,DIVIDENDOS Y PARTICIPACIÓN BENEFICIOS.,,,,,804000,804000,0,,0,804000,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,5440000,REVISION CENSO ELECTORAL,,,,,,300,300,0,,0,300,
,,,,,,,,,,,,,,
1,5490000,ARRENDAMIENTO GESTION POLID.OLAZ,,,,,,50000,50000,0,,0,50000,
,,,,,,,,,,,,,,
1,5490001,ARRENDAMIENTO GESION POLID.SARRIGUREN,,,,,,52000,52000,0,,0,52000,
,,,,,,,,,,,,,,
1,5490002,ARRENDAMIENTO BAR RESTAURANTE CDS,,,,,,4200,4200,2130.33,,0,2069.67,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,54,RENTAS DE BIENES INMUEBLES.,,,,,106500,106500,2130.33,,0,104369.67,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,5500000,CANON CONCESION ADMTIVA MARISTAS,,,,,,28000,28000,0,,0,28000,
,,,,,,,,,,,,,,
1,5542000,ARRIENDO PARCELAS COMUNALES USTARROZ,,,,,,8400,8400,0,,0,8400,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,55,PRODUCTOS DE CONCESIONES Y APROVECHAMIEN,,,,,36400,36400,0,,0,36400,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,5990000,VENTA DE GIGANTES DE GOMA,,,,,,1000,1000,49.59,,49.59,950.41,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,59,OTROS INGRESOS PATRIMONIALES.,,,,,1000,1000,49.59,,49.59,950.41,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL ,,,,,,,,,,,,,,
Capítulo ,5,INGRESOS PATRIMONIALES Y APROVECHAMIENTO,,,,,,948200,948200,2179.92,,49.59,946020.08,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,6030000,"VTA PARCELA 40,76% 7.3.43",,,,,,0,0,20580.55,,20580.55,-20580.55,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,60,DE TERRENOS.,,,,,0,0,20580.55,,20580.55,-20580.55,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,6190000,SUBASTA VEHICULOS,,,,,,2000,2000,0,,0,2000,
,,,,,,,,,,,,,,
1,6190001,SUBASTA  LUMINARIAS ALUMBRADO PUBLICO,,,,,,100000,100000,0,,0,100000,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,61,DE LAS DEMÁS INVERSIONES REALES.,,,,,102000,102000,0,,0,102000,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL ,,,,,,,,,,,,,,
Capítulo ,6,ENAJENACIÓN DE INVERSIONES REALES.,,,,,,102000,102000,20580.55,,20580.55,81419.45,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,7506001,SUBVENCIO CASA DE CULTURA,,,,,,720000,720000,0,,0,720000,
,,,,,,,,,,,,,,
1,7506002,SUBVENCION ESCUELA INFANTIL,,,,,,100000,100000,0,,0,100000,
,,,,,,,,,,,,,,
1,7508001,SUBVENCION AYUDAS MEDIOAMBIENTE,,,,,,15000,15000,0,,0,15000,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,75,DE LA COMUNIDAD FORAL DE NAVARRA Y DE OT,,,,,835000,835000,0,,0,835000,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL ,,,,,,,,,,,,,,
Capítulo ,7,TRANSFERENCIAS DE CAPITAL.,,,,,,835000,835000,0,,0,835000,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,8700000,REMANENTE TESORIA PARA GASTOS GENERALES,,,,,,0,5131983.2,0,,0,5131983.2,
,,,,,,,,,,,,,,
1,8701000,REMANENTE TESORERIA PARA GTOS.F AFECTADA,,,,,,0,0,0,,0,0,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,87,REMANENTE DE TESORERÍA.,,,,,0,5131983.2,0,,0,5131983.2,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL ,,,,,,,,,,,,,,
Capítulo ,8,ACTIVOS FINANCIEROS.,,,,,,0,5131983.2,0,,0,5131983.2,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL ,1,AYUNTAMIENTO,,,,,,13796950,18928933.2,3742231.07,,2687803.57,15186702.13,
Orgánico ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
T O T A L   P R E S U P U E S T O :,,,,,,,,13796950,18928933.2,,3742231.07,2687803.57,15186702.13,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Fecha de impresión ,,2019-04-16,12:05:10,,,,,,,,,,,Página -1 de 1
