#N. Registro,Fecha Reg.,Tipo,Tercero,Importe,IVA,Descripción
2017001116.0,2017-01-25,ADO1,VIALINE GESTION SL  ,952.07,0.0,IMPUESTOS EJECUTIVA DICIEMBRE 16
2017001117.0,2017-01-24,ADO1,"SALTOKI, S.A.  ",196.66,0.0,1 MANGUITO ANTIVIBRATORIO+BOMBA CALEFACCION VIVERO
2017001119.0,2017-01-24,ADO1,SALTOKI SUMINISTROS ELECTRICOS SL  ,95.59,0.0,1 PULSADOR LUZ VERDE FRONTON EGUES
2017001123.0,2017-01-09,ADO1,ROTULOS LAVIN.  ,193.6,0.0,ROTULACION IVECO SM+4 VINILOS A3 HUERTAS NUEVO CP
2017001125.0,2017-01-25,ADO1,ARESO  ,169.4,0.0,7000 PARES GUANTES VINILO TRABAJADORAS FAMIARES
2017001126.0,2017-01-24,ADO1,PUNTO XPRESS MANTENIMIENTO INTEGRAL DEL AUTOMOVIL SL ,433.18,0.0,VALVULA+DIAGNOSI SISTEMA ELECTRONICO FORD TRAN SSB
2017001127.0,2017-01-30,ADO1,TALLERES CR  ,58.08,0.0,REVISAR AIRBAG FORD TRANSIT SSB
2017001128.0,2017-01-25,ADO1,"DINAFAX, S.L.  ",80.04,0.0,7350 COPIAS BN IMPRESORA PLANTA 2 (FIN 422420) 18/10-20/01
2017001130.0,2017-01-20,ADO1,INTERSPORT IRABIA S.L.  ,1998.17,0.0,106 CONOS+30 CASCOS+2 SEMAFOROS+42 SEÑAL+30 PETOS
2017001169.0,2017-02-01,ADO1,REPRONET  ,6.9,0.0,DIGITALIZAR PLANO SALESIANOS PARA PRENSA
2017001277.0,2017-02-02,ADO1,LAVANDERIA BLANCO  ,194.83,0.0,LIMPIEZA VESTUARIO JARDINES ENERO
2017001278.0,2017-01-23,ADO1,ALDAZ ECHARRI S.A.  ,52.45,0.0,51 KG CORRUGADO 8 MM DOBLADO
2017001279.0,2017-01-28,ADO1,VIVEROS PEDRO AGUIRRE SL  ,319.75,0.0,2 ROBINIAS+1 ACER PLATANOIDES+1 SORBUS+1 SALIX AUCUPARIA
2017001282.0,2017-01-30,ADO1,ALDAZ ECHARRI S.A.  ,90.51,0.0,88 KG CORRUGADO B500 DE 8 MM
2017001283.0,2017-02-01,ADO1,FERNANDEZ BEAUMONT FELIPE (ALFEFLOR),104.3,0.0,4 ATADURAS MULTIPODE
2017001284.0,2017-02-01,ADO1,DENDA BRICOLAJE S.L.  ,229.72,0.0,ENLACE ROSCA+BOMBA+ENLACE MIXTO+LLAVE+CODO
2017001285.0,2017-01-31,ADO1,OCHOA LACAR HERMANOS S.L.  ,23.63,0.0,ACOPLADOR+TALLO ROSCADO RIEGO JARDINES
2017001409.0,2017-02-03,ADO1,SOCIEDAD COOPERATIVA CEREALISTA DE URROZ VILLA ,469.44,0.0,10 TICKETS GASOLINA VEHICULO HIBRIDO POLICIA ENERO
2017001410.0,2017-02-01,ADO1,SANCHEZ INCHAUSTI FERNANDO,283.85,0.0,1 SELLO CAUCHO REGISTRO CIVIL+2 SELLOS AYTO+36 ROTULADORES+CUBIERTAS Y CANUTIILLOS ENCUADERNAR
2017001432.0,2017-02-03,ADO1,LIBRERIA GOMEZ S.A.  ,21.15,0.0,LIBRO 1040 PREGUNTAS TEST LEY 39/2015
2017001433.0,2017-01-25,ADO1,SOCIEDAD GENERAL DE AUTORES Y EDITORES  ,69.99,0.0,GASTOS AUTORES FIESTAS IBIRICU ACORDEONISTA+PANTXO BALBUENA+VICONA
2017001434.0,2017-01-25,ADO1,ASOCIACION DE GESTION DE DERECHOS INTELECTUALES ,5.63,0.0,GASTOS AUTORES BAILES FIESTAS IBIRICU
2017001436.0,2017-01-25,ADO1,SOCIEDAD GENERAL DE AUTORES Y EDITORES  ,89.83,0.0,GASTOS AUTORES FIESTAS BADOSTAIN MARIACHI+MODALIDAD TAQUILLA
2017001437.0,2017-01-25,ADO1,ASOCIACION DE GESTION DE DERECHOS INTELECTUALES ,23.81,0.0,GASTOS AUTORES FIESTAS BADOSTAIN BAILES
2017001438.0,2017-01-25,ADO1,SOCIEDAD GENERAL DE AUTORES Y EDITORES  ,212.55,0.0,GASTOS AUTORES FIESTAS OLAZ LOS HABITUALES+EZK+TXISTULA
2017001443.0,2017-01-26,ADO1,"COMPAÑIA ESPAÑOLA DE PETROLEOS, SAU  ",626.91,0.0,1008 LT GASOLEO C VIVERO EMPRESAS
2017001444.0,2017-02-01,ADO1,"COMPAÑIA ESPAÑOLA DE PETROLEOS, SAU  ",814.67,0.0,871 LT GASOLEO A  JARDINES
2017001445.0,2017-02-02,ADO1,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A  ,272.34,0.0,2 CARTUCHO NEGR AYTO+9 CARTUCH COLOR SSB
2017001446.0,2017-02-02,ADO1,UNZUE E HIJOS S.L.  ,42.41,0.0,CASCO PROTECCION ESP
2017001447.0,2017-01-30,ADO1,HERMANOS MARISTAS DE LA ENSEÑANZA  ,500.0,0.0,ALQUILER SALON ACTOS TEATRO ILUNA 04/01
2017001448.0,2017-01-30,ADO1,IRIARTE ALONSO JORGE,145.2,0.0,4 MUPIS CAMPAÑA MATRICULACION ESCUELA PUBLICA
2017001449.0,2017-01-31,ADO1,HUARTE GRAFICA S.A.L.  ,152.46,0.0,50 CARTEL A3 FUSILADOS+100 CARTEL A3 MATRICULATE ESCUELA PUBLICA
2017001450.0,2017-02-02,O1,MUY ILUSTRE COLEGIO DE ABOGADOS DE PAMPL  ,12000.0,0.0,SERVICIO ASESORAMIENTO CAF 01/02/16-31/01/17
2017001452.0,2017-01-24,ADO1,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A  ,704.54,0.0,1 MONITOR HELENA +2 DISCOS DUROS ESC MUSIC+2 DISCOS CAF+2 DISCOS AYTO+
2017001455.0,2017-01-31,ADO1,DINDAIA FUNDAZIOA  ,486.0,0.0,CURSO COCINA NAVIDAD EN EUSKERA
2017001456.0,2017-02-03,ADO1,HEDA COMUNICACION  ,880.91,0.0,ZE BERRI? 123. EDICION 8.000 COPIAS
2017001457.0,2017-02-03,O1,EDITORIAL ARANZADI S.A.  ,4838.89,0.0,SUSCRIPCION ANUAL ARANZADI MASTER Y DIGITAL EXPERTO LABORAL (2 USUARIOS)
2017001463.0,2017-01-19,ADO1,IRIGUIBEL DISTRIBUCIONES S.L.  ,60.48,0.0,30 PAQUETES BOLSAS NEGRAS
2017001464.0,2017-02-01,ADO1,FERRETERIA BERRIAINZ  ,53.29,0.0,1 BROCA MANGO REBAJADO+MANTEL BLANCO+1 VARILLA ROSCADA
2017001465.0,2017-02-02,ADO1,CONFECCIONES LA INDUSTRIAL NAVARRA S.L.  ,50.46,0.0,2 PANTALONES AZULES SM
2017001466.0,2017-01-20,ADO1,CONFECCIONES LA INDUSTRIAL NAVARRA S.L.  ,107.19,0.0,1 CHALECO+1 CAMISA+1 PANTALON+1 PARKA  SM
2017001467.0,2017-02-06,ADO1,"CERRAJERIA SUKOT, S.L.  ",35.97,0.0,9 LLAVES VIVERO EMPRESAS PARA SM
2017001468.0,2017-02-03,ADO1,SOCIEDAD COOPERATIVA CEREALISTA DE URROZ VILLA ,114.33,0.0,COMBUSTIBLE VEHICULOS SM ENERO
2017001469.0,2017-02-02,ADO1,PROYECTO LUZ  ,230.73,0.0,21 LAMPARAS LED TUBE PARQUING AYUNTAMIENTO
2017001470.0,2017-01-26,ADO1,"COMPAÑIA ESPAÑOLA DE PETROLEOS, SAU  ",672.51,0.0,719 LT GASOLEO A  SM
2017001473.0,2017-01-26,ADO1,"COMPAÑIA ESPAÑOLA DE PETROLEOS, SAU  ",2017.51,0.0,2157 LT GASOLEO A  SM
2017001476.0,2017-01-31,ADO1,GESPORT S.L.  ,559.02,0.0,ASISTENCIA PROGRAMA DE LA PASTILLA A LA ZAPATILLA
2017001477.0,2017-01-31,ADO1,EGEA OLANO JESUS MARIA,773.55,0.0,4 NEUMATICOS CAMION SM+ARREGLO PINCHAZO PM+PINCHAZO JARDINES
2017001478.0,2017-02-02,ADO1,AISLAMIENTOS LABRIT S.A.  ,146.55,0.0,PLADUR+10 MONTANTES+5 CANALES CP
2017001481.0,2017-02-01,ADO1,HISPANOFIL  ,30.49,0.0,TUBO DOBLE CAPA ROLLO 100MT (2 MT CP-98 MT NAVE)
2017001487.0,2017-02-02,ADO1,IRUÑA CONTENEDORES  ,327.8,0.0,SERVICIO CONTENEDORES ENERO
2017001500.0,2017-01-10,ADO1,GESERLOCAL SL  ,6206.47,0.0,COBROS EJECUTIVA 4º TRIMESTRE
2017001501.0,2017-02-02,ADO1,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A  ,31.17,0.0,1 TONER NEGRO IMPRESORA URTASUN
2017001502.0,2017-02-06,ADO1,EXTINIRUÑA S.L.  ,76.35,0.0,PUERTA GALVANIZADA+REJILLAS+MANILLAS CP
2017001507.0,2017-02-07,ADO1,TCS SUMINISTROS  ,206.31,0.0,6 DEFENSA SEMI-RIGIDA+6 ANILLAS+6 ALIVIA PERCUTORES
2017001515.0,2017-01-31,O1,TITOS ARREDONDO ISABEL,577.5,0.0,"16,5 HORAS CLASES FRANCES B1 Y B1+ ENERO                                                                                "
2017001516.0,2017-01-31,O1,ADNOT  KARINE,577.5,0.0,"16,5 HORAS CLASES FRANCES A1-A2 ENERO                                                                                   "
2017001517.0,2017-01-26,O1,ASESORIA LABORAL RUIZ-PIQUER SL  ,1165.23,0.0,ASESORIA GESTION LABORAL Y SEGURIDAD SOCIAL ENERO
2017001520.0,2017-01-31,O1,ANALISIS DE LOS CUERPOS EN MOVIMIENTO  ,140.0,0.0,4 HORAS CLASES DANTZAS EN EUSKERA ENERO
2017001522.0,2017-02-06,ADO1,EXTINIRUÑA S.L.  ,30.54,0.0,ANULAR CODIGO+ALTA CODIGO CONSULTORIO MEDICO PERSONAL LIMPIEZA
2017001539.0,2017-02-06,ADO1,CORREOS Y TELEGRAFOS  ,3319.21,0.0,SERVICIO CORREOS ENERO (INCLUYE VIALINE)+494 CARTAS CAMPAÑA MATRICULACION EUSKERA
2017001540.0,2017-01-19,ADO1,PAPELERA DEL ARGA SA  ,689.7,0.0,250 PAQUETES PAPEL AYUNTAMIENTO(REPARTIDOS EN SSB Y GRAL)
2017001541.0,2017-02-02,ADO1,HUMICLIMA NORTE S.A.  ,79.5,16.7,CAMBIO RESISTENCIA COMPRESOR CARTER BAR PISCINAS
2017001544.0,2017-01-12,ADO1,HUMICLIMA NORTE S.A.  ,797.85,167.55,REPARACION FUGA BAR PISCINAS
2017001568.0,2017-01-22,O1,GIL ESPINOSA Mª PILAR,224.9,0.0,CONTRATO SERVICIOS PODOLOGIA  ENERO
2017001573.0,2017-02-03,ADO1,MAINATE SA  ,18.61,0.0,PIE ESTABILIZADOR JARDINES
2017001574.0,2017-02-03,ADO1,SOCIEDAD COOPERATIVA CEREALISTA DE URROZ VILLA ,104.58,0.0,4 TICKETS COMBUSTIBLE JARDINES ENERO
2017001575.0,2017-02-07,ADO1,VIZCAY HNOS. S.A.  ,21.51,0.0,4 SACOS 30 KG HORMIGOS SECO+2 ENLACES
2017001576.0,2017-02-07,O1,URBASER SA  ,3743.61,0.0,LABORES MANTENIMIENTO ZONAS VERDES ENERO
2017001577.0,2017-01-25,ADO1,SEAL SL  ,1761.78,0.0,1 DESBROZADORA+1 CORTACESPED+REPARAR TRACTOR+ACEITE
2017001578.0,2017-02-07,ADO1,ACUMULADORES NAVARRA SL  ,6.06,0.0,ACEITE CAJA CAMBIOS
2017001579.0,2017-02-02,O1,ADAXKA S.L.  ,1394.53,0.0,ASISTENCIA TECNICA HUERTOS ENERO
2017001580.0,2017-02-07,ADO1,"REGENAUTO, S.A.  ",42.07,0.0,3 FILTROS+2 LAMPARAS VEHICULOS JARDINES
2017001581.0,2017-02-01,ADO1,"ARTE VERDE NAVARRA, S.L  ",139.15,0.0,TRABAJO CON MAQUINA PARA SACAR ARBOL AVDA ESPAÑA
2017001582.0,2017-01-19,ADO1,LA MANDUCA DE GORRAIZ  ,6.5,0.0,5 PAQUETES GALLETAS CESTA BASICA
2017001583.0,2017-02-06,ADO1,AMAIUR ABOGADOS  ,2420.0,0.0,PROVISION FONDO DILIGENCIAS 1307/2011 AOIZ AYTO CONTRA IRREGULARIDADES
2017001584.0,2017-01-18,ADO1,TXUKUNA FLOWERS SLU  ,105.01,0.0,CENTRO FLORES PABLO ERROZ (VOLUNTARIO CABALGATA)
2017001585.0,2017-01-24,ADO1,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A  ,3304.74,0.0,3 MICROSOFT ACCESS CONCEJALES+18 MANEJO DE DOC. PDF CONCEJALES+SSB+TECNICOS AYTO
2017001586.0,2017-01-30,O1,LARUMBE PASCUAL ENEKO,620.13,0.0,CUOTA MANTENIMIENTO TV NOV-DIC-ENERO
2017001587.0,2017-01-25,O1,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A  ,15389.18,0.0,GESTION APLICACIONES INFORMATICAS 1 TRIMESTRE
2017001588.0,2017-01-26,O1,"CONSULTORIA NAVARRA DE TELECOMUNICACIONE S, S.L. CONATEL",1084.64,0.0,CONTRATO MANTENIMIENTO 2017 CENTRALITA  AYUNTAMIENTO
2017001589.0,2017-02-03,ADO1,DIARIO DE NAVARRA  ,543.4,0.0,SUSCRIPCION DIARIO DE NAVARRA 18/02/17 A 17/02/18
2017001590.0,2017-02-06,ADO1,ADAGIO SL  ,211.99,0.0,8 ATRILES NIQUELADOS ESCUELA MUSICA
2017001591.0,2017-02-07,ADO1,EUSKALDUNON BILTOKI  ,130.68,0.0,TRADUCCION IIII CARRERA SOLIDARIA SARRIGUREN
2017001592.0,2017-01-31,ADO1,BOBINADOS LABRIT S.L  ,21.82,0.0,ALQUILER GENERADOR ESCUELA MUSICA PARA CABALGATA
2017001593.0,2017-02-01,ADO1,ZUNZARREN S.L.  ,968.0,0.0,FABRICACION ADORNO TRASERO CARROZA CABALGATA
2017001594.0,2017-02-08,ADO1,COMUNIDAD FORAL DE NAVARRA (ECONOMIA Y HACIENDA) ,9.6,0.0,8 HOJAS VALORACION CATASTRAL PARCELA BRITISH
2017001595.0,2017-02-06,ADO1,SOCIEDAD COOPERATIVA CEREALISTA DE URROZ VILLA ,5.08,0.0,27 KG SAL EN PIEDRA PARA ATRAER CORZOS Y GRABARLOS
2017001596.0,2017-01-30,ADO1,INSTITUTO VALENCIANO DE FINANZAS - ACCV  ,319.44,0.0,CERTIFICADO DE SEDE ELECTRONICA VALIDEZ 3 AÑOS
2017001597.0,2017-02-03,ADO1,"CONFEIRUÑA, S.L.  ",146.69,0.0,"GUANTES, BOTAS, SM Y CAMIESTA,PANTALONES Y OTROS ESP                                                                    "
2017001785.0,2017-02-13,ADO1,"LOARRE MENSAJEROS, S.L.U  (MRW)",85.46,0.0,SERVICIOS MENSAJERIA ENERO
2017001790.0,2017-02-13,ADO1,CAMINO FONSECA JOSE IGNACIO,698.5,0.0,CATERING ACTO FUSILADOS ELIA 11/02/2017
2017001792.0,2017-02-13,ADO1,ZABAL COMUNICACION PASCUAL PEJENAUTE JAVIER Y FERNANDEZ IMIZCOZ JESUS,972.84,0.0,2500 CUENTOS CARNAVALES
2017001793.0,2017-02-08,ADO1,CARMEN Y RAUL ECHARTE VIANA  ,346.07,0.0,2 PLACAS (PEQUEÑA Y GRANDE) HOMENAJE FUSILADOS
2017001794.0,2017-02-13,ADO1,AUTO,6.8,0.0,CONECTOR BIPOLAR CABALGATA
2017001795.0,2017-02-09,ADO1,RICOH ESPAÑA SLU  ,85.96,0.0,CARTUCHO DE IMPRESION NEGRO PM
2017001796.0,2017-02-09,ADO1,VODAFONE ONO S.A.  ,57.79,0.0,SERVICIO ROUTER+PREMIUN 4MBPS BIBLIOTECA ENERO
2017001797.0,2017-02-10,ADO1,PAUMA SL  ,181.5,0.0,7.5 HORAS RESPIRO FAM. PARA TALLER AUTOCONOCIMIENTO Y DESARROLLO ENERO
2017001798.0,2017-02-11,ADO1,IMPROFORT  ,93.47,0.0,75 UD TUTOR ACACIA 170 CM
2017001799.0,2017-02-14,ADO1,MESSER IBERICA DE GASES  ,42.31,0.0,ALQUILER FIJO ANUAL BOTELLA OXIGENO PARA SOLDAR
2017001800.0,2017-01-17,ADO1,ROTULOS LAVIN.  ,671.55,0.0,COLOCAR VINILOS OPACOS DESPACHOS POLICIA Y POLITICOS
2017001801.0,2017-01-26,ADO1,RED DE CIUDADES POR LA BICICLETA  ,600.0,0.0,CUOTA ANUAL SOCIO RED BICICLETA PLENO 03/05/16
2017001802.0,2017-02-14,ADO1,MEDIA MARKT CORDOVILLA,69.87,0.0,CABLES PROYECTOR AYTO
2017001805.0,2017-02-08,ADO1,"DINAFAX, S.L.  ",135.99,0.0,12.488  COPIAS BN IMPRESORA PLANTA 1 (FIN 419048) 19/01 A 02/02
2017001807.0,2017-02-14,ADO1,SERRANO PEREZ OSCAR,367.8,0.0,LUNCH ENTREGA PREMIOS CONCURSO PROMOCION COMERCIAL
2017001945.0,2017-02-16,ADO1,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A  ,354.01,0.0,1 TONER IMP ORDUÑA+16 CARTUCHOS AYTO+TORRE 25 DVD
2017001946.0,2017-02-13,ADO1,IRIGUIBEL DISTRIBUCIONES S.L.  ,86.87,0.0,3 X 5 LT GEL DE MANOS NAVE SM
2017001947.0,2017-02-07,ADO1,DISNAVAL S.L.  ,101.64,0.0,9 LTS PINTURA CP URIZ PI  ARMARIO HUECO ESCALERAS
2017001948.0,2017-02-07,ADO1,DISNAVAL S.L.  ,182.86,0.0,4 NEUMATICOS NIEVE PEUGEOT 106 SM
2017001949.0,2017-02-07,ADO1,NACOHI  ,48.61,0.0,MANGUERA+REPARAR LATIGUILLO+ABRAZADERA BARREDORA
2017001950.0,2017-02-07,ADO1,REGENAUTO EQUIPOS Y SERVICIOS S.L.  ,97.66,0.0,REPARAR CARGADOR BATERIAS
2017001951.0,2017-02-13,ADO1,IRIGUIBEL DISTRIBUCIONES S.L.  ,61.71,0.0,25 PAQUETES BOLSA BASURA CP LIZARRAGA
2017001952.0,2017-02-13,ADO1,IRIGUIBEL DISTRIBUCIONES S.L.  ,10.01,0.0,1 BOTELLA SUAVIZANTE 4 LT+DETERGENTE LIQUIDO SM
2017001953.0,2017-02-01,ADO1,HISPANOFIL  ,29.49,0.0,10 INTERRUPTORES BLANCOS CP LIZARRAGA
2017001954.0,2017-02-14,ADO1,"SIGNOS VIALES, S.L.  ",1473.76,0.0,10 CARTEL(LIMIT VELOC Y CALLE SIN SALIDA ENBADOSTAIN)+4 PLACAS+2 SEÑAL CIRCULAR
2017001955.0,2017-02-15,O1,CLEN COLLEGE  ,2950.0,0.0,"79 HORAS CLASES INGLES A 37,5€ NIÑOS Y ADULTOS ENERO                                                                    "
2017001956.0,2017-02-15,ADO1,FISIO MEDICA ACTUAL SL  ,100.66,0.0,3 BATAS SEÑORA TRABAJADORAS FAMILIARES
2017001957.0,2017-02-16,ADO1,TEXTIL HOGAR TALLUNTXE  ,45.43,0.0,CORTINA PLACA HOMENAJE FUSILADOS ELIA
2017001958.0,2017-02-08,ADO1,IRIARTE SULLEIRO MIEKE,520.0,0.0,TALLER GLOBOFLEXIA EN CAF +PREPARACION DIA INFANCIA
2017001959.0,2017-02-14,ADO1,DUGUNA FOLKLORE TALDEA  ,150.0,0.0,DANTZA AURRESKU ELIA FUSILADOS
2017001965.0,2017-02-17,ADO1,IRIARTE ALONSO JORGE,217.8,0.0,6 MUPIS CAMPAÑA 8 MARZO DIA DE LA MUJER
2017001966.0,2017-02-16,ADO1,FOREM NAVARRA  ,1208.52,0.0,TALLER EMPLEO MODULOS TRANSVERSALES Y MANIPULACION ALIMENTOS
2017001967.0,2017-02-17,ADO1,"ZUAZU 2001, S.L. (CARNICERIAS ZUAZU) ",435.14,0.0,192 KG POLLO CESTA BASICA
2017001968.0,2017-02-16,ADO1,PEREZ RUIZ ARANCHA,999.93,0.0,RECURSO APELACION 125/16 ART. 73 BLANCA CHIVITE RESP.PATRIM. ICIO
2017002075.0,2017-02-16,ADO1,REGABER  ,909.39,0.0,4 KIT COMPLETOS+4 JUNTA TORICA+4 JUNTA CUERPO DRENAJE
2017002076.0,2017-02-10,ADO1,SYS AGROSAL  ,74.46,0.0,8 BIDON 80LT SUBSTRATO UNIVERSAL
2017002077.0,2017-02-09,ADO1,MADERPLAY S.L.  ,98.43,0.0,6 POSTES MACIZOS TESTAS REDONDAS
2017002078.0,2017-02-02,ADO1,UNZUE E HIJOS S.L.  ,93.35,0.0,REPARAR DESBROZADORA+ROLLO NYLON+CABEZAL DE CORTE
2017002079.0,2017-02-15,ADO1,MADERAS BAGUA SL  ,493.68,0.0,120 PIQUETES DE PINO
2017002080.0,2017-02-15,ADO1,FERNANDEZ BEAUMONT FELIPE (ALFEFLOR),436.44,0.0,1 MINI INVERNADERO+75 MACETAS
2017002081.0,2017-02-16,ADO1,SYS AGROSAL  ,144.2,0.0,MANTA YUTE ROLLO+2 CUPRESSUS+16 BANDEJAS
2017002082.0,2017-02-17,ADO1,URKOITIK  ,272.88,0.0,8 ADAPTADORES RIEGO
2017002083.0,2017-02-17,ADO1,URKOITIK  ,15.09,0.0,REGISTRO HIDRAULICA NEUTRA
2017002084.0,2017-02-18,ADO1,HIDRO SOLAR  ,166.91,0.0,TESTADOR CLORO LIBRE+REACTIVOS LIQUIDO CLORO LIBRE
2017002085.0,2017-02-20,ADO1,UNZUE E HIJOS S.L.  ,352.08,0.0,REPARACIONES DESBROZADORA+MOTOSIERRA+CORTASETOS
2017002086.0,2017-01-24,ADO1,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A  ,1819.74,0.0,2 ORDENADOR ESCUELAS I Y III +4 IMPRESORA SSB
2017002166.0,2017-02-21,ADO1,"DINAFAX, S.L.  ",120.26,0.0,11.043 COPIAS IMPRESORA ESC MUSICA (FIN 213.881) 19/12 A 17/02
2017002168.0,2017-02-16,ADO1,FOREM NAVARRA  ,1594.35,0.0,TALLER DE INFORMATICA PARA CIUDADANOS
2017002169.0,2017-02-14,ADO1,PROMYART  ,76.64,0.0,3 BOLIS USB PERSONALIZADOS. OBSEQUIO JURADO ENTREGA PREMIOS PROMOCION COMERCIAL
2017002170.0,2017-02-14,ADO1,PROMYART  ,189.61,0.0,15 USB PERSONALIZADOS. OBSEQUIO COMERCIANTES ENTREGA PREMIOS PROMOCION COMERCIAL
2017002186.0,2017-02-21,ADO1,HUARTE GRAFICA S.A.L.  ,239.58,0.0,100 CARTELES JORNADAS DEPORTE IGUALDAD+6 TEATRO+20 CARTELES CUENTO CARNAVAL
2017002189.0,2017-02-20,ADO1,UNZUE E HIJOS S.L.  ,33.07,0.0,GAFAS PROTECCION+PETO PROTECCION DESBROZADORA ESP
2017002191.0,2017-02-21,ADO1,ROTULOS LAVIN.  ,129.47,0.0,ROLL UP (SOPORTE+LONA) EXPOSICION AYTO DE FUERTE SAN CRISTOBAL
2017002199.0,2017-02-21,ADO1,EROSKI S.COOP.  ,358.8,0.0,520 LT LECHE CESTA BASICA
2017002201.0,2017-02-17,ADO1,IRIARTE ALONSO JORGE,435.6,0.0,8 MUPIS CAMPAÑA TEATRO
2017002248.0,2017-02-22,O1,ANDACELAY S.L.  ,71086.6,0.0,GESTION CENTROS 0-3 AÑOS ENERO
2017002249.0,2017-02-20,ADO1,GARCIA ERRO MIGUEL ANGEL,495.14,0.0,2 DESATASCADOR+1 NIVEL+1 CEPILLO+10 MASCARILLA+1 PALA+4 MANGOS AZADA
2017002250.0,2017-02-17,ADO1,LA MANDUCA DE GORRAIZ  ,237.84,0.0,189 HUEVOS CESTA BASICA
2017002251.0,2017-02-21,ADO1,TAURO MOTOR CAR SL  ,139.32,0.0,REVISION 15000 KM TOYOTA PM
2017002252.0,2017-02-10,ADO1,ENTIDAD URBANISTICA DE CONSERVACION CIUDAD DE LA INNOVACION ,1170.53,0.0,CUOTA 3 CUATRIMESTRE 2016 MANT CIUDAD INNOVACION 10.5
2017002253.0,2017-02-10,ADO1,ENTIDAD URBANISTICA DE CONSERVACION CIUDAD DE LA INNOVACION ,484.21,0.0,CUOTA 3 CUATRIMESTRE 2016 MANT CIUDAD INNOVACION 10.6 EP12
