a,b,c,d,e,f,g,h,i,j,k,l,m,n,o
1,,15100,12103,RETRIB. COMPLEMENTARIAS PERSONAL  URBANI,,,48800,48800,10204.23,10204.23,10204.23,,10204.23,38595.77
1,,15100,13100,RETRIBUCIONES PERSONAL TEMPORAL URBANISM,,,5000,5000,0,0,0,,0,5000
1,,15100,16000,SEGURIDAD SOCIAL PERSONAL URBANISMO,,,37000,37000,37000,37000,3005.26,,3005.26,0
1,,15100,16400,AYUDA FAMILIAR PERSONAL URBANISMO,,,500,500,92.22,92.22,92.22,,92.22,407.78
1,,16300,12004,RETRIB. BASICAS PERSONAL LIMPIEZA VIARIA,,,90000,90000,10483.65,10483.65,10483.65,,10483.65,79516.35
1,,16300,12006,ANTIGÜEDAD PERSONAL LIMPIEZA VIARIA,,,1200,1200,230.52,230.52,230.52,,230.52,969.48
1,,16300,12009,HORAS EXTRA PERSONAL LIMPIEZA VIARIA,,,0,0,252.8,252.8,252.8,,252.8,-252.8
1,,16300,12103,RETRIB. COMPLEMENTARIAS PERSONAL LIMPIEZ,,,25000,25000,5234.85,5234.85,5234.85,,5234.85,19765.15
1,,16300,13100,RETRIBUCIONES PERSONAL TEMPORAL LIMPIEZA,,,25000,25000,5036.3,5036.3,5036.3,,5036.3,19963.7
1,,16300,16000,SEGURIDAD SOCIAL PERSONAL LIMPIEZA VIARI,,,34000,34000,34000,34000,2852.53,,2852.53,0
1,,16300,16400,AYUDA FAMILIAR PERSONAL LIMPIEZA VIARIA,,,1400,1400,276.66,276.66,276.66,,276.66,1123.34
1,,16900,12003,RETRIB. BASICAS PERSONAL SERV.MULT NIVEL,,,70000,70000,11859.08,11859.08,11859.08,,11859.08,58140.92
1,,16900,12004,RETRIB.BASICAS PERSONAL SERV MULT NIVEL,,,40000,40000,6989.08,6989.08,6989.08,,6989.08,33010.92
1,,16900,12006,ANTIGÜEDAD PERSONAL SERV MULT,,,4500,4500,730.16,730.16,730.16,,730.16,3769.84
1,,16900,12007,RETRIBUCION GRADO PERSONAL SERV.MULT,,,12000,12000,2495.76,2495.76,2495.76,,2495.76,9504.24
1,,16900,12009,HORAS EXTRA PERSONAL SERV.MULTIPLES,,,0,0,518.61,518.61,518.61,,518.61,-518.61
1,,16900,12103,RETRIB. COMPLEMENTARIAS PERSONAL SERV MU,,,70000,70000,11513.7,11513.7,11513.7,,11513.7,58486.3
1,,16900,13000,RETRIB. BASICAS PERS.S.MULT.LABORAL FIJO,,,0,0,6822.64,6822.64,6822.64,,6822.64,-6822.64
1,,16900,13002,HORAS ETRA PERS.SERV.MULT.LABORAL,,,0,0,308.8,308.8,308.8,,308.8,-308.8
1,,16900,13100,RETRIB. PERSONAL TEMPORAL SERVICIOS MULT,,,25000,25000,7809.83,7809.83,7809.83,,6391.06,17190.17
1,,16900,15100,PLAN EMERGENCIAS Y OTROS,,,15000,15000,0,0,0,,0,15000
1,,16900,16000,SEGURIDAD SOCIAL PERSONAL SERVICIOS MULT,,,62000,62000,62000,62000,4952.26,,4952.26,0
1,,16900,16200,GASTOS FORMACION PERSONAL SM,,,2000,2000,0,0,0,,0,2000
1,,16900,16400,AYUDA FAMILIAR PERSONAL SERV. MULT,,,4800,4800,916.33,916.33,916.33,,916.33,3883.67
1,,17100,12002,RETRIB. BASICAS PERSONAL JARDINES NIVEL,,,22700,22700,4836.99,4836.99,4836.99,,4836.99,17863.01
1,,17100,12003,RETRIB. BASICAS PERSONAL  JARDINES NIVEL,,,18800,18800,4012.47,4012.47,4012.47,,4012.47,14787.53
1,,17100,12004,RETRIB.BASICAS PERSONAL JARDINES NIVEL D,,,105000,105000,23820.76,23820.76,23820.76,,23820.76,81179.24
1,,17100,12006,ANTIGÜEDAD PERSONAL JARDINES,,,4600,4600,994.34,994.34,994.34,,994.34,3605.66
1,,17100,12007,RETRIBUCION GRADO PERSONAL JARDINERIA,,,12000,12000,3160.74,3160.74,3160.74,,3160.74,8839.26
1,,17100,12009,HORAS EXTRA PERSONAL JARDINERIA,,,0,0,40,40,40,,40,-40
1,,17100,12103,RETRIB.  COMPLEMENTARIAS PERSONAL JARDIN,,,62000,62000,13744.51,13744.51,13744.51,,13706.57,48255.49
1,,17100,13100,RETRIBUCIONES PERSONAL TEMPORAL JARDINES,,,40000,40000,1526.57,1526.57,1526.57,,1526.57,38473.43
1,,17100,16000,SEGURIDAD SOCIAL PERSONAL JARDINES,,,71000,71000,71000,71000,4547.56,,4547.56,0
1,,17100,16200,FORMACION PERSONAL JARDINES,,,2000,2000,0,0,0,,0,2000
1,,17100,16400,AYUDA FAMILIAR FUNCIONARIOS JARDINES,,,5600,5600,1293.54,1293.54,1293.54,,1293.54,4306.46
1,,17220,13100,RETRIBUCIONES GUARDA DE CAMPO,,,23000,23000,0,0,0,,0,23000
1,,17220,16000,SEGURIDAD SOCIAL GUARDA DE CAMPO,,,7000,7000,7000,7000,0,,0,0
1,,21100,16004,CUOTA MONTEPIO Y AYUDA FAMILIAR PERS.PAS,,,526000,526000,131342.6,131342.6,131342.6,,131342.6,394657.4
1,,21100,16008,A.S.U.N Y A.S.U.E FUNCIONARIOS MONTEPIO,,,3000,3000,0,0,0,,0,3000
1,,21100,16205,SEGURO VIDA Y ACCIDENTES PERSONAL AYTO,,,20000,20000,3374.55,3374.55,3374.55,,3374.55,16625.45
1,,23110,12002,RETRIB.BASICAS PERSONAL SSB NIVEL B,,,154000,154000,38863.91,38863.91,38863.91,,38863.91,115136.09
1,,23110,12004,RETRIB.BASICAS PERSONAL SSB NIVEL D,,,51000,51000,12327.87,12327.87,12327.87,,12327.87,38672.13
1,,23110,12006,ANTIGÜEDAD PERSONAL SSB,,,4500,4500,1263.14,1263.14,1263.14,,1263.14,3236.86
1,,23110,12007,RETRIBUCION GRADO PERSONAL SSB,,,9000,9000,1669.96,1669.96,1669.96,,1669.96,7330.04
1,,23110,12103,RETRIB. COMPLEMENTARIAS PERSONAL SSB,,,92000,92000,24157.59,24157.59,24157.59,,24137.77,67842.41
1,,23110,13000,RETRIB.BASICAS PERS SSB LABORAL FIJO,,,24000,24000,0,0,0,,0,24000
1,,23110,13100,RETRIBUCIONES PERS. LABORAL S.S.B.,,,65000,65000,12183.94,12183.94,12183.94,,12183.94,52816.06
1,,23110,16000,SEGURIDAD SOCIAL PERSONAL S.S.B,,,120000,120000,120000,120000,10443.17,,10443.17,0
1,,23110,16200,FORMACION PERSONAL S.S.B,,,4000,4000,0,0,0,,0,4000
1,,23110,16400,AYUDA FAMILIAR PERSONAL SSB,,,7000,7000,1415.97,1415.97,1415.97,,1415.97,5584.03
1,,23180,12004,RETRIB. BASICAS PERSONAL PROGRAMA SAD,,,68000,68000,14560.64,14560.64,14560.64,,14560.64,53439.36
1,,23180,12006,ANTIGÜEDAD PERSONAL PROGRAMA SAD,,,1900,1900,454.89,454.89,454.89,,454.89,1445.11
1,,23180,12103,RETRIB. COMPLEMENTARIAS PERSONAL PROGRAM,,,22000,22000,3929.35,3929.35,3929.35,,3929.35,18070.65
1,,23180,13100,RETRIBUCIONES PERSONAL SAD TEMPORAL,,,31000,31000,2513.24,2513.24,2513.24,,2513.24,28486.76
1,,23180,16000,SEGURIDAD SOCIAL PERSONAL SAD,,,36000,36000,36000,36000,3052.08,,3052.08,0
1,,23180,16400,AYUDA FAMILIAR PERSONAL PROGRAMA SAD,,,2200,2200,458.03,458.03,458.03,,458.03,1741.97
1,,23910,12002,RETRIBUCIONES BASICAS TECNICA IGUALDAD,,,24000,24000,4783.25,4783.25,4783.25,,4783.25,19216.75
1,,23910,12006,ANTIGÜEDAD TECNICA IGUALDAD,,,500,500,0,0,0,,0,500
1,,23910,12103,RETRIB.COMPLEMENTARIAS IGUALDAD,,,3500,3500,717.49,717.49,717.49,,717.49,2782.51
1,,23910,16000,SEGURIDAD SOCIAL TECNICA IGUALDAD,,,8000,8000,8000,8000,668.02,,668.02,0
1,,24120,12003,RETRIB. BASICAS OFICIAL ESP,,,0,0,8012.9,8012.9,8012.9,,8012.9,-8012.9
1,,24120,12006,ANTIGUEDAD PERSONAL ESP,,,0,0,61.47,61.47,61.47,,61.47,-61.47
1,,24120,12103,RETRIB.COMPLEMENTARIAS PERSONAL ESP,,,0,0,1682.71,1682.71,1682.71,,1682.71,-1682.71
1,,24120,13100,RETRIB. BASICAS PERSONAL PROGRAMA ESP,,,205000,205000,33138.38,33138.38,33138.38,,33138.38,171861.62
1,,24120,16000,SEGURIDAD SOCIAL EMPLEO SOCIAL PROTEGIDO,,,57000,57000,57000,57000,4430.76,,4430.76,0
1,,24120,16200,FORMACION PERSONAL EMPLEO SOCIAL PROTEGI,,,5000,5000,0,0,0,,0,5000
1,,24120,16400,AYUDA FAMILIAR PERSONAL ESP,,,0,0,245.92,245.92,245.92,,245.92,-245.92
1,,24190,12002,RETRIB. BASICAS  TECNICO DE EMPLEO,,,22500,22500,4836.99,4836.99,4836.99,,4836.99,17663.01
1,,24190,12009,HORAS EXTRA TECNICO EMPLEO,,,0,0,1123.58,1123.58,1123.58,,1123.58,-1123.58
1,,24190,12103,RETRIB. COMPLEMENTARIAS TECNICA EMPLEO,,,3500,3500,725.55,725.55,725.55,,725.55,2774.45
1,,24190,16000,SEGURIDAD SOCIAL PERSONAL DESARROLLO Y E,,,8500,8500,8500,8500,1040.4,,1040.4,0
1,,24190,16400,AYUDA FAMILIAR PERSONAL TECNICA EMPLEO,,,900,900,184.44,184.44,184.44,,184.44,715.56
1,,24191,13100,RETRIB. BASICAS PERSONAL PROGRAMA SNE,,,85000,85000,12456.14,12456.14,12456.14,,12456.14,72543.86
1,,24191,16000,SEGURIDAD SOCIAL PERSONAL PROGRAMA SNE,,,24000,24000,24000,24000,1265.42,,1265.42,0
1,,32320,12004,RETRIB. BASICAS  PERSONAL C.P,,,65000,65000,15979.81,15979.81,15979.81,,15979.81,49020.19
1,,32320,12006,ANTIGÜEDAD PERSONAL COLEGIO PUBLICO,,,1000,1000,392.4,392.4,392.4,,392.4,607.6
1,,32320,12103,RETRIB. COMPLEMENTARIAS  PERSONAL C.P,,,26000,26000,6387.1,6387.1,6387.1,,6387.1,19612.9
1,,32320,13000,RETRIB. BASICAS LABORAL FIJO PERSONAL C.,,,23000,23000,5977.89,5977.89,5977.89,,5977.89,17022.11
1,,32320,13002,RETRIB. COMPLEMENT LABORAL FIJO PERSONAL,,,5500,5500,0,0,0,,0,5500
1,,32320,13100,PERSONAL LABORAL TEMPORAL C.P.,,,30000,30000,9917.07,9917.07,9917.07,,9917.07,20082.93
1,,32320,16000,SEGURIDAD SOCIAL PERSONAL CP SARRIGUREN,,,47000,47000,47000,47000,2936.38,,2936.38,0
1,,32320,16400,AYUDA FAMILIAR PERSONAL C.P.,,,900,900,290.09,290.09,290.09,,290.09,609.91
1,,32610,12000,RETRIB. BASICAS PERSONAL ESCUELA MUSICA,,,333000,333000,78451.25,78451.25,78451.25,,78451.25,254548.75
1,,32610,12004,RETRIB. BASICAS PERSONAL ADMITIVO ESCUEL,,,16500,16500,3494.55,3494.55,3494.55,,3494.55,13005.45
1,,32610,12006,ANTIGÜEDAD PERSONAL ESCUELA MUSICA,,,6500,6500,1526.08,1526.08,1526.08,,1526.08,4973.92
1,,32610,12007,RETRIBUCION GRADO PERSONAL ESC.MUS,,,15500,15500,4443.81,4443.81,4443.81,,4443.81,11056.19
1,,32610,12103,RETRIB. COMPLEMENTARIAS PERSONAL ESC.MUS,,,25000,25000,6450.02,6450.02,6450.02,,6450.02,18549.98
1,,32610,13100,PERSONAL LABORAL ESCUELA MUSICA,,,40000,40000,3636.31,3636.31,3636.31,,3636.31,36363.69
1,,32610,16000,SEGURIDAD SOCIAL PERSONAL ESCUELA MUSICA,,,128000,128000,128000,128000,10381.54,,10381.54,0
1,,32610,16200,FORMACION PROFESORADO ESCUELA MUSICA,,,2000,2000,120,120,120,,120,1880
1,,32610,16400,AYUDA FAMILIAR PERSONAL ESC.MUSICA,,,8000,8000,1742.94,1742.94,1742.94,,1742.94,6257.06
1,,33210,12003,RETRIB. BASICAS PERSONAL LUDOTECA-BIBLIO,,,30500,30500,8315.03,8315.03,8315.03,,8315.03,22184.97
1,,33210,12006,ANTIGÜEDAD PERSONAL LUDOTECA- BIBLIOTECA,,,800,800,210.03,210.03,210.03,,210.03,589.97
1,,33210,12009,HORAS EXTRA PERSONAL BIBLIOT/LUDOTECA,,,0,0,44.1,44.1,44.1,,44.1,-44.1
1,,33210,12103,RETRIB. COMPLEMENTARIAS PERSONAL LUDOTEC,,,5000,5000,1250.32,1250.32,1250.32,,1250.32,3749.68
1,,33210,13100,PERSONAL AUXILIAR TEMPORAL LUDOTECA OLAZ,,,15000,15000,2786.7,2786.7,2786.7,,2786.7,12213.3
1,,33210,16000,SEGURIDAD SOCIAL PERSONAL LUDOTECA-BIBLI,,,18400,18400,18400,18400,1446.13,,1446.13,0
1,,33210,16200,FORMACION PERSONAL LUDOTECA-BIBLIOTECA O,,,650,650,0,0,0,,0,650
1,,33211,12003,RETRIB. BASICAS PERSONAL BIBLIOTECA SARR,,,18300,18300,2674.98,2674.98,2674.98,,2674.98,15625.02
1,,33211,12006,ANTIGÜEDAD PERSONAL BIBLIOTECA SARRIGURE,,,400,400,51.23,51.23,51.23,,51.23,348.77
1,,33211,12103,RETRIB. COMPLEMENTARIAS BIBLIOTECA SARRI,,,3300,3300,476.94,476.94,476.94,,476.94,2823.06
1,,33211,13100,PERSONAL AUXILIAR TEMPORAL BIBLIOTECA SA,,,5000,5000,1047.72,1047.72,1047.72,,1047.72,3952.28
1,,33211,16000,SEGURIDAD SOCIAL PERSONAL BIBLIOTECA SAR,,,10000,10000,10000,10000,576.05,,576.05,0
1,,33211,16200,FORMACION PERSONAL BIBLIOTECA SARRIGUREN,,,350,350,0,0,0,,0,350
1,,33400,12000,RETRIB. BASICAS TECNICA DE CULTURA,,,27000,27000,5749.65,5749.65,5749.65,,5749.65,21250.35
1,,33400,12006,ANTIGÜEDAD TECNICA DE CULTURA,,,600,600,122.94,122.94,122.94,,122.94,477.06
1,,33400,12009,HORAS EXTRA PERSONAL CULTURA,,,0,0,542.39,542.39,542.39,,542.39,-542.39
1,,33400,12103,RETRIB. COMPLEMENTARIAS TECNICA DE CULTU,,,3500,3500,716.4,716.4,716.4,,716.4,2783.6
1,,33400,13100,RETRIB. CONSERJERIA AREA CULTURA,,,4000,4000,0,0,0,,0,4000
1,,33400,16000,SEGURIDAD SOCIAL AREA  CULTURA,,,10000,10000,10000,10000,1020.51,,1020.51,0
1,,33400,16400,AYUDA FAMILIAR TECNICA DE CULTURA,,,450,450,92.22,92.22,92.22,,92.22,357.78
1,,33500,12002,RETRIB. BASICAS TECNICO EUSKERA,,,22700,22700,4836.99,4836.99,4836.99,,4836.99,17863.01
1,,33500,12006,ANTIGÜEDAD TECNICO EUSKERA,,,100,100,61.47,61.47,61.47,,61.47,38.53
1,,33500,12103,RETRIB. COMPLEMENTARIAS TECNICO EUSKERA,,,3700,3700,725.55,725.55,725.55,,725.55,2974.45
1,,33500,16000,SEGURIDAD SOCIAL PERSONAL EUSKERA,,,8300,8300,8300,8300,681.56,,681.56,0
1,,33700,12002,RETRIB. BASICAS TECNICO JUVENTUD,,,22000,22000,386.96,386.96,386.96,,386.96,21613.04
1,,33700,12103,RETRIB. COMPLEMENTARIAS TECNICO JUVENTUD,,,3700,3700,58.04,58.04,58.04,,58.04,3641.96
1,,33700,16000,SEGURIDAD SOCIAL TECNICO JUVENTUD,,,8000,8000,8000,8000,0,,0,0
1,,34100,12000,RETRIB. BASICAS TECNICA DE DEPORTE,,,26000,26000,5749.65,5749.65,5749.65,,5749.65,20250.35
1,,34100,12006,ANTIGÜEDAD TECNICA DE DEPORTE,,,650,650,169.05,169.05,169.05,,169.05,480.95
1,,34100,12007,RETRIBUCION GRADO TECNICA DE DEPORTE,,,4650,4650,1034.94,1034.94,1034.94,,1034.94,3615.06
1,,34100,12103,RETRIB. COMPLEMENTARIAS TECNICA DE DEPOR,,,3300,3300,718.71,718.71,718.71,,718.71,2581.29
1,,34100,16000,SEGURIDAD SOCIAL TECNICA DE DEPORTE,,,11000,11000,11000,11000,900.14,,900.14,0
1,,34100,16400,AYUDA FAMILIAR TECNICA DE DEPORTE,,,900,900,184.44,184.44,184.44,,184.44,715.56
1,,91200,10000,SUELDO ALCALDIA,,,41200,41200,8828.58,8828.58,8828.58,,8828.58,32371.42
1,,91200,16000,SEGURIDAD SOCIAL ALCALDIA,,,13700,13700,13700,13700,1068.47,,1068.47,0
1,,91201,10000,CONCEJALIAS DELEGADAS,,,86400,86400,18514.26,18514.26,18514.26,,18514.22,67885.74
1,,91201,16000,SEGURIDAD SOCIAL CONCEJALIAS,,,29000,29000,29000,29000,2345.36,,2345.36,0
1,,91201,16205,SEGURO ACCIDENTES CORPORATIVOS,,,2800,2800,0,0,0,,0,2800
1,,92000,12000,RETRIB. BASICAS PERSONAL ADMON GRAL,,,52600,52600,11499.3,11499.3,11499.3,,11499.3,41100.7
1,,92000,12003,RETRIB. BASICAS PERSONAL ADMON GRAL,,,58000,58000,11948.25,11948.25,11948.25,,11948.25,46051.75
1,,92000,12004,RETRIB. BASICAS PERSONAL ADMON GRAL,,,80000,80000,16282.31,16282.31,16282.31,,16282.31,63717.69
1,,92000,12006,ANTIGÜEDAD PERSONAL ADMON GRAL,,,6500,6500,1442.56,1442.56,1442.56,,1442.56,5057.44
1,,92000,12007,RETRIBUCION GRADO PERSONAL ADMON GRAL,,,21400,21400,4778.43,4778.43,4778.43,,4778.43,16621.57
1,,92000,12103,RETRIB. COMPLEMENTARIAS PERSONAL ADMON,,,88000,88000,19312.41,19312.41,19312.41,,19312.41,68687.59
1,,92000,13000,RETRIBUCION BASICAS PERS.LABORAL ADMON,,,0,0,5053.92,5053.92,5053.92,,5053.92,-5053.92
1,,92000,13100,PERSONAL TEMPORAL ADMINISTRACION,,,55000,55000,6121.74,6121.74,6121.74,,6121.74,48878.26
1,,92000,14300,RETRIBUCIONES PERSONAL BUZONEO,,,1000,1000,0,0,0,,0,1000
1,,92000,16000,SEGURIDAD SOCIAL PERSONAL ADMINISTRACION,,,85000,85000,85000,85000,8745.29,,8745.29,0
1,,92000,16200,FORMACION PERSONAL ADMINISTRACION,,,2000,2000,0,0,0,,0,2000
1,,92000,16204,AYUDAS AL ESTUDIO,,,12000,12000,0,0,0,,0,12000
1,,92000,16209,SERVICIO PREVENCION RIESGOS LABORALES,,,26000,26000,0,0,0,,0,26000
1,,92000,16400,AYUDA FAMILIAR PERSONAL ADMON GRAL,,,6000,6000,1363.89,1363.89,1363.89,,1363.89,4636.11
1,,92400,12002,RETRIB.BASICAS TECNICA PARTICIPACION,,,22600,22600,4783.25,4783.25,4783.25,,4783.25,17816.75
1,,92400,12103,RETRIB.COMPLEMENTARIAS TECNICA PARTICIPA,,,3400,3400,929.83,929.83,929.83,,929.83,2470.17
1,,92400,16000,SEGURIDAD SOCIAL PERSONAL PARTICIPACION,,,8200,8200,8200,8200,667.47,,667.47,0
1,,93100,12000,RETRIB. BASICAS PERSONAL HACIENDA E INTE,,,27000,27000,5749.65,5749.65,5749.65,,5749.65,21250.35
1,,93100,12002,RETRIB BASICAS PERSONAL HACIENDA E INTER,,,22700,22700,4836.99,4836.99,4836.99,,4836.99,17863.01
1,,93100,12004,RETRIB BASICAS PERSONAL HACIENDA E INTER,,,16400,16400,3494.55,3494.55,3494.55,,3494.55,12905.45
1,,93100,12006,ANTIGÜEDAD PERSONAL HACIENDA E INTERVENC,,,2900,2900,599.37,599.37,599.37,,599.37,2300.63
1,,93100,12007,RETRIBUCION GRADO HACIENDA E INTERVENCIO,,,13400,13400,2858.4,2858.4,2858.4,,2858.4,10541.6
1,,93100,12103,RETRIB. COMPLEMENTARIAS HACIENDA E INTER,,,33000,33000,7023.6,7023.6,7023.6,,7023.6,25976.4
1,,93100,16000,SEGURIDAD SOCIAL PERSONAL HACIENDA,,,29500,29500,29500,29500,2482.25,,2482.25,0
1,,93100,16400,AYUDA FAMILIAR HACIENDA E INTERVENCION,,,1800,1800,333.01,333.01,333.01,,333.01,1466.99
,,,,,,,,,,,,,,
TOTAL ,,,,,,,,,,,,,,
Capítulo ,,1,GASTOS DE PERSONAL.,,,,5761050,5761050,2062702.34,2062702.34,1076142.16,,1074656.65,3698347.66
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,,13210,21300,CONSERVACION MAQUINARIA UTILLAJE POLICIA,,,1000,1000,0,0,0,,0,1000
1,,13210,21400,MANTENIMIENTO VEHICULOS POLICIA,,,8000,8000,201.53,201.53,201.53,,201.53,7798.47
1,,13210,22000,GASTOS OFICINA POLICIA,,,3000,3000,851.64,851.64,851.64,,851.64,2148.36
1,,13210,22103,COMBUSTIBLE VEHICULOS POLICIA,,,12000,12000,1647.62,1647.62,1647.62,,1647.62,10352.38
1,,13210,22104,VESTUARIO POLICIA LOCAL,,,20000,20000,0,0,0,,0,20000
1,,13210,22199,MATERIAL TECNICO ESPECIAL POLICIA,,,9000,9000,70.18,70.18,70.18,,70.18,8929.82
1,,13210,22200,TELEFONO FIJO Y MOVIL POLICIA,,,2800,2800,771.6,771.6,771.6,,516.68,2028.4
1,,13210,22400,SEGURO VEHICULOS POLICIA,,,2200,2200,0,0,0,,0,2200
1,,13210,22606,EDUCACION VIAL,,,2000,2000,0,0,0,,0,2000
1,,13210,22701,MANTENIMINETO SISTEMA VIDEOVIGILANCIA,,,2000,2000,1331,1331,332.75,,332.75,669
1,,13210,22706,SEMANA MOVILIDAD,,,6000,6000,0,0,0,,0,6000
1,,13210,23120,LOCOMOCION PERSONAL POLICIA,,,100,100,4.65,4.65,4.65,,4.65,95.35
1,,13210,23300,OTRAS INDEMNIZACIONES POLICIA,,,1000,1000,0,0,0,,0,1000
1,,13210,23301,ASISTENCIA EVENTOS POLICIA (OLIMPIADAS),,,3000,3000,0,0,0,,0,3000
1,,13300,22199,SEÑALIZACION HORIZONTAL Y VERTICAL,,,72000,134611.56,130625.82,130625.82,266.55,,266.55,3985.74
1,,13300,22701,RECOGIDA DE  VEHICULOS CON GRUAS,,,3500,3500,441.02,441.02,441.02,,441.02,3058.98
1,,13400,22100,MANTENIM. POSTES ELECTRIC.CARGA VEH.ELEC,,,0,0,867.73,867.73,867.73,,867.73,-867.73
1,,15100,22760,INFORMES URBANISTICOS,,,8000,8000,0,0,0,,0,8000
1,,15100,23120,LOCOMOCION PERSONAL URBANISMO,,,700,700,133.76,133.76,133.76,,133.76,566.24
1,,15100,23300,OTRAS INDEMNIZ. PERSONAL URBANISMO,,,400,400,110,110,110,,110,290
1,,15311,21000,REPARACIONES CAMINOS,,,10000,10000,2859.93,2859.93,2859.93,,2859.93,7140.07
1,,15330,21000,REPARACIONES VARIAS CALLES Y ESPACIOS PU,,,19000,19000,2771.66,2771.66,2271.66,,2271.66,16228.34
1,,15330,21200,MANTENIMIENTO ASEOS AUTOLIMPIABLES,,,0,0,1450.03,1450.03,1450.03,,1376.96,-1450.03
1,,15331,21000,PLAN INVERNAL,,,9000,9000,841.75,841.75,841.75,,841.75,8158.25
1,,16300,21300,REPARACIONES VEHICULOS SERVICIO LIMPIEZA,,,6500,6500,2728.19,2728.19,2728.19,,2728.19,3771.81
1,,16300,22199,COMPRAS VARIAS SERV.LIMPIEZA CALLES,,,600,600,10.02,10.02,10.02,,10.02,589.98
1,,16300,22709,TRANSPORTE CONTENEDORES LIMPIEZA VIARIA,,,4000,4000,918.5,918.5,918.5,,918.5,3081.5
1,,16500,21900,CONSERVACION ALUMBRADO PUBLICO,,,20000,20000,15837.45,15837.45,15837.45,,15837.45,4162.55
1,,16500,22100,ENERGIA ELECTRICA ALUMBRADO PUBLICO,,,120000,120000,47224.36,47224.36,47224.36,,41977.12,72775.64
1,,16900,21200,CONSERVACION NAVE SERVICIOS MULTIPLES,,,3600,3600,1167.32,1167.32,793.68,,793.68,2432.68
1,,16900,21300,MANTENIMIENTO VEHICULOS Y MAQUINARIA SER,,,21000,21000,5595.81,5595.81,5595.81,,5595.81,15404.19
1,,16900,21600,MANTENIMIENTO TELECOMUNICACIONES Y ANTEN,,,6000,6000,2420,2420,605,,605,3580
1,,16900,21900,MANTENIMIENTO MOBILIARIO URBANO,,,10500,10500,233.4,233.4,233.4,,233.4,10266.6
1,,16900,22100,ENERGIA ELECTRICA NAVE SERVICIOS MULTIPL,,,1800,1800,442.22,442.22,442.22,,442.22,1357.78
1,,16900,22101,AGUA  NAVE SERVICIOS MULTIPLES,,,2000,2000,0,0,0,,0,2000
