#DESCRIPCIÓN FUNCIONAL ,CÓDIGO FUNCIONAL,CÓDIGO ECONÓMICO,FECHA,TERCERO,f,g,DESCRIPCIÓN,IMPORTE PAGO
Promoción cultural                      ,3340,22750,2016-01-04,GOLOSINAS SAGASTI S.L.                                                                    ,,,40 KG CARAMELOS+GLOBOS (VARIOS CABALGATA REYES)                                                                                                                                     ,187.57
Policía Local                           ,1321,22200,2016-01-07,TELEFONICA MOVILES                                                                        ,,,CONSUMO TELEFONIA MOVIL 18-10/17-11                                                                                                                                                 ,105.4
Otros servicios de bienestar comunitario,1690,22200,2016-01-07,TELEFONICA MOVILES                                                                        ,,,CONSUMO TELEFONIA MOVIL 18-10/17-11                                                                                                                                                 ,113.18
Servicio Social de Base                 ,2311,22200,2016-01-07,TELEFONICA MOVILES                                                                        ,,,CONSUMO TELEFONIA MOVIL 18-10/17-11                                                                                                                                                 ,177.07
Órganos de gobierno.                    ,9120,22200,2016-01-07,TELEFONICA MOVILES                                                                        ,,,CONSUMO TELEFONIA MOVIL 18-10/17-11                                                                                                                                                 ,281.78
Administración General.                 ,9200,22200,2016-01-07,TELEFONICA MOVILES                                                                        ,,,CONSUMO TELEFONIA MOVIL 18-10/17-11                                                                                                                                                 ,297.41
Consultorios y centros de salud         ,3121,22101,2016-01-08,IBERDROLA CLIENTES S.A.U.                                                                 ,,,FRAS SUMINISTRO ENERGIA ELECTRICA DICIEM                                                                                                                                            ,375.53
Escuelas de música                      ,3261,22101,2016-01-08,IBERDROLA CLIENTES S.A.U.                                                                 ,,,FRAS SUMINISTRO ENERGIA ELECTRICA DICIEM                                                                                                                                            ,383.04
Escuelas infantiles                     ,3231,22101,2016-01-08,IBERDROLA CLIENTES S.A.U.                                                                 ,,,FRAS SUMINISTRO ENERGIA ELECTRICA DICIEM                                                                                                                                            ,902.99
Otros servicios comunitarios y sociales ,2399,22101,2016-01-08,IBERDROLA CLIENTES S.A.U.                                                                 ,,,FRAS SUMINISTRO ENERGIA ELECTRICA DICIEM                                                                                                                                            ,1055.36
Parques y jardines                      ,1710,22101,2016-01-08,IBERDROLA CLIENTES S.A.U.                                                                 ,,,FRAS SUMINISTRO ENERGIA ELECTRICA DICIEM                                                                                                                                            ,1071.91
Promoción y fomento del deporte.        ,3410,22100,2016-01-08,IBERDROLA CLIENTES S.A.U.                                                                 ,,,FRAS SUMINISTRO ENERGIA ELECTRICA DICIEM                                                                                                                                            ,1116.54
Funcionamiento de centros docentes de en,3232,22101,2016-01-08,IBERDROLA CLIENTES S.A.U.                                                                 ,,,FRAS SUMINISTRO ENERGIA ELECTRICA DICIEM                                                                                                                                            ,2741.7
Administración General.                 ,9200,22101,2016-01-08,IBERDROLA CLIENTES S.A.U.                                                                 ,,,FRAS SUMINISTRO ENERGIA ELECTRICA DICIEM                                                                                                                                            ,3691.88
Alumbrado público.                      ,1650,22100,2016-01-08,IBERDROLA CLIENTES S.A.U.                                                                 ,,,FRAS SUMINISTRO ENERGIA ELECTRICA DICIEM                                                                                                                                            ,19880.06
Parques y jardines                      ,1710,21400,2016-01-12,REVISIONES DE NAVARRA S.A.                                                                ,,,ITV 2015/16 VEHICULO 8131GKB                                                                                                                                                        ,37.05
Funcionamiento de centros docentes de en,3232,21200,2016-01-21,MEDIA MARKT CORDOVILLA-PAMPLONA VIDEO-TV                                                  ,"HIFI-COPUTER, SA                        ",,2 MICROONDAS COLEGIO PUBLICO                                                                                                                                                        ,118
Promoción cultural                      ,3340,22799,2016-01-25,ADNOT                                                                                     ,,KARINE                        ,6 HORAS CURSO FRANCES A1 DIC.15                                                                                                                                                     ,126
Funcionamiento de centros docentes de en,3232,21200,2016-01-25,ALBA TRATAMIENTOS DE HIGIENE SL                                                           ,,,TTO. ANUAL DESINFECTACION C.P. II SARRIGUREN (TTO CHOQUE Y MNTO. UN AÑO)                                                                                                            ,302.5
Escuelas infantiles                     ,3231,21200,2016-01-25,ALBA TRATAMIENTOS DE HIGIENE SL                                                           ,,,TTO.DESINFECTACION Y DESRATIZACION GUARDERIA I SARRIGUREN (ANUAL)                                                                                                                   ,326.7
Protección de la salubridad pública.    ,3110,22709,2016-01-25,ALBA TRATAMIENTOS DE HIGIENE SL                                                           ,,,DESRATIZACIÓN ABRIL 15- ABRIL 16 PUEBLOS DEL VALLE                                                                                                                                  ,3155.85
Bibliotecas públicas.                   ,3321,22199,2016-01-25,ALMACENES MURAZPI                                                                         ,,,50 CARTULINA CLANCA+50 CARTULINA COLOR+6 FOLIA FELPILLAS SURTIDAS+PURPURINA+DIN A4 COLORES                                                                                          ,59.17
Servicio Social de Base                 ,2311,22799,2016-01-25,ALTUNA                                                                                    ,MARIEZCURRENA                           ,IZASKUN                       ,DISEÑO CAMPAÑA 25 NOVIEMBRE+CARTEL CON PROGRAMACION                                                                                                                                 ,77.08
Funcionamiento de centros docentes de en,3232,63200,2016-01-25,APEZETXEA ANAIAK SL                                                                       ,,,OBRAS INSTALACION VESTUARIOS PORTATILES COLEGIO PUBLICO (SEGUN CERTIFICACION NOV.15)                                                                                                ,30984.47
Promoción cultural                      ,3340,22750,2016-01-25,ARANGUREN AA                                                                              ,IRAGORRI                                ,JOSE LUIS                     ,9 SESIONES CURSO COCINA (OCT-DICIEMBRE)                                                                                                                                             ,666
Otros servicios de bienestar comunitario,1690,21300,2016-01-25,ARRIZABAL ELKARTEA S.L.                                                                   ,,,ELEMENTO EMBRAGUE+TRANSPORTE: PARA BARREDORA BICI                                                                                                                                   ,34.18
Administración General.                 ,9200,22770,2016-01-25,ASESORIA LABORAL RUIZ-PIQUER SL                                                           ,,,Sº ASESORIA DICIEMBRE15                                                                                                                                                             ,1165.23
Empleo social protegido                 ,2419,22706,2016-01-25,ASIAIN                                                                                    ,ALDAVE                                  ,GUADALUPE                     ,TROFEOS CONSURSO PROMOCIONAL COMERCIAL: 3 CRISTALES                                                                                                                                 ,85.3
Administración General.                 ,9200,22000,2016-01-25,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,10 HP NEGRO 201XL+5 HP TRICOLOR301XL+3 HP NEGRO 350XL+2HP NEGRO 300XL+4HP NEGRO 300XL+1 HP COLOR 300XL 1ª PLANTA                                                                    ,507.74
Administración General.                 ,9200,21200,2016-01-25,ATISAE                                                                                    ,,,INSPECCION OBLIGATORIA ANUAL 1 ASCENSOR AYTO (28/10/15)                                                                                                                             ,108.9
Funcionamiento de centros docentes de en,3232,21200,2016-01-25,ATISAE                                                                                    ,,,INSPECCION ANUAL OBLIGATORIA 1 ASCENSOR C.P SARRIGUREN                                                                                                                              ,108.9
Bibliotecas públicas.                   ,3321,22199,2016-01-25,AUZOLAN LIBURUDENDA                                                                       ,,,LIBRO EL DOMADOR DE LEONES                                                                                                                                                          ,18
Bibliotecas públicas.                   ,3321,22199,2016-01-25,AUZOLAN LIBURUDENDA                                                                       ,,,LIBROS: EL AMANTE JAPONES+LA BUENA REPUTACION+LOS JUEGOS DEL HAMBRE+EL ANILLO DEL LEAL....LA PROPOSICION DE CAROLA                                                                  ,282.73
Policía Local                           ,1321,22104,2016-01-25,AYALA                                                                                     ,ZARAZA                                  ,FREDY ALBERTO                 ,COLOCACION DE ETIQUETA EN CAZADORA P.M                                                                                                                                              ,6
Escuelas de música                      ,3261,22000,2016-01-25,BAZTAN                                                                                    ,GOYENECHE                               ,IOSEBA                        ,"PARTITURAS MUSICABOHEMIAN RHAPSODY+NO WOMAN,NO CRY+MUSIC FROM FROZEN                                                                                                                ",193.49
Consultorios y centros de salud         ,3121,21200,2016-01-25,BORDATXURI                                                                                ,,,CAMBIO VASO EXPANSION AGUA CALIENTE NAVE JARDINES+CAMBIO PURGADOR AIRE DE CALDERA EN CONSULTORIO GORRAIZ                                                                            ,28.44
Parques y jardines                      ,1710,21200,2016-01-25,BORDATXURI                                                                                ,,,CAMBIO VASO EXPANSION AGUA CALIENTE NAVE JARDINES+CAMBIO PURGADOR AIRE DE CALDERA EN CONSULTORIO GORRAIZ                                                                            ,220.22
Promoción cultural                      ,3340,22750,2016-01-25,BORDES                                                                                    ,MAYO                                    ,MANUEL                        ,12 LOTES PRODUCTOS PARA TRACTORISTAS Y REYES CABALGATA                                                                                                                              ,331.78
Fiestas populares y festejos.           ,3370,22750,2016-01-25,CAMERA TRADE SLU                                                                          ,,,CAMARA DE FOTOS PROGRAMA JOVEN CONCURSO FOTOGRAFIA                                                                                                                                  ,638.99
Empleo social protegido                 ,2419,22706,2016-01-25,CARDENAS                                                                                  ,RODRIGUEZ                               ,EDISON GILBERTO               ,32 CONOS DE CHUCHES (CONCURSO PROMOCION COMERCIAL)                                                                                                                                  ,96
Funcionamiento de centros docentes de en,3232,62500,2016-01-25,CARPINTERIA EGÜÉS S.L.                                                                    ,,,3 UD ARMARIOS PUBLICITARIOS 1290X100X100 CON PUERTAS  EN COLEGIO PUBLICO SARRIGUREN                                                                                                 ,1372.14
Otros servicios de bienestar comunitario,1690,21300,2016-01-25,CARROCERIAS YOLDI SL                                                                      ,,,ABRAZADERAS REGULABLES PARA ALETA DE IVECO NA8392AS (S.M)                                                                                                                           ,55.88
Promoción cultural                      ,3340,22799,2016-01-25,CLEN COLLEGE                                                                              ,,,"49,33 HORAS CLASES INGLES DIC.15                                                                                                                                                    ",1850
Promoción cultural                      ,3340,22799,2016-01-25,CLEN COLLEGE                                                                              ,,,"87,34 HORAS INGLES OCT.15                                                                                                                                                           ",3275
Fiestas populares y festejos.           ,3380,22620,2016-01-25,COMERCIAL PIROTECNIA FIESTA                                                               ,,,1 COHETON COMIENZO FIESTAS+1 COHETE TRUENO+1 TORO FUEGO                                                                                                                             ,202.07
Funcionamiento de centros docentes de en,3232,22104,2016-01-25,CONFECCIONES LA INDUSTRIAL NAVARRA S.L.                                                   ,,,4 POLO AZUL M/CORTA+3 PANTALON AZUL+1 CHAQUETA PUNTO AZUL+1 FORRO POLAR+4 IMPRESIONES (CONSEJES C.P)                                                                                ,158.76
Otros servicios de bienestar comunitario,1690,22104,2016-01-25,"CONFEIRUÑA, S.L.                                                                          ",,,1 BOTA CASTOR CORE TEX+4 BOTA FRESNO PLANTILLA S3 S.M                                                                                                                               ,300.71
Parques y jardines                      ,1710,22199,2016-01-25,"CONTENEDORES IRUÑA, S.L.                                                                  ",,,8 Sº TRANSPORTE CONTENEDORES NOVIEMBRE (RECOGIDA HOJAS JARDINES)                                                                                                                    ,1311.2
Parques y jardines                      ,1710,22199,2016-01-25,COVAL                                                                                     ,,,KIT PROTECTORES AUDITIVOS+1 CASCO+4 MOCHILA M21+3 MOSQUETON+PANTALLA REJILLA+MAILLON ALUM                                                                                           ,191
Administración General.                 ,9200,22000,2016-01-25,"DINAFAX, S.L.                                                                             ",,,1ª PLANTA: 11150 UDS B/N DE 23/11 A 21/12/15                                                                                                                                        ,121.42
Promoción cultural                      ,3340,22750,2016-01-25,DISTRIVISUAL (MANTENIMIENTO LIMPIEZAS)                                                    ,,,Sº LIMPIEZA EDIFICIOS MUNICIPALES DICIEMBRE15                                                                                                                                       ,37.04
Promoción y fomento del deporte.        ,3410,22740,2016-01-25,DISTRIVISUAL (MANTENIMIENTO LIMPIEZAS)                                                    ,,,Sº LIMPIEZA EDIFICIOS MUNICIPALES DICIEMBRE15                                                                                                                                       ,91.71
Desarrollo empresarial.                 ,4330,22700,2016-01-25,DISTRIVISUAL (MANTENIMIENTO LIMPIEZAS)                                                    ,,,Sº LIMPIEZA EDIFICIOS MUNICIPALES DICIEMBRE15                                                                                                                                       ,333.37
Parques y jardines                      ,1710,21200,2016-01-25,DISTRIVISUAL (MANTENIMIENTO LIMPIEZAS)                                                    ,,,Sº LIMPIEZA EDIFICIOS MUNICIPALES DICIEMBRE15                                                                                                                                       ,463.01
Otros servicios de bienestar comunitario,1690,21200,2016-01-25,DISTRIVISUAL (MANTENIMIENTO LIMPIEZAS)                                                    ,,,Sº LIMPIEZA EDIFICIOS MUNICIPALES DICIEMBRE15                                                                                                                                       ,463.01
Otros servicios comunitarios y sociales ,2399,21200,2016-01-25,DISTRIVISUAL (MANTENIMIENTO LIMPIEZAS)                                                    ,,,Sº LIMPIEZA EDIFICIOS MUNICIPALES DICIEMBRE15                                                                                                                                       ,851.03
Escuelas de música                      ,3261,21200,2016-01-25,DISTRIVISUAL (MANTENIMIENTO LIMPIEZAS)                                                    ,,,Sº LIMPIEZA EDIFICIOS MUNICIPALES DICIEMBRE15                                                                                                                                       ,1203.44
Funcionamiento de centros docentes de en,3232,21200,2016-01-25,DISTRIVISUAL (MANTENIMIENTO LIMPIEZAS)                                                    ,,,LIMPIEZA NUEVO COLEGIO MES DICIEMBRE                                                                                                                                                ,1732.73
Consultorios y centros de salud         ,3121,21200,2016-01-25,DISTRIVISUAL (MANTENIMIENTO LIMPIEZAS)                                                    ,,,Sº LIMPIEZA EDIFICIOS MUNICIPALES DICIEMBRE15                                                                                                                                       ,1852.01
Funcionamiento de centros docentes de en,3232,21200,2016-01-25,DISTRIVISUAL (MANTENIMIENTO LIMPIEZAS)                                                    ,,,LIMPIEZA AMPLIACION COLEGIO NUEVO MES NOVIEMBRE                                                                                                                                     ,3347.77
Administración General.                 ,9200,21200,2016-01-25,DISTRIVISUAL (MANTENIMIENTO LIMPIEZAS)                                                    ,,,Sº LIMPIEZA EDIFICIOS MUNICIPALES DICIEMBRE15                                                                                                                                       ,5556.05
Funcionamiento de centros docentes de en,3232,21200,2016-01-25,DISTRIVISUAL (MANTENIMIENTO LIMPIEZAS)                                                    ,,,Sº LIMPIEZA EDIFICIOS MUNICIPALES DICIEMBRE15                                                                                                                                       ,10965.9
Escuelas de música                      ,3261,22000,2016-01-25,ECHARRI                                                                                   ,LOPEZ                                   ,JAVIER                        ,PARTITURAS MUSICA AUTTUMN LEAVES+KUWA FURAHA+KUSIMAMA+LAU EUSKAL ABESTI1 Y II+BRODWAY SONGS FOR KIDS+PEACE VARIATIONS                                                               ,124.6
Escuelas infantiles                     ,3231,22799,2016-01-25,EDUCACONTINUUM SLL-AGINTZARI S.COOP                                                       ,DE INICIATIVA SOCIAL UTE                ,,GESTION 18 UNIDADES CENTROS 0-3 DICIEMBRE                                                                                                                                           ,53522.22
Alumbrado público.                      ,1650,21900,2016-01-25,ELECNOR S.A.                                                                              ,,,REPOSICION CABLE ROBADO C.P SARRIGUREN (PPTO: 480-15-088). SUMINISTRO CABLE+INSTALACION.                                                                                            ,4071.89
Bibliotecas públicas.                   ,3321,22199,2016-01-25,ELKAR                                                                                     ,,,"IQBAL-EN HISTORIA+DVD HIRUKIAK 8+AMONAK NOBIOA DU,ETA ZER?+EZIN DUT, ETA ZER?+..+PIRATA ESKOLA BARRAJIDA KAPITAINEREN                                                               ",212.89
Promoción y fomento del deporte.        ,3410,22740,2016-01-25,ELKARKIDE                                                                                 ,,,7200 UDS BUZONEO FOLLETO PROGRAMA NAVIDAD2015+ACTDES DEPORTIVAS NAVIDAD (UNIF+PUEBLOS)                                                                                              ,137.33
Promoción cultural                      ,3340,22750,2016-01-25,ELKARKIDE                                                                                 ,,,7200 UDS BUZONEO FOLLETO PROGRAMA NAVIDAD2015+ACTDES DEPORTIVAS NAVIDAD (UNIF+PUEBLOS)                                                                                              ,137.34
Parques y jardines                      ,1710,21000,2016-01-25,FERNANDEZ                                                                                 ,BEAUMONT                                ,FELIPE (ALFEFLOR)             ,MALLA ANTIGERMINANTE 100 GR                                                                                                                                                         ,129.59
Otros servicios comunitarios y sociales ,2399,21200,2016-01-25,FERRETERIA BERRIAINZ                                                                      ,,,10 UDS BOBINA IND (S.M)+3 BOTE 25 KG ASFALTO (GORRAIZ)+CERRADURA+COPIA LLAVE+PILAS+TORNILLO ALLEN..(C.P)                                                                            ,1.67
Otros servicios de bienestar comunitario,1690,21900,2016-01-25,FERRETERIA BERRIAINZ                                                                      ,,,1 AMOLADORA BOSCH GWS+40 PASADOR TIPO R (PARA CARPAS)                                                                                                                               ,4.25
Otros servicios de bienestar comunitario,1690,21900,2016-01-25,FERRETERIA BERRIAINZ                                                                      ,,,10 UDS BOBINA IND (S.M)+3 BOTE 25 KG ASFALTO (GORRAIZ)+CERRADURA+COPIA LLAVE+PILAS+TORNILLO ALLEN..(C.P)                                                                            ,40.69
Funcionamiento de centros docentes de en,3232,21200,2016-01-25,FERRETERIA BERRIAINZ                                                                      ,,,10 UDS BOBINA IND (S.M)+3 BOTE 25 KG ASFALTO (GORRAIZ)+CERRADURA+COPIA LLAVE+PILAS+TORNILLO ALLEN..(C.P)                                                                            ,42.88
Otros servicios de bienestar comunitario,1690,22110,2016-01-25,FERRETERIA BERRIAINZ                                                                      ,,,10 UDS BOBINA IND (S.M)+3 BOTE 25 KG ASFALTO (GORRAIZ)+CERRADURA+COPIA LLAVE+PILAS+TORNILLO ALLEN..(C.P)                                                                            ,108.9
Otros servicios de bienestar comunitario,1690,62300,2016-01-25,FERRETERIA BERRIAINZ                                                                      ,,,1 AMOLADORA BOSCH GWS+40 PASADOR TIPO R (PARA CARPAS)                                                                                                                               ,181.5
Parques y jardines                      ,1710,22199,2016-01-25,FERRETERIA IRIGARAY                                                                       ,,,5 MTS MALLA-TELA ELECTROSOLDADA PARA COMPOSTADORES                                                                                                                                  ,32.56
Parques y jardines                      ,1710,60900,2016-01-25,FUNDACION ILUNDAIN HARITZ-BERRI                                                           ,,,"10 CAJA REFUGIO MURCIELAGO, DOBLES Y MATERIAL FENOLICO                                                                                                                              ",605
Parques y jardines                      ,1710,22799,2016-01-25,FUNDACION ILUNDAIN HARITZ-BERRI                                                           ,,,ACTUACIONES SEGUN CONVENIO (2º SEMESRE 15)                                                                                                                                          ,2420
Órganos de gobierno.                    ,9120,16200,2016-01-25,GLOBAL SYMMETRY SL                                                                        ,,,4 HORAS CURSO SOBRE IGUALDAD A PERSONAL POLITICO                                                                                                                                    ,960
Promoción y fomento del deporte.        ,3410,22740,2016-01-25,GRAFICAS LIZARRA S.L.                                                                     ,,,9000 FOLLETOS+100 CARTELES CON PROGRAMACION NAVIDAD Y ACTDES DEPORTIVAS NAVIDAD                                                                                                     ,605
Promoción cultural                      ,3340,22750,2016-01-25,GRAFICAS LIZARRA S.L.                                                                     ,,,9000 FOLLETOS+100 CARTELES CON PROGRAMACION NAVIDAD Y ACTDES DEPORTIVAS NAVIDAD                                                                                                     ,605
Servicio Social de Base                 ,2311,22799,2016-01-25,"GRAFICAS VASCONIA, S.A.                                                                   ",,,9.000 UDS DIN A4 COLOR DOS CARAS CAMPAÑA CONTRA VIOLENCIA MUJERES (25/11/15)                                                                                                        ,701.8
Otros servicios comunitarios y sociales ,2399,63200,2016-01-25,"HARINSA NAVASFALT, S.A.                                                                   ",,,"OBRA CAMBIO PUERTA EN CAF DE SARRIGUREN: TECHOS,ESCAYOLA Y ESTRUC.METALICA CON CONEXION ELECTRICA,LUCES EMERGENCIA...                                                               ",13426.18
Parques y jardines                      ,1710,21000,2016-01-25,HIDRO SOLAR                                                                               ,,,12 BIDONES HIPOCLORITO SODICO DISOLUCION (23/11/15)                                                                                                                                 ,217.22
Parques y jardines                      ,1710,21000,2016-01-25,HIDRO SOLAR                                                                               ,,,12 BIDONES HIPOCLORITO SODICO DISOLUCION (05/11/15)                                                                                                                                 ,217.22
Otros servicios de bienestar comunitario,1690,21200,2016-01-25,HISPANOFIL                                                                                ,,,AVISADOR LUMINOSO Y SONORO AL-S 24 ROJO NAVE MULTIPLES                                                                                                                              ,58.99
"Urbanismo: planeamiento, gestión, ejecuc",1510,60900,2016-01-25,IGONBE DESIGN S.L.                                                                        ,,,COMPRA 10 APARCABICIS Y 2 APARCA PATINETES                                                                                                                                          ,3049.2
Promoción cultural                      ,3340,22750,2016-01-25,ILUNA PRODUCCIONES                                                                        ,,,"REPRESENTACION INFANTIL ""UN CUENTO DE SUPERHÉROES"" 22/11/15                                                                                                                         ",770
"Urbanismo: planeamiento, gestión, ejecuc",1510,60900,2016-01-25,"INGENIERIA Y URBANISMO, S.L.                                                              ",,,REMODELACION INTERSECCION AVDA. UNION EUROPEA/CRTA.VALLE ARANGUREN Y AVDA. JORGE OTEIZA SARRIGUREN                                                                                  ,3872
Administración General.                 ,9200,22602,2016-01-25,IRIARTE                                                                                   ,ALONSO                                  ,JORGE                         ,6 PAPEL (MUPI) E INSTALACION POR CAMPAÑA NAVIDAD                                                                                                                                    ,217.8
Funcionamiento de centros docentes de en,3232,22110,2016-01-25,IRIGUIBEL DISTRIBUCIONES S.L.                                                             ,,,COL.PUBLICO: 13 JUMBO CEL+3 TOALLA CELEA ECO+2SCOTT 200 TOALLA+3 GEL DERMO+50 BOLSA BASURA NORMAL (1/12 A 10/12)                                                                    ,644.72
Servicio Social de Base                 ,2311,22799,2016-01-25,"JANGARRIA,S.L.U.                                                                          ",,,63 CHOCOLATES+CUOTA GESTION DIA DE LA INFANCIA 20/11/15)                                                                                                                            ,91.3
Bibliotecas públicas.                   ,3321,22199,2016-01-25,JUGUETES EREGUI S.L.                                                                      ,,,LEGO JUNIORS LA OBRA+SOFIA Y ANIMALITOS+NISI NI NO+STAR WARS CM RISK GAME+PATINETE PLEGABLE...                                                                                      ,305.08
Parques y jardines                      ,1710,22110,2016-01-25,LAVANDERIA BLANCO                                                                         ,,,LIMPIEZA NOV15: 1ANORAK+44 CAMISA+5 CHALECO+17 JERSEY+26 PANTALON JARDINES                                                                                                          ,219.77
Parques y jardines                      ,1710,22110,2016-01-25,LAVANDERIA BLANCO                                                                         ,,,LIMPIEZA OCT.15: 4 ANORAK+42 CAMISA+2 CHALECO+11 CAMISETA+17JERSEY+40 PANTALON JARDINES                                                                                             ,278.15
Escuelas de música                      ,3261,16200,2016-01-25,LIVESHOW                                                                                  ,,,SERVICIOS CURSO DE SONIDO 2015                                                                                                                                                      ,600.16
Administración General.                 ,9200,22300,2016-01-25,"LOARRE MENSAJEROS, S.L.U                                                                  ",,(MRW)                         ,10 Sº REPARTO NOVIEMBRE 15                                                                                                                                                          ,181.44
Transporte público.                     ,4411,46300,2016-01-25,MANCOMUNIDAD DE LA COMARCA DE PAMPLONA                                                    ,,,"4º TRIMESTRE APORTACION AL TTPTE. PUBLICO (OLAZ,GORRAIZ,SARRIGUREN)                                                                                                                 ",22088.6
Parques y jardines                      ,1710,21000,2016-01-25,MANCOMUNIDAD DE LA COMARCA DE PAMPLONA                                                    ,,,2º PAGO APORTACION MANTENIMIENTO PARQUE FLUVIAL RES.499/2015                                                                                                                        ,25082.3
"Urbanismo: planeamiento, gestión, ejecuc",1510,60900,2016-01-25,MARIÑELARENA                                                                              ,IRURZUN                                 ,JOSE RAUL                     ,"REPARACION TEJADO DE LAVADERO EN FUENTE IBIRICU: TEJAS, LIMPIEZA Y ARREGLO GOTERAS                                                                                                  ",912.34
Escuelas de música                      ,3261,22000,2016-01-25,MEDINA                                                                                    ,SADABA                                  ,JAIONE                        ,PARTITURAS:DER JUNGE POP-CHOR2+CHOR1+SING OUT 5 POP+NOVELLO PRIMARY CHORALS+LITTLE VOICES THE BEACH BOYS                                                                            ,95.16
Escuelas de música                      ,3261,22750,2016-01-25,OLAZAR GESTION SLU                                                                        ,,,FESTIVAL ESC.MUSICA TEATRO VILLAVA: 22/12/15. 1 TCO MEDIA JORNADA                                                                                                                   ,121
Otros servicios comunitarios y sociales ,2399,22799,2016-01-25,PAUMA SL                                                                                  ,,,SERVICIO ATENCION FAMILIAS DICIEMBRE                                                                                                                                                ,35067.91
