a,b,c,d,e,f,g,h,i,j,k,l,m,n,AYUNTAMIENTO DEL VALLE DE EGÜES 
1,,17100,12002,RETRIB. BASICAS PERSONAL JARDINES NIVEL,,,21500,21500,21481.46,21481.46,21481.46,,21481.46,18.54
1,,17100,12003,RETRIB. BASICAS PERSONAL  JARDINES NIVEL,,,18000,18000,17819.61,17819.61,17819.61,,17819.61,180.39
1,,17100,12004,RETRIB.BASICAS PERSONAL JARDINES NIVEL D,,,108000,108000,81767.61,81767.61,81767.61,,81767.61,26232.39
1,,17100,12006,ANTIGÜEDAD PERSONAL JARDINES,,,3200,3200,3539.94,3539.94,3539.94,,3539.94,-339.94
1,,17100,12007,RETRIBUCION GRADO PERSONAL JARDINERIA,,,9700,9700,10729.83,10729.83,10729.83,,10729.83,-1029.83
1,,17100,12009,AYUDA FAMILIAR ATRASOS PERSONAL JARDINES,,,10900,10900,10830.32,10830.32,10830.32,,10830.32,69.68
1,,17100,12103,RETRIB.  COMPLEMENTARIAS PERSONAL JARDIN,,,37000,37000,55402.12,55402.12,55402.12,,55402.12,-18402.12
1,,17100,13100,RETRIBUCIONES PERSONAL TEMPORAL JARDINES,,,22000,22000,37883.23,37883.23,37883.23,,37883.23,-15883.23
1,,17100,16000,SEGURIDAD SOCIAL PERSONAL JARDINES,,,70000,67700,60700,60576.64,60576.64,,55709.21,7000
1,,17100,16200,FORMACION PERSONAL JARDINES,,,0,0,459.11,459.11,459.11,,459.11,-459.11
1,,17100,16400,AYUDA FAMILIAR FUNCIONARIOS JARDINES,,,6800,6800,4123.14,4123.14,4123.14,,4123.14,2676.86
1,,21100,16004,CUOTA MONTEPIO Y AYUDA FAMILIAR PERS.PAS,,,476000,476000,467324.39,467324.39,467324.39,,467324.39,8675.61
1,,21100,16008,A.S.U.N Y A.S.U.E FUNCIONARIOS MONTEPIO,,,3000,3000,1023.02,1023.02,1023.02,,1023.02,1976.98
1,,21100,16205,SEGURO VIDA Y ACCIDENTES PERSONAL AYTO,,,18000,18000,12671.23,12671.23,12671.23,,0,5328.77
1,,23110,12002,RETRIB.BASICAS PERSONAL SSB NIVEL B,,,172000,172000,151638.81,151638.81,151638.81,,150104.42,20361.19
1,,23110,12004,RETRIB.BASICAS PERSONAL SSB NIVEL D,,,44500,44500,46564.41,46564.41,46564.41,,46564.41,-2064.41
1,,23110,12006,ANTIGÜEDAD PERSONAL SSB,,,3300,3300,3597.29,3597.29,3597.29,,3558.29,-297.29
1,,23110,12007,RETRIBUCION GRADO PERSONAL SSB,,,9800,9800,9666.45,9666.45,9666.45,,9666.45,133.55
1,,23110,12009,AYUDA FAMILIAR ATRASOS PERSONAL SSB,,,15500,15500,11365.74,11365.74,11365.74,,11365.74,4134.26
1,,23110,12103,RETRIB. COMPLEMENTARIAS PERSONAL SSB,,,91500,91500,84484.78,84484.78,84484.78,,83859.83,7015.22
1,,23110,13100,RETRIBUCIONES PERSONAL LABORAL SSB,,,0,16000,59090.28,59090.28,59090.28,,59090.28,-43090.28
1,,23110,16000,SEGURIDAD SOCIAL PERSONAL S.S.B,,,98000,98000,91000,90862.57,90862.57,,84164.73,7000
1,,23110,16200,FORMACION PERSONAL S.S.B,,,4000,4000,3016.56,3016.56,3016.56,,2476.98,983.44
1,,23110,16400,AYUDA FAMILIAR PERSONAL SSB,,,8600,8600,10205.58,10205.58,10205.58,,10147.08,-1605.58
1,,23180,12004,RETRIB. BASICAS PERSONAL PROGRAMA SAD,,,75000,75000,67417.23,67417.23,67417.23,,67417.23,7582.77
1,,23180,12006,ANTIGÜEDAD PERSONAL PROGRAMA SAD,,,1300,1300,1466.34,1466.34,1466.34,,1466.34,-166.34
1,,23180,12009,AYUDA FAMILIAR ATRASOS PERSONAL SAD,,,7600,7600,9331.49,9331.49,9331.49,,9331.49,-1731.49
1,,23180,12103,RETRIB. COMPLEMENTARIAS PERSONAL PROGRAM,,,40000,40000,18017.37,18017.37,18017.37,,18017.37,21982.63
1,,23180,13100,RETRIBUCIONES PERSONAL SAD TEMPORAL,,,0,0,14587.35,14587.35,14587.35,,14529.21,-14587.35
1,,23180,16000,SEGURIDAD SOCIAL PERSONAL SAD,,,35000,35000,39500,39208.24,39208.24,,36347.75,-4500
1,,23180,16200,FORMACION PERSONAL SAD,,,0,0,293.4,293.4,293.4,,293.4,-293.4
1,,23180,16400,AYUDA FAMILIAR PERSONAL PROGRAMA SAD,,,2500,2500,2001.22,2001.22,2001.22,,2001.22,498.78
1,,23910,13100,RETRIBUCIONES TECNICA IGUALDAD,,,24800,24800,25713.22,25713.22,25713.22,,25449.62,-913.22
1,,23910,16000,SEGURIDAD SOCIAL TECNICA IGUALDAD,,,8100,8100,8400,8334.94,8334.94,,7640.36,-300
1,,24120,13100,RETRIB. BASICAS PERSONAL PROGRAMA ESP,,,190000,187300,184914.55,184914.55,184914.55,,184912.49,2385.45
1,,24120,16000,SEGURIDAD SOCIAL EMPLEO SOCIAL PROTEGIDO,,,62000,62000,56057.71,55335.88,55335.88,,50710.31,5942.29
1,,24120,16200,FORMACION PERSONAL EMPLEO SOCIAL PROTEGI,,,3500,3500,4920,4920,4920,,4920,-1420
1,,24190,12002,RETRIB. BASICAS  TECNICA DE EMPLEO,,,13000,13000,11707.35,11707.35,11707.35,,11707.35,1292.65
1,,24190,12009,AYUDA FAMILIAR ATRASOS TECNICA EMPLEO,,,150,150,120.97,120.97,120.97,,120.97,29.03
1,,24190,12103,RETRIB. COMPLEMENTARIAS TECNICA EMPLEO,,,2000,2000,1617.97,1617.97,1617.97,,1617.97,382.03
1,,24190,13100,TECNICO EMPLEO REGIMEN LABORAL,,,0,0,1358.69,1358.69,1358.69,,1358.69,-1358.69
1,,24190,16000,SEGURIDAD SOCIAL PERSONAL DESARROLLO Y E,,,4000,4000,4000,3943.59,3943.59,,3553.89,0
1,,24190,16400,AYUDA FAMILIAR PERSONAL TECNICA EMPLEO,,,500,500,342.72,342.72,342.72,,342.72,157.28
1,,24191,13100,RETRIB. BASICAS PERSONAL PROGRAMA SNE,,,100000,100000,100617.05,100617.05,100617.05,,100617.05,-617.05
1,,24191,16000,SEGURIDAD SOCIAL PERSONAL PROGRAMA SNE,,,35000,35000,33500,33480.91,33480.91,,31983.7,1500
1,,32320,12004,RETRIB. BASICAS  PERSONAL C.P,,,23300,30700,29320.75,29320.75,29320.75,,29320.75,1379.25
1,,32320,12006,ANTIGÜEDAD PERSONAL COLEGIO PUBLICO,,,600,600,699.13,699.13,699.13,,699.13,-99.13
1,,32320,12009,AYUDA FAMILIAR ATRASOS PERSONAL C.P.,,,2950,2950,2941.03,2941.03,2941.03,,2941.03,8.97
1,,32320,12103,RETRIB. COMPLEMENTARIAS  PERSONAL C.P,,,8000,8000,10297.75,10297.75,10297.75,,10297.75,-2297.75
1,,32320,13000,RETRIB. BASICAS LABORAL FIJO PERSONAL C.,,,19300,19900,23692.16,23692.16,23692.16,,23692.16,-3792.16
1,,32320,13002,RETRIB. COMPLEMENT LABORAL FIJO PERSONAL,,,5800,5800,2048.05,2048.05,2048.05,,2048.05,3751.95
1,,32320,13100,PERSONAL LABORAL TEMPORAL C.P.,,,42000,62000,62292.51,62292.51,62292.51,,59938.25,-292.51
1,,32320,16000,SEGURIDAD SOCIAL PERSONAL CP SARRIGUREN,,,31600,31600,34600,34572.76,34572.76,,31163.08,-3000
1,,32320,16200,FORMACION PERSONAL COLEGIO PUBLICO,,,0,0,239.51,239.51,239.51,,239.51,-239.51
1,,32320,16400,AYUDA FAMILIAR PERSONAL C.P.,,,500,500,779.73,779.73,779.73,,779.73,-279.73
1,,32610,12000,RETRIB. BASICAS PERSONAL ESCUELA MUSICA,,,244000,257000,255503.42,255503.42,255503.42,,255503.42,1496.58
1,,32610,12004,RETRIB. BASICAS PERSONAL ADMITIVO ESCUEL,,,15600,15600,15549.36,15549.36,15549.36,,15549.36,50.64
1,,32610,12006,ANTIGÜEDAD PERSONAL ESCUELA MUSICA,,,5000,5000,4913.78,4913.78,4913.78,,4913.78,86.22
1,,32610,12007,RETRIBUCION GRADO PERSONAL ESC.MUS,,,16900,16900,15462.51,15462.51,15462.51,,15462.51,1437.49
1,,32610,12009,AYUDA FAMILIAR ATRASOS PERSONAL ESCUELA,,,9100,9100,11315.13,11315.13,11315.13,,11315.13,-2215.13
1,,32610,12103,RETRIB. COMPLEMENTARIAS PERSONAL ESC.MUS,,,28100,28100,24138.85,24138.85,24138.85,,24138.85,3961.15
1,,32610,13100,PERSONAL LABORAL ESCUELA MUSICA,,,92000,92000,84526.45,84526.45,84526.45,,84526.45,7473.55
1,,32610,16000,SEGURIDAD SOCIAL PERSONAL ESCUELA MUSICA,,,123000,123000,128000,127854.28,127854.28,,116456.87,-5000
1,,32610,16200,FORMACION PROFESORADO ESCUELA MUSICA,,,700,700,2996.47,2996.47,2996.47,,2996.47,-2296.47
1,,32610,16400,AYUDA FAMILIAR PERSONAL ESC.MUSICA,,,5400,5400,5382.79,5382.79,5382.79,,5382.79,17.21
1,,33210,12003,RETRIB. BASICAS PERSONAL LUDOTECA-BIBLIO,,,35000,35000,30004.82,30004.82,30004.82,,29979.34,4995.18
1,,33210,12006,ANTIGÜEDAD PERSONAL LUDOTECA- BIBLIOTECA,,,700,700,702.58,702.58,702.58,,702.07,-2.58
1,,33210,12103,RETRIB. COMPLEMENTARIAS PERSONAL LUDOTEC,,,7000,7000,5799.97,5799.97,5799.97,,5795.23,1200.03
1,,33210,13100,PERSONAL AUXILIAR TEMPORAL LUDOTECA BIBL,,,12000,10000,10309.09,10309.09,10309.09,,10309.09,-309.09
1,,33210,16000,SEGURIDAD SOCIAL PERSONAL LUDOTECA-BIBLI,,,17000,17000,14000,13536.01,13536.01,,12389.53,3000
1,,33210,16200,FORMACION PERSONAL LUDOTECA-BIBLIOTECA,,,0,0,70.15,70.15,70.15,,70.15,-70.15
1,,33400,12000,RETRIB. BASICAS TECNICA DE CULTURA,,,25600,25600,25534.59,25534.59,25534.59,,25534.59,65.41
1,,33400,12006,ANTIGÜEDAD TECNICA DE CULTURA,,,550,550,546,546,546,,546,4
1,,33400,12009,AYUDA FAMILIAR ATRASOS TECNICA CULTURA,,,800,800,762.93,762.93,762.93,,762.93,37.07
1,,33400,12103,RETRIB. COMPLEMENTARIAS TECNICA DE CULTU,,,3200,3200,3285.53,3285.53,3285.53,,3285.53,-85.53
1,,33400,16000,SEGURIDAD SOCIAL TECNICA CULTURA,,,10300,10300,10300,10248.44,10248.44,,9417.52,0
1,,33400,16400,AYUDA FAMILIAR TECNICA DE CULTURA,,,450,450,409.52,409.52,409.52,,409.52,40.48
1,,33500,12002,RETRIB. BASICAS TECNICO EUSKERA,,,12050,12050,12888.82,12888.82,12888.82,,12888.82,-838.82
1,,33500,12103,RETRIB. COMPLEMENTARIAS TECNICO EUSKERA,,,2800,2800,1933.26,1933.26,1933.26,,1933.26,866.74
1,,33500,16000,SEGURIDAD SOCIAL PERSONAL EUSKERA,,,4700,4700,4700,4686.49,4686.49,,4296.79,0
1,,34100,12000,RETRIB. BASICAS TECNICA DE DEPORTE,,,25600,25600,24683.46,24683.46,24683.46,,24683.46,916.54
1,,34100,12006,ANTIGÜEDAD TECNICA DE DEPORTE,,,550,550,527.8,527.8,527.8,,527.8,22.2
1,,34100,12007,RETRIBUCION GRADO TECNICA DE DEPORTE,,,2300,2300,3195.45,3195.45,3195.45,,3195.45,-895.45
1,,34100,12103,RETRIB. COMPLEMENTARIAS TECNICA DE DEPOR,,,3200,3200,3085.46,3085.46,3085.46,,3085.46,114.54
1,,34100,16000,SEGURIDAD SOCIAL TECNICA DE DEPORTE,,,10000,10000,10000,9978.35,9978.35,,9103.83,0
1,,34100,16400,AYUDA FAMILIAR TECNICA DE DEPORTE,,,850,850,791.71,791.71,791.71,,791.71,58.29
1,,91200,10000,SUELDO ALCALDIA,,,41200,41200,41200.04,41200.04,41200.04,,41200.04,-0.04
1,,91200,16000,SEGURIDAD SOCIAL ALCALDIA,,,13500,13500,13600,13592.49,13592.49,,12471.14,-100
1,,91201,10000,CONCEJALIAS DELEGADAS,,,86400,86400,86400.68,86400.68,86400.68,,86400.68,-0.68
1,,91201,16000,SEGURIDAD SOCIAL CONCEJALIAS,,,28400,28400,28600,28291.55,28291.55,,25947.95,-200
1,,91201,16205,SEGURO ACCIDENTES CORPORATIVOS,,,2000,2000,1238.96,1238.96,1238.96,,0,761.04
1,,92000,12000,RETRIB. BASICAS PERSONAL ADMON GRAL,,,51100,51100,51069.2,51069.2,51069.2,,51069.2,30.8
1,,92000,12003,RETRIB. BASICAS PERSONAL ADMON GRAL,,,53500,53500,53458.86,53458.86,53458.86,,53458.86,41.14
1,,92000,12004,RETRIB. BASICAS PERSONAL ADMON GRAL,,,38000,38000,42671.87,42671.87,42671.87,,42671.87,-4671.87
1,,92000,12006,ANTIGÜEDAD PERSONAL ADMON GRAL,,,4600,4600,4818.15,4818.15,4818.15,,4818.15,-218.15
1,,92000,12007,RETRIBUCION GRADO PERSONAL ADMON GRAL,,,11000,11000,17524.22,17524.22,17524.22,,17524.22,-6524.22
1,,92000,12009,AYUDA FAMILIAR ATRASOS PERSONAL ADMON GR,,,9700,9700,9674.37,9674.37,9674.37,,9674.37,25.63
1,,92000,12103,R ETRIB. COMPLEMENTARIAS PERSONAL ADMON,,,66000,66000,71822.07,71822.07,71822.07,,71822.07,-5822.07
1,,92000,13100,OAC E INFORMATICO ADMON GENERAL,,,85000,85000,49858.13,49858.13,49858.13,,49858.13,35141.87
1,,92000,14300,RETRIBUCIONES PERSONAL BUZONEO,,,1000,1000,0,0,0,,0,1000
1,,92000,16000,SEGURIDAD SOCIAL PERSONAL ADMINISTRACION,,,90000,90000,90001.2,88729.38,88729.38,,82084.07,-1.2
1,,92000,16200,FORMACION PERSONAL ADMINISTRACION,,,1000,1000,1659.47,1659.47,1659.47,,1659.47,-659.47
1,,92000,16209,SERVICIO PREVENCION RIESGOS LABORALES,,,29700,29700,29881.63,29881.63,12257.98,,12257.98,-181.63
1,,92000,16400,AYUDA FAMILIAR PERSONAL ADMON GRAL,,,4400,4400,4627.89,4627.89,4627.89,,4627.89,-227.89
1,,93100,12000,RETRIB. BASICAS PERSONAL HACIENDA E INTE,,,25600,25600,25534.6,25534.6,25534.6,,25534.6,65.4
1,,93100,12002,RETRIB BASICAS PERSONAL HACIENDA E INTER,,,21500,21500,21481.46,21481.46,21481.46,,21481.46,18.54
1,,93100,12004,RETRIB BASICAS PERSONAL HACIENDA E INTER,,,15600,15600,15519.56,15519.56,15519.56,,15519.56,80.44
1,,93100,12006,ANTIGÜEDAD PERSONAL HACIENDA E INTERVENC,,,1800,5100,4262.54,4262.54,4262.54,,4262.54,837.46
1,,93100,12007,RETRIBUCION GRADO HACIENDA E INTERVENCIO,,,9500,9500,9640.68,9640.68,9640.68,,9640.68,-140.68
1,,93100,12103,RETRIB. COMPLEMENTARIAS HACIENDA E INTER,,,31200,31200,31330.71,31330.71,31330.71,,31330.71,-130.71
1,,93100,16000,SEGURIDAD SOCIAL PERSONAL HACIENDA,,,28000,28000,28200,28139.11,28139.11,,25055.61,-200
1,,93100,16200,FORMACION PERSONAL HACIENDA,,,0,0,323.79,323.79,323.79,,323.79,-323.79
1,,93100,16400,AYUDA FAMILIAR HACIENDA E INTERVENCION,,,1700,1700,1754.15,1754.15,1754.15,,1754.15,-54.15
,,,,,,,,,,,,,,
TOTAL ,,,,,,,,,,,,,,
Capítulo ,,1,GASTOS DE PERSONAL.,,,,5071650,5167250,5113649.55,5105960.94,5088337.29,,4988782.59,53600.45
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,,13210,20500,RENTING FOTOCOPIADORA POLICIA,,,1000,0,0,0,0,,0,0
1,,13210,21300,CONSERVACION MAQUINARIA UTILLAJE POLICIA,,,4000,0,0,0,0,,0,0
1,,13210,21400,MANTENIMIENTO VEHICULOS POLICIA,,,8000,6700,5993.64,5993.64,5993.64,,4863,706.36
1,,13210,22000,GASTOS OFICINA POLICIA,,,2500,2800,5038.63,5038.63,5038.63,,4956.24,-2238.63
1,,13210,22103,COMBUSTIBLE VEHICULOS POLICIA,,,9000,9000,5894.45,5894.45,5894.45,,5508.25,3105.55
1,,13210,22104,VESTUARIO POLICIA LOCAL,,,20000,8000,7668.33,7668.33,7668.33,,7535.96,331.67
1,,13210,22199,MATERIAL TECNICO ESPECIAL POLICIA,,,1800,1800,5602.67,5602.67,5602.67,,5436.04,-3802.67
1,,13210,22200,TELEFONO POLICIA,,,1000,1000,905.55,905.55,905.55,,905.55,94.45
1,,13210,22400,SEGURO VEHICULOS POLICIA,,,2200,2200,1056.11,1056.11,1056.11,,41.57,1143.89
1,,13210,22606,EDUCACION VIAL,,,3000,200,10.62,10.62,10.62,,10.62,189.38
1,,13210,22706,SEMANA MOVILIDAD,,,6000,6000,5555.52,5555.52,5555.52,,5555.52,444.48
1,,13210,23300,OTRAS INDEMNIZACIONES POLICIA,,,0,0,156.2,156.2,156.2,,156.2,-156.2
1,,13210,23301,INDEMNIZACION ASISTENCIA EVENTOS POLICIA,,,0,0,918.06,918.06,918.06,,918.06,-918.06
1,,13300,22701,RECOGIDA DE  VEHICULOS CON GRUAS,,,6000,6000,4697.62,4697.62,4697.62,,4023.24,1302.38
1,,13300,22706,PLAN MOVILIDAD CIUDAD DE LA INNOVACION,,,3000,0,0,0,0,,0,0
1,,15100,22760,INFORMES URBANISTICOS,,,6000,6000,6443.25,6443.25,6443.25,,5868.5,-443.25
1,,15100,23120,LOCOMOCION PERSONAL URBANISMO,,,0,0,85.2,85.2,85.2,,85.2,-85.2
1,,15100,23300,OTRAS INDEMNIZACIONES PERSONAL URBANISMO,,,0,0,230,230,230,,230,-230
1,,15330,21000,REPARACIONES VARIAS CALLES Y ESPACIOS PU,,,15000,9700,5602.23,5602.23,5602.23,,5602.23,4097.77
1,,15331,21000,PLAN INVERNAL,,,15000,5000,3466.65,3466.65,3466.65,,0,1533.35
1,,16300,22709,TRANSPORTE CONTENEDORES LIMPIEZA VIARIA,,,3600,3600,4261.4,4261.4,4261.4,,2622.4,-661.4
1,,16500,21900,CONSERVACION ALUMBRADO PUBLICO,,,55000,64000,64436.75,64436.75,63468.75,,51343.85,-436.75
1,,16500,22100,ENERGIA ELECTRICA ALUMBRADO PUBLICO,,,220000,280000,270928.39,270928.39,270928.39,,242552.77,9071.61
1,,16900,21200,CONSERVACION NAVE SERVICIOS MULTIPLES,,,1500,1500,2416.47,2416.47,2416.47,,2196.87,-916.47
1,,16900,21300,MANTENIMIENTO VEHICULOS Y MAQUINARIA SER,,,18000,18000,20790.68,20790.68,20790.68,,20364.71,-2790.68
1,,16900,21600,MANTENIMIENTO TELECOMUNICACIONES Y ANTEN,,,5000,5000,5125.05,5125.05,5125.05,,5032.73,-125.05
1,,16900,21900,MANT.MOBILIARIO URBANO Y SEÑALIZACIONES,,,9000,9000,14151.88,14151.88,14151.88,,11136.19,-5151.88
1,,16900,22100,ENERGIA ELECTRICA NAVE SERVICIOS MULTIPL,,,1500,1500,1514.62,1514.62,1514.62,,1514.62,-14.62
1,,16900,22101,AGUA  NAVE SERVICIOS MULTIPLES,,,700,700,1056.92,1056.92,1056.92,,408.84,-356.92
1,,16900,22103,COMBUSTIBLE VEHICULOS Y MAQ. SERV MULTIP,,,15000,15000,12166.51,12166.51,12166.51,,12024.07,2833.49
1,,16900,22104,VESTUARIO PERSONAL SERVICIOS MULTIPLES,,,3000,3000,1905.88,1905.88,1905.88,,1905.88,1094.12
1,,16900,22110,PRODUCTOS LIMPIEZA SERVICIOS MULTIPLES,,,1000,1000,542.05,542.05,542.05,,542.05,457.95
1,,16900,22200,TELEFONO PERSONAL SERVICIOS MULTIPLES,,,2000,2000,1519.91,1519.91,1519.91,,1519.91,480.09
1,,16900,22400,SEGURO VEHICULOS SERVICIOS MULTIPLES,,,3000,3000,3054.7,3054.7,3054.7,,106.47,-54.7
1,,16900,22700,LIMPIEZA NAVE SERVICIOS MULTIPLES,,,5600,4650,4630.1,4630.1,4630.1,,4630.1,19.9
1,,17100,21000,MANTENIMIENTO  Y MATERIAL RIEGO JARDINES,,,25000,25000,32114.21,32114.21,32114.21,,30837.55,-7114.21
1,,17100,21200,CONSERVACION NAVE JARDINERIA,,,1000,1000,1240.2,1240.2,1240.2,,1182.86,-240.2
1,,17100,21400,MANTENIMIENTO VEHICULOS Y MAQUINARIA JAR,,,20000,20000,24950.27,24950.27,24950.27,,21881.65,-4950.27
1,,17100,22100,ENERGIA ELECTRICA NAVE JARDINES,,,2000,2000,1345.3,1345.3,1345.3,,1345.3,654.7
1,,17100,22101,AGUA  NAVE JARDINES,,,1200,1200,1160.75,1160.75,1160.75,,789.66,39.25
1,,17100,22102,GAS NAVE JARDINES,,,5000,5000,3775.2,3775.2,3775.2,,3020.56,1224.8
1,,17100,22103,COMBUSTIBLE VEHICULOS Y MAQ. JARDINES,,,12000,12000,8350.65,8350.65,8350.65,,8284.08,3649.35
1,,17100,22104,VESTUARIO Y EPIS PERSONAL JARDINES,,,5000,5000,6748.96,6748.96,6748.96,,6634.2,-1748.96
1,,17100,22110,LIMPIEZA VESTUARIO Y PRODUCTOS LIMPIEZA,,,2400,2400,2473.99,2473.99,2473.99,,2055.54,-73.99
1,,17100,22199,MATERIAL JARDINES,,,35000,35000,39525.92,39525.92,39525.92,,34468.95,-4525.92
1,,17100,22200,TELEFONO PERSONAL JARDINES,,,1400,1400,1471.8,1471.8,1471.8,,1471.8,-71.8
1,,17100,22400,SEGURO VEHICULOS JARDINES,,,1700,1700,2366.58,2366.58,2366.58,,0,-666.58
1,,17100,22700,LIMPIEZA NAVE JARDINERIA,,,5700,4900,4875.29,4875.29,4875.29,,4875.29,24.71
1,,17100,22799,MANTENIMIENTO ZONAS VERDES Y JARDINES,,,195000,145000,141102.69,141102.69,141102.69,,141102.69,3897.31
