a,b,c,d,e,f,g,h,i,j,k,l,m,n,o
,,,,,,,,,,,,,,
TOTAL ,,,,,,,,,,,,,,
Capítulo ,2,IMPUESTOS INDIRECTOS.,,,,,,300000.0,785600.0,1407587.43,,1398093.96,-621987.43,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,3099000,TASAS LAZARETO MUNICIPAL,,,,,,400.0,400.0,436.8,,436.8,-36.8,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,30,TASAS POR LA PRESTACIÓN DE SERVICIOS PÚB,,,,,400.0,400.0,436.8,,436.8,-36.8,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,3111000,TASAS SAD Y PODOLOGIA,,,,,,1600.0,1600.0,1418.43,,1409.31,181.57,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,31,TASAS POR LA PRESTACIÓN DE SERVICIOS PÚB,,,,,1600.0,1600.0,1418.43,,1409.31,181.57,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,3210000,LICENCIAS URBANISTICIAS O DE OBRA,,,,,,18000.0,18000.0,66528.22,,65170.77,-48528.22,
,,,,,,,,,,,,,,
1,3250000,EXPEDICION DE DOCUMENTOS,,,,,,1200.0,1200.0,1075.3,,1075.3,124.7,
,,,,,,,,,,,,,,
1,3250001,TASAS EMISION INFORMES P.M,,,,,,1200.0,1200.0,1748.3,,1748.3,-548.3,
,,,,,,,,,,,,,,
1,3250002,TASAS BODAS CIVILES,,,,,,6000.0,6000.0,2010.0,,2010.0,3990.0,
,,,,,,,,,,,,,,
1,3250003,DERECHOS DE EXAMEN,,,,,,1500.0,1500.0,738.0,,738.0,762.0,
,,,,,,,,,,,,,,
1,3250004,INCAUTACION FIANZAS BODA CIVIL,,,,,,0.0,0.0,480.0,,480.0,-480.0,
,,,,,,,,,,,,,,
1,3260000,TASAS GRUAS RETIRADAS VEHICULOS,,,,,,3500.0,3500.0,2511.3,,2511.3,988.7,
,,,,,,,,,,,,,,
1,3291000,LICENCIAS DE APERTURA,,,,,,12000.0,12000.0,19702.32,,19219.02,-7702.32,
,,,,,,,,,,,,,,
1,3291001,TASAS POR ACTIVIDADES CLASIFICADAS,,,,,,2300.0,2300.0,10784.73,,9999.84,-8484.73,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,32,TASAS POR LA REALIZACIÓN DE ACTIVIDADES,,,,,45700.0,45700.0,105578.17,,102952.53,-59878.17,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,3310000,VADOS,,,,,,48000.0,48000.0,0.0,,0.0,48000.0,
,,,,,,,,,,,,,,
1,3320000,TASAS UTILIZACION POR EMPRESAS SUMINISTR,,,,,,220000.0,220000.0,196032.45,,181137.42,23967.55,
,,,,,,,,,,,,,,
1,3330000,TASAS UTILIZACION POR EMP.TELECOMUNICACI,,,,,,3500.0,3500.0,3409.13,,2890.71,90.87,
,,,,,,,,,,,,,,
1,3380000,COMPENSACION DE TELEFONICA DE ESPAÑA,,,,,,65000.0,65000.0,51407.62,,51407.62,13592.38,
,,,,,,,,,,,,,,
1,3391000,OCUPACION VIA PUBLICAS POR OBRAS,,,,,,42000.0,42000.0,39199.37,,20008.57,2800.63,
,,,,,,,,,,,,,,
1,3392000,TASAS MERCADILLO SARRIGUREN,,,,,,7000.0,7000.0,5070.0,,2145.0,1930.0,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,33,TASAS POR LA UTILIZACIÓN PRIVATIVA O EL,,,,,385500.0,385500.0,295118.57,,257589.32,90381.43,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,3421000,APORTACIONES ALUMNOS ESC.MUSICA,,,,,,306000.0,306000.0,224711.39,,222213.49,81288.61,
,,,,,,,,,,,,,,
1,3422000,TASAS ESCUELAS INFANTILES,,,,,,320000.0,320000.0,256312.77,,255567.47,63687.23,
,,,,,,,,,,,,,,
1,3422001,SERVICIO RESPIRO FAMILIAR,,,,,,19000.0,19000.0,18248.27,,18248.27,751.73,
,,,,,,,,,,,,,,
1,3422002,SERVICIO LUDOGUARDERIA VERANO,,,,,,10000.0,10000.0,12928.5,,12928.5,-2928.5,
,,,,,,,,,,,,,,
1,3422003,LUDOTECA,,,,,,10000.0,10000.0,10889.75,,10889.75,-889.75,
,,,,,,,,,,,,,,
1,3422004,TASAS COMEDOR CENTROS 0-3,,,,,,163000.0,163000.0,141584.65,,141212.91,21415.35,
,,,,,,,,,,,,,,
1,3422009,INCAUACION FIANZAS CENTROS 0-3,,,,,,300.0,300.0,150.0,,150.0,150.0,
,,,,,,,,,,,,,,
1,3429000,CURSOS IDIOMAS,,,,,,20000.0,20000.0,11744.24,,11744.24,8255.76,
,,,,,,,,,,,,,,
1,3430000,CURSOS ESCUELAS DEPORTIVAS,,,,,,2000.0,2000.0,995.1,,995.1,1004.9,
,,,,,,,,,,,,,,
1,3440000,CURSOS CULTURALES Y ENTRADAS TEATRO,,,,,,20000.0,20000.0,21714.74,,21639.74,-1714.74,
,,,,,,,,,,,,,,
1,3440001,CAMPAMENTO EGULBATI,,,,,,17000.0,17000.0,16818.8,,16818.8,181.2,
,,,,,,,,,,,,,,
1,3440002,CAMPAMENTOS JUVENILES,,,,,,0.0,0.0,1310.0,,1310.0,-1310.0,
,,,,,,,,,,,,,,
1,3440003,CAMPAMENTOS EUSKERA,,,,,,0.0,0.0,4590.0,,4590.0,-4590.0,
,,,,,,,,,,,,,,
1,3450000,TICKETS TAXI BADOSTAIN,,,,,,300.0,300.0,490.0,,490.0,-190.0,
,,,,,,,,,,,,,,
1,3490000,TASAS VIVERO EMPRESAS,,,,,,6000.0,6000.0,4533.45,,4427.61,1466.55,
,,,,,,,,,,,,,,
1,3490001,TASAS HUERTOS ECOLOGICOS,,,,,,6000.0,6000.0,5309.5,,5239.5,690.5,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,34,PRECIOS PÚBLICOS.,,,,,899600.0,899600.0,732331.16,,728465.38,167268.84,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,3600000,INGRESOS POR PLACAS DE VADOS,,,,,,2500.0,2500.0,233.88,,233.88,2266.12,
,,,,,,,,,,,,,,
1,3600010,INCAUTACION FIANZAS PLACAS OBRA,,,,,,300.0,300.0,661.1,,661.1,-361.1,
,,,,,,,,,,,,,,
1,3600020,EJECUCION FIANZAS PLACAS OBRA,,,,,,0.0,0.0,0.0,,0.0,0.0,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,36,VENTAS.,,,,,2800.0,2800.0,894.98,,894.98,1905.02,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,3890000,REINTEGROS AYUDAS SSB PPTOS CERRADOS,,,,,,3000.0,3000.0,8186.1,,8186.1,-5186.1,
,,,,,,,,,,,,,,
1,3890001,REINTEGROS DE CERRADOS,,,,,,0.0,0.0,3219.54,,3219.54,-3219.54,
,,,,,,,,,,,,,,
1,3890002,REINTEGRO DE EJERCICIOS CERRADOS,,,,,,5000.0,5000.0,7296.88,,7296.88,-2296.88,
,,,,,,,,,,,,,,
1,3890004,REINTEGROS AYUDAS COMEDOR,,,,,,0.0,0.0,2456.84,,2456.84,-2456.84,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,38,REINTEGROS DE OPERACIONES CORRIENTES.,,,,,8000.0,8000.0,21159.36,,21159.36,-13159.36,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,3912000,MULTAS DE TRAFICO,,,,,,230000.0,230000.0,325683.4,,195877.12,-95683.4,
,,,,,,,,,,,,,,
1,3919000,OTRAS SANCIONES,,,,,,10000.0,10000.0,29700.63,,5098.38,-19700.63,
,,,,,,,,,,,,,,
1,3921100,RECARGOS APREMIO,,,,,,50000.0,59000.0,66064.85,,66064.85,-7064.85,
,,,,,,,,,,,,,,
1,3930000,INTERESES DE DEMORA,,,,,,7000.0,7000.0,17041.77,,17041.77,-10041.77,
,,,,,,,,,,,,,,
1,3999001,"INGRESOS AGUA,LUZ,GAS BAR CDS",,,,,,12000.0,12000.0,11048.85,,6885.61,951.15,
,,,,,,,,,,,,,,
1,3999003,INGRESOS COMPOST Y LOSETAS HUERTAS,,,,,,1200.0,1200.0,164.4,,154.8,1035.6,
,,,,,,,,,,,,,,
1,3999004,OTROS INGRESOS DIVERSOS,,,,,,5000.0,5000.0,4963.14,,4963.14,36.86,
,,,,,,,,,,,,,,
1,3999005,INGRESOS CELEBRACIONES FIESTAS,,,,,,5000.0,5000.0,4351.0,,4351.0,649.0,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,39,OTROS INGRESOS.,,,,,320200.0,329200.0,459018.04,,300436.67,-129818.04,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL ,,,,,,,,,,,,,,
Capítulo ,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",,,,,,1663800.0,1672800.0,1615955.51,,1413344.35,56844.49,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,4200000,PARTICIPACION TRIBUTOS DE ESTADO,,,,,,20000.0,20000.0,22991.43,,22991.43,-2991.43,
,,,,,,,,,,,,,,
1,4209000,SUBV. GASTOS FUNCIONAM. JUZGADO PAZ,,,,,,1900.0,1900.0,1549.61,,1162.2,350.39,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,42,DE LA ADMINISTRACIÓN DEL ESTADO.,,,,,21900.0,21900.0,24541.04,,24153.63,-2641.04,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,4500000,FONDO HACIENDAS LOCALES,,,,,,3733000.0,3733000.0,3729338.44,,3729338.44,3661.56,
,,,,,,,,,,,,,,
1,4500200,SUBV EMPLEO SOCIAL PROTEGIDO,,,,,,225000.0,225000.0,166231.46,,160125.45,58768.54,
,,,,,,,,,,,,,,
1,4500201,SUBV. GASTOS FUNCIONAM SSB,,,,,,230000.0,230000.0,235088.05,,169701.61,-5088.05,
,,,,,,,,,,,,,,
1,4500202,SUBV ATENCION DOMICILIARIA DEPENDENCIA,,,,,,36000.0,36000.0,32433.75,,32433.75,3566.25,
,,,,,,,,,,,,,,
1,4500204,SUBVENCION TECNICA IGUALDAD,,,,,,15000.0,15000.0,17578.75,,330.26,-2578.75,
,,,,,,,,,,,,,,
1,4500205,SUBVENCION DPTO. AYUDAS EMERGENCIA,,,,,,58000.0,58000.0,49397.79,,0.0,8602.21,
,,,,,,,,,,,,,,
1,4503000,SUBV. GASTOS FUNCIONAM CENTROS 0-3,,,,,,252000.0,252000.0,306164.65,,244931.72,-54164.65,
,,,,,,,,,,,,,,
1,4503001,SUBV.GASTOS FUNCIONAM ESCUELA MUSICA,,,,,,63000.0,63000.0,72120.63,,36060.32,-9120.63,
,,,,,,,,,,,,,,
1,4508001,SUBV.  MONTEPIOS FUNCIONARIOS,,,,,,200000.0,200000.0,221740.93,,221740.93,-21740.93,
,,,,,,,,,,,,,,
1,4508002,SUBV. GASTOS FUNCIONAM CONSULTORIO,,,,,,20000.0,20000.0,19240.77,,19240.77,759.23,
,,,,,,,,,,,,,,
1,4508003,SUBV. ACTIV DEPARTAMENTO SALUD,,,,,,5000.0,5000.0,13821.0,,13821.0,-8821.0,
,,,,,,,,,,,,,,
1,4508004,SUBV. ACTIVIDADES CULTURA,,,,,,5500.0,5500.0,17697.4,,0.0,-12197.4,
,,,,,,,,,,,,,,
1,4508005,SUBVENCION RETRIBUCIONES CARLOS ELECTOS,,,,,,83500.0,83500.0,85096.17,,85096.17,-1596.17,
,,,,,,,,,,,,,,
1,4508006,SUBVENCION ACTIVIDADES EUSKERA,,,,,,15000.0,15000.0,15397.57,,0.0,-397.57,
,,,,,,,,,,,,,,
1,4508007,SUBVENCION ACTIVIDADES IGUALDAD,,,,,,6000.0,6000.0,7000.0,,0.0,-1000.0,
,,,,,,,,,,,,,,
1,4508008,SUBVENCION ACTIVIDADES JUVENTUD,,,,,,1500.0,1500.0,4759.39,,0.0,-3259.39,
,,,,,,,,,,,,,,
1,4508009,SUBVENCION PARTICIPACION CIUDADANA,,,,,,0.0,0.0,6000.0,,0.0,-6000.0,
,,,,,,,,,,,,,,
1,4508010,SUBVENCIONES ACTIVIDADES DEPORTIVAS,,,,,,0.0,0.0,2553.66,,2553.66,-2553.66,
,,,,,,,,,,,,,,
1,4511000,SUBVENCION CONTRATACION SNE,,,,,,38000.0,38000.0,40200.0,,40200.0,-2200.0,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,45,DE LA COMUNIDAD FORAL DE NAVARRA Y DE OT,,,,,4986500.0,4986500.0,5041860.41,,4755574.08,-55360.41,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,4700000,INDEMNIZACIONES SEGUROS SINIESTROS,,,,,,5000.0,5000.0,6500.41,,6500.41,-1500.41,
,,,,,,,,,,,,,,
1,4700001,COFINANCIACION CAIXA Y OTROS,,,,,,5000.0,5000.0,0.0,,0.0,5000.0,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,47,DE EMPRESAS PRIVADAS.,,,,,10000.0,10000.0,6500.41,,6500.41,3499.59,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL ,,,,,,,,,,,,,,
Capítulo ,4,TRANSFERENCIA CORRIENTES.,,,,,,5018400.0,5018400.0,5072901.86,,4786228.12,-54501.86,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,5200000,INTERESES DE CUENTAS BANCARIAS,,,,,,600.0,600.0,0.0,,0.0,600.0,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,52,INTERESES DE DEPÓSITOS.,,,,,600.0,600.0,0.0,,0.0,600.0,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,5340000,TRANSFERENCIA ANDACELAY INVERSIONES,,,,,,532000.0,3239000.0,0.0,,0.0,3239000.0,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,53,DIVIDENDOS Y PARTICIPACIÓN BENEFICIOS.,,,,,532000.0,3239000.0,0.0,,0.0,3239000.0,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,5440000,REVISION CENSO ELECTORAL,,,,,,300.0,300.0,251.29,,251.29,48.71,
,,,,,,,,,,,,,,
1,5490000,ARRENDAMIENTO GESTION POLID.OLAZ,,,,,,50000.0,50000.0,42823.61,,0.0,7176.39,
,,,,,,,,,,,,,,
1,5490001,ARRENDAMIENTO GESION POLID.SARRIGUREN,,,,,,52000.0,52000.0,43217.6,,0.0,8782.4,
,,,,,,,,,,,,,,
1,5490002,ARRENDAMIENTO BAR RESTAURANTE CDS,,,,,,4200.0,4200.0,6309.0,,4206.0,-2109.0,
,,,,,,,,,,,,,,
1,5490003,INGRESOS CONCESION MUPIS,,,,,,1500.0,1500.0,302.5,,302.5,1197.5,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,54,RENTAS DE BIENES INMUEBLES.,,,,,108000.0,108000.0,92904.0,,4759.79,15096.0,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,5500000,CANON CONCESION ADMTIVA MARISTAS,,,,,,28000.0,28000.0,28147.25,,28147.25,-147.25,
,,,,,,,,,,,,,,
1,5542000,ARRIENDO PARCELAS COMUNALES USTARROZ,,,,,,8400.0,8400.0,8445.83,,8445.83,-45.83,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,55,PRODUCTOS DE CONCESIONES Y APROVECHAMIEN,,,,,36400.0,36400.0,36593.08,,36593.08,-193.08,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,5990000,VENTA DE GIGANTES DE GOMA,,,,,,1000.0,1000.0,2747.49,,2747.49,-1747.49,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,59,OTROS INGRESOS PATRIMONIALES.,,,,,1000.0,1000.0,2747.49,,2747.49,-1747.49,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL ,,,,,,,,,,,,,,
Capítulo ,5,INGRESOS PATRIMONIALES Y APROVECHAMIENTO,,,,,,678000.0,3385000.0,132244.57,,44100.36,3252755.43,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,6190000,SUBASTA VEHICULOS,,,,,,1000.0,1000.0,0.0,,0.0,1000.0,
,,,,,,,,,,,,,,
1,6190001,SUBASTA LUMINARIAS ALUMBRADO PUBLICO,,,,,,48000.0,48000.0,0.0,,0.0,48000.0,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,61,DE LAS DEMÁS INVERSIONES REALES.,,,,,49000.0,49000.0,0.0,,0.0,49000.0,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL ,,,,,,,,,,,,,,
Capítulo ,6,ENAJENACIÓN DE INVERSIONES REALES.,,,,,,49000.0,49000.0,0.0,,0.0,49000.0,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,7506000,CONVENIO SUBVENCION PMU,,,,,,56000.0,56000.0,0.0,,0.0,56000.0,
,,,,,,,,,,,,,,
1,7508000,SUBVENCION AYUDAS FORESTALES,,,,,,18000.0,18000.0,22660.46,,0.0,-4660.46,
,,,,,,,,,,,,,,
1,7508001,SUBVENCION NUEVA CASA CULTURA,,,,,,0.0,265000.0,0.0,,0.0,265000.0,
,,,,,,,,,,,,,,
1,7508002,SUBVENCION AGENDA LOCAL 21,,,,,,0.0,0.0,2456.3,,2456.3,-2456.3,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,75,DE LA COMUNIDAD FORAL DE NAVARRA Y DE OT,,,,,74000.0,339000.0,25116.76,,2456.3,313883.24,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,7620000,SUBVENCION COLABORACION AYTO ARANGUREN,,,,,,0.0,0.0,33684.79,,33684.79,-33684.79,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,76,DE ENTIDADES LOCALES.,,,,,0.0,0.0,33684.79,,33684.79,-33684.79,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,7730000,SUSTITUCION EQUIV. METALICO APROV.URBANI,,,,,,0.0,0.0,173108.54,,173108.54,-173108.54,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,77,DE EMPRESAS PRIVADAS Y OTROS INGRESOS DE,,,,,0.0,0.0,173108.54,,173108.54,-173108.54,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL ,,,,,,,,,,,,,,
Capítulo ,7,TRANSFERENCIAS DE CAPITAL.,,,,,,74000.0,339000.0,231910.09,,209249.63,107089.91,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,8700000,REMANENTE TESORIA PARA GASTOS GENERALES,,,,,,0.0,4186072.37,0.0,,0.0,4186072.37,
,,,,,,,,,,,,,,
1,8701000,REMANENTE TESORERIA PARA GTOS.F AFECTADA,,,,,,0.0,835646.54,0.0,,0.0,835646.54,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL Artículo ,,87,REMANENTE DE TESORERÍA.,,,,,0.0,5021718.91,0.0,,0.0,5021718.91,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL ,,,,,,,,,,,,,,
Capítulo ,8,ACTIVOS FINANCIEROS.,,,,,,0.0,5021718.91,0.0,,0.0,5021718.91,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL ,1,AYUNTAMIENTO,,,,,,12118300.0,20606618.91,12983824.5,,10579209.72,7622794.41,
Orgánico ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
T O T A L   P R E S U P U E S T O :,,,,,,,,12118300.0,20606618.91,,12983824.5,10579209.72,7622794.41,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Fecha de impresión ,,43424.0,0.441840277778,,,,,,,,,,,Página -1 de 1
