#DESCRIPCIÓN FUNCIONAL ,CÓDIGO FUNCIONAL,CÓDIGO ECONÓMICO,FECHA,TERCERO,f,g,DESCRIPCIÓN,IMPORTE PAGO
Promoción cultural                      ,3340,22200,2018-01-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO DICIEMBRE                                                                                                                                                       ,5.82
Escuelas de música                      ,3261,22100,2018-01-05,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ DICIEMBRE                                                                                                                                                                 ,483.41
Escuelas infantiles                     ,3231,22100,2018-01-05,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ DICIEMBRE                                                                                                                                                                 ,1024.05
Parques y jardines                      ,1710,22100,2018-01-05,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ DICIEMBRE                                                                                                                                                                 ,1026.36
Promoción y fomento del deporte.        ,3410,22100,2018-01-05,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ DICIEMBRE                                                                                                                                                                 ,1292.23
Otros servicios comunitarios y sociales ,2399,22100,2018-01-05,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ DICIEMBRE                                                                                                                                                                 ,1377.98
Bibliotecas públicas.                   ,3321,22100,2018-01-05,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ DICIEMBRE                                                                                                                                                                 ,1403.27
Administración General.                 ,9200,22100,2018-01-05,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ DICIEMBRE                                                                                                                                                                 ,2737.29
Funcionamiento de centros docentes de en,3232,22100,2018-01-05,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ DICIEMBRE                                                                                                                                                                 ,2829.27
Alumbrado público.                      ,1650,22100,2018-01-05,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ DICIEMBRE                                                                                                                                                                 ,25832.73
Alumbrado público.                      ,1650,22100,2018-01-05,IBERDROLA COMERCIALIZADORA ULTIMO                                                         ,RECURSO SAU                             ,,GASTO LUZ DICIEMBRE                                                                                                                                                                 ,3014.62
Promoción cultural                      ,3340,21200,2018-01-05,POTO                                                                                      ,RAMIREZ                                 ,DANIEL                        ,MOQUETA SALA ERRIZAR(APROB 16/02)                                                                                                                                                   ,229.42
Servicio Social de Base                 ,2311,21400,2018-01-09,REVISIONES DE NAVARRA S.A.                                                                ,,,ITV NISSAN CABSTAR JARDINES Y FORD TRANSIT SSB                                                                                                                                      ,37.15
Otros servicios de bienestar comunitario,1690,21300,2018-01-09,REVISIONES DE NAVARRA S.A.                                                                ,,,ITV NISSAN CABSTAR JARDINES Y FORD TRANSIT SSB                                                                                                                                      ,37.16
Escuelas infantiles                     ,3231,22200,2018-01-10,TELEFONICA MOVILES                                                                        ,,,GASTO MOVIL ENERO                                                                                                                                                                   ,5.85
Escuelas de música                      ,3261,22200,2018-01-10,TELEFONICA MOVILES                                                                        ,,,GASTO MOVIL ENERO                                                                                                                                                                   ,24
Promoción y fomento del deporte.        ,3410,22200,2018-01-10,TELEFONICA MOVILES                                                                        ,,,GASTO MOVIL ENERO                                                                                                                                                                   ,26.91
Parques y jardines                      ,1710,21000,2018-01-10,TELEFONICA MOVILES                                                                        ,,,GASTO MOVIL ENERO                                                                                                                                                                   ,30.25
Consultorios y centros de salud         ,3121,22200,2018-01-10,TELEFONICA MOVILES                                                                        ,,,GASTO MOVIL ENERO                                                                                                                                                                   ,32.47
Policía Local                           ,1321,22200,2018-01-10,TELEFONICA MOVILES                                                                        ,,,GASTO MOVIL ENERO                                                                                                                                                                   ,39.76
Órganos de gobierno.                    ,9120,22200,2018-01-10,TELEFONICA MOVILES                                                                        ,,,GASTO MOVIL ENERO                                                                                                                                                                   ,50.82
Funcionamiento de centros docentes de en,3232,22200,2018-01-10,TELEFONICA MOVILES                                                                        ,,,GASTO MOVIL ENERO                                                                                                                                                                   ,57.91
Alumbrado público.                      ,1650,21900,2018-01-10,TELEFONICA MOVILES                                                                        ,,,GASTO MOVIL ENERO                                                                                                                                                                   ,64.31
Promoción cultural                      ,3340,22200,2018-01-10,TELEFONICA MOVILES                                                                        ,,,GASTO MOVIL ENERO                                                                                                                                                                   ,82.6
Parques y jardines                      ,1710,22200,2018-01-10,TELEFONICA MOVILES                                                                        ,,,GASTO MOVIL ENERO                                                                                                                                                                   ,95.48
Otros servicios de bienestar comunitario,1690,22200,2018-01-10,TELEFONICA MOVILES                                                                        ,,,GASTO MOVIL ENERO                                                                                                                                                                   ,179.95
Administración General.                 ,9200,22200,2018-01-10,TELEFONICA MOVILES                                                                        ,,,GASTO MOVIL ENERO                                                                                                                                                                   ,211.43
Servicio Social de Base                 ,2311,22200,2018-01-10,TELEFONICA MOVILES                                                                        ,,,GASTO MOVIL ENERO                                                                                                                                                                   ,216.5
Órganos de gobierno.                    ,9120,22200,2018-01-10,TELEFONICA MOVILES                                                                        ,,,GASTO MOVIL ENERO                                                                                                                                                                   ,232.79
"Urbanismo: planeamiento, gestión, ejecuc",1510,60900,2018-01-16,ACEINSA MOVILIDAD SA                                                                      ,,,"69 SEÑA CUADR 600, 73 SEÑAL HITO CIUDAD COLOCADO MES DICIEMBRE                                                                                                                      ",4782.94
Escuelas de música                      ,3261,22199,2018-01-16,ADAGIO SL                                                                                 ,,,COMPRA MATERIAL DIDACTIO ESCUELA MUSICA                                                                                                                                             ,1499.96
Parques y jardines                      ,1710,22799,2018-01-16,ADAXKA S.L.                                                                               ,,,GESTION HUERTOS ECOLOGICOS DICIEMBRE                                                                                                                                                ,1394.53
Bibliotecas públicas.                   ,3321,62900,2018-01-16,AGULLO                                                                                    ,DIAZ                                    ,MARIA DEL CARMEN              ,"REDACCION CAPITULO LIBRO HERMANAS URIZ:""JOSEFA URIZ; DE DICTADURA EN DICTADURA, DE SANCION EN SANCION""                                                                              ",1250
Euskera                                 ,3350,22799,2018-01-16,AISE LIBURUAK                                                                             ,,,"EXPOSICION Y CHARLA SOBRE EUSKERA ""EUSKARA OSPELETIK EGUTERA"" 27/11-01/12 OIHANBURU                                                                                                 ",1573
Servicio Social de Base                 ,2311,22105,2018-01-16,ALAIZ                                                                                     ,,,CAMPAÑA CONSUMO RESPONSABLE 8 H A 75€ CESTA BASICA                                                                                                                                  ,600
Promoción y fomento del deporte.        ,3410,63201,2018-01-16,"ALUMINIOS IZA, S.L.                                                                       ",,,CAMBIO PUERTA ACCESO A FRONTON EN INST. DEPORTIVAS OLAZ                                                                                                                             ,2554
Promoción y fomento del deporte.        ,3410,22740,2018-01-16,ANDACELAY S.L.                                                                            ,,,LIMPIEZA DE EDIFICIOS MUNICIPALES DICIEMBRE                                                                                                                                         ,68.1
Promoción cultural                      ,3340,22606,2018-01-16,ANDACELAY S.L.                                                                            ,,,LIMPIEZA DE EDIFICIOS MUNICIPALES DICIEMBRE                                                                                                                                         ,68.1
Desarrollo empresarial.                 ,4330,44900,2018-01-16,ANDACELAY S.L.                                                                            ,,,LIMPIEZA DE EDIFICIOS MUNICIPALES DICIEMBRE                                                                                                                                         ,410.64
Otros servicios de bienestar comunitario,1690,44900,2018-01-16,ANDACELAY S.L.                                                                            ,,,LIMPIEZA DE EDIFICIOS MUNICIPALES DICIEMBRE                                                                                                                                         ,602.45
Bibliotecas públicas.                   ,3321,44900,2018-01-16,ANDACELAY S.L.                                                                            ,,,LIMPIEZA DE EDIFICIOS MUNICIPALES DICIEMBRE                                                                                                                                         ,646.62
Parques y jardines                      ,1710,44900,2018-01-16,ANDACELAY S.L.                                                                            ,,,LIMPIEZA DE EDIFICIOS MUNICIPALES DICIEMBRE                                                                                                                                         ,742.9
Promoción y fomento del deporte.        ,3410,44900,2018-01-16,ANDACELAY S.L.                                                                            ,,,LIMPIEZA VESTUARIOS CP LIZARRAGA DICIEMBRE  2017                                                                                                                                    ,804.47
Escuelas de música                      ,3261,44900,2018-01-16,ANDACELAY S.L.                                                                            ,,,LIMPIEZA DE EDIFICIOS MUNICIPALES DICIEMBRE                                                                                                                                         ,1187.3
Otros servicios comunitarios y sociales ,2399,44900,2018-01-16,ANDACELAY S.L.                                                                            ,,,LIMPIEZA DE EDIFICIOS MUNICIPALES DICIEMBRE                                                                                                                                         ,1376.34
Consultorios y centros de salud         ,3121,44900,2018-01-16,ANDACELAY S.L.                                                                            ,,,LIMPIEZA DE EDIFICIOS MUNICIPALES DICIEMBRE                                                                                                                                         ,2348.8
Administración General.                 ,9200,44900,2018-01-16,ANDACELAY S.L.                                                                            ,,,LIMPIEZA DE EDIFICIOS MUNICIPALES DICIEMBRE                                                                                                                                         ,5731.79
Funcionamiento de centros docentes de en,3232,44900,2018-01-16,ANDACELAY S.L.                                                                            ,,,LIMPIEZA DE EDIFICIOS MUNICIPALES DICIEMBRE                                                                                                                                         ,19155.51
Otros servicios comunitarios y sociales ,2399,44901,2018-01-16,ANDACELAY S.L.                                                                            ,,,GESTION CAF DICIEMBRE                                                                                                                                                               ,37250.14
Escuelas infantiles                     ,3231,44900,2018-01-16,ANDACELAY S.L.                                                                            ,,,GESTION DE CENTROS 0 A 3 DICIEMBRE                                                                                                                                                  ,106535.79
Promoción de la igualdad efectiva entre ,2391,22699,2018-01-16,ARBURUA                                                                                   ,GOIENETXE                               ,ROSA                          ,CHARLA PASTORES VASCOS EN AMERICA EL 18 DIC                                                                                                                                         ,353
Parques y jardines                      ,1710,22199,2018-01-16,"ARTE VERDE NAVARRA, S.L                                                                   ",,,100 L SUSTRATO+4 SET ETIQUETAS PLANTAS EN HUERTAS COLEGIO                                                                                                                           ,49.37
Euskera                                 ,3350,22799,2018-01-16,ARTEMAN KOMUNIKAZIOA                                                                      ,,,IMPRESION+DISTRIBUCION INVITACION+MARCAPAGINAS PRESENTACION PLATAFORMA EUSKERA                                                                                                      ,153.66
"Urbanismo: planeamiento, gestión, ejecuc",1510,60900,2018-01-16,ASEOS PUBLICOS IBERICOS SL                                                                ,,,SUMINISTRO CABINA ASEO AUTOLIMPIABLE                                                                                                                                                ,43771.75
Servicio Social de Base                 ,2311,22002,2018-01-16,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,MANTENIMIENTO 3 SCANERS OAC+1 SCANER SSB                                                                                                                                            ,27.41
Administración General.                 ,9200,21600,2018-01-16,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,MANTENIMIENTO 3 SCANERS OAC+1 SCANER SSB                                                                                                                                            ,30.02
Administración General.                 ,9200,62600,2018-01-16,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,"ORDENADOR IMAC 27"" CON TECLADO PARA  ALCALDE                                                                                                                                        ",2140.83
Empleo social protegido                 ,2412,16200,2018-01-16,BEAUMONT                                                                                  ,HERNANDEZ                               ,ANA                           ,FORMACION HABILIDADES SOCIOLABORALES 16H A 110€  PERSONAL ESP                                                                                                                       ,1808.34
Promoción cultural                      ,3340,22750,2018-01-16,BELEN ALVAREZ DISTRIBUCION Y GESTION DE                                                   ,,,ESPECTACULO PINOCHO STORY 26/12                                                                                                                                                     ,605
Promoción cultural                      ,3340,22750,2018-01-16,BELEN ALVAREZ DISTRIBUCION Y GESTION DE                                                   ,,,ESPECTACULO EL ARBOL DE LA VIDA 30/12                                                                                                                                               ,1936
Servicio Social de Base                 ,2311,22000,2018-01-16,CANON COPIADORAS DE NAVARRA S.L.                                                          ,,,3129 COPIAS B/N+1627 COLOR SSB 10/11-18/12 (FIN 417895-4869-2                                                                                                                       ,131.37
Policía Local                           ,1321,16200,2018-01-16,COMITE NAVARRO JUECES ATLETISMO                                                           ,,,10 HORAS Y 4 JUECES PRUEBAS FISICAS OPE PM                                                                                                                                          ,425
Servicio Social de Base                 ,2311,22103,2018-01-16,"COMPAÑIA ESPAÑOLA DE PETROLEOS, SAU                                                       ",,,2222 LT GASOLEO SM+900 LT JARDINES                                                                                                                                                  ,106.74
Administración General.                 ,9200,22103,2018-01-16,"COMPAÑIA ESPAÑOLA DE PETROLEOS, SAU                                                       ",,,2222 LT GASOLEO SM+900 LT JARDINES                                                                                                                                                  ,106.74
Policía Local                           ,1321,22103,2018-01-16,"COMPAÑIA ESPAÑOLA DE PETROLEOS, SAU                                                       ",,,2222 LT GASOLEO SM+900 LT JARDINES                                                                                                                                                  ,320.21
Parques y jardines                      ,1710,22103,2018-01-16,"COMPAÑIA ESPAÑOLA DE PETROLEOS, SAU                                                       ",,,2222 LT GASOLEO SM+900 LT JARDINES                                                                                                                                                  ,864.66
Otros servicios de bienestar comunitario,1690,22103,2018-01-16,"COMPAÑIA ESPAÑOLA DE PETROLEOS, SAU                                                       ",,,2222 LT GASOLEO SM+900 LT JARDINES                                                                                                                                                  ,1601.08
Escuelas infantiles                     ,3231,20200,2018-01-16,CONSTRUCCIONES JUAN BAUTISTA FLORES S.A.                                                  ,,,ALQUILER LOCAL CENTRO 0-3 EGUES II                                                                                                                                                  ,1626.75
Administración General.                 ,9200,21200,2018-01-16,CONSULTORIA NAVARRA DE TELECOMUNICACIONE                                                  ,"S, S.L.                                 ",CONATEL                       ,ALTA LINEA TELEFONO ESTIBALIZ LOPEZ TECNICA PARTICIPACION                                                                                                                           ,206.4
Administración General.                 ,9200,21200,2018-01-16,CONSULTORIA NAVARRA DE TELECOMUNICACIONE                                                  ,"S, S.L.                                 ",CONATEL                       ,AMPLIACION DE CABLEADO Y TELEFONO PARA DEPENDENCIAS ESP Y BANCO ALIMENTOS (RED SOTANOS)                                                                                             ,2429.53
Parques y jardines                      ,1710,60900,2018-01-16,CONTRATAS ANCAR SL                                                                        ,,,ACTUACIONES DE DESBROCE  NO SUBVENCIONABLES 2º CERTIFICACIION                                                                                                                       ,434.76
Parques y jardines                      ,1710,60900,2018-01-16,CONTRATAS ANCAR SL                                                                        ,,,ACTUACIONES DE DESBROCE  SUBVENCIOONABLES (EN 2018) 2º CERTIFICACION                                                                                                                ,9968.08
Promoción cultural                      ,3340,22602,2018-01-16,CRISTALERIA EUSKALVIDRIO SLU                                                              ,,,REPOSICION CRISTALES MUPI MARISTAS                                                                                                                                                  ,501.09
"Urbanismo: planeamiento, gestión, ejecuc",1510,60000,2018-01-16,DE GREGORIO                                                                               ,GARCIA                                  ,ANA ELISA                     ,REGISTRO PROPIEDAD PERMUTA NASUVINSA PUEVLO VIEJO Y PARC SALESIANOS                                                                                                                 ,863.02
Servicio Social de Base                 ,2311,22799,2018-01-16,DE LA TORRE VERDEJO                                                                       ,JIMENEZ                                 ,EKHIÑE                        ,8 PARES DE ZAPATOS RECEPCION NIÑOS UCRANIANOS                                                                                                                                       ,416.51
Parques y jardines                      ,1710,21000,2018-01-16,DENDA BRICOLAJE S.L.                                                                      ,,,ARQUETA+TUBO+CODO+ENLACE PARA JARDINES                                                                                                                                              ,199.5
Parques y jardines                      ,1710,21000,2018-01-16,DENDA BRICOLAJE S.L.                                                                      ,,,"TUBO POLIETILENO 50MT,ENLACES ROSCAS CONECTOR RIEGO JARDINES                                                                                                                        ",260.07
Administración General.                 ,9200,22601,2018-01-16,DIARIO DE NAVARRA                                                                         ,,,ESQUELA ANTIGUA ALCALDESA (26/12)+MODIF PLAN SARRIGUREN (22/12)                                                                                                                     ,235.95
Administración General.                 ,9200,22602,2018-01-16,DIARIO DE NAVARRA                                                                         ,,,ESQUELA ANTIGUA ALCALDESA (26/12)+MODIF PLAN SARRIGUREN (22/12)                                                                                                                     ,598.95
Administración General.                 ,9200,22601,2018-01-16,DIARIO DE NOTICIAS                                                                        ,,,ESQUELA ANTIGUA ALCALDESA (26/12)+MODIF PLAN SARRIGUREN (22/12)                                                                                                                     ,196.02
Administración General.                 ,9200,22602,2018-01-16,DIARIO DE NOTICIAS                                                                        ,,,ESQUELA ANTIGUA ALCALDESA (26/12)+MODIF PLAN SARRIGUREN (22/12)                                                                                                                     ,559.02
Promoción cultural                      ,3340,22750,2018-01-16,DIEZ DE ULZURRUN                                                                          ,SAGALA                                  ,ENRIQUE                       ,TRADUCCION FOLLETO NAVIDAD+CONCURSO PROM COMERCIAL+3 CONVOCAT. AYUDAS EMPLEO                                                                                                        ,43.56
Euskera                                 ,3350,22799,2018-01-16,DIEZ DE ULZURRUN                                                                          ,SAGALA                                  ,ENRIQUE                       ,TRADUCCION FOLLETO NAVIDAD+CONCURSO PROM COMERCIAL+3 CONVOCAT. AYUDAS EMPLEO                                                                                                        ,43.56
Promoción y fomento del deporte.        ,3410,22740,2018-01-16,DIEZ DE ULZURRUN                                                                          ,SAGALA                                  ,ENRIQUE                       ,TRADUCCION FOLLETO NAVIDAD+CONCURSO PROM COMERCIAL+3 CONVOCAT. AYUDAS EMPLEO                                                                                                        ,43.56
Empleo social protegido                 ,2419,22706,2018-01-16,DIEZ DE ULZURRUN                                                                          ,SAGALA                                  ,ENRIQUE                       ,TRADUCCION FOLLETO NAVIDAD+CONCURSO PROM COMERCIAL+3 CONVOCAT. AYUDAS EMPLEO                                                                                                        ,623.63
Administración General.                 ,9200,22000,2018-01-16,"DINAFAX, S.L.                                                                             ",,,7.821 COPIAS BN IMPRESORA PLANTA 2 (FIN 460421) 25/10-20/12 URBANISMO                                                                                                               ,85.17
Funcionamiento de centros docentes de en,3232,21200,2018-01-16,DISNAVAL S.L.                                                                             ,,,"9KG PINT.PUERTA FRONTON OLAZ,5KG PINT SOTANO POLICIA,PINT.SUELO CP LIZARRAGA                                                                                                        ",36.58
Promoción y fomento del deporte.        ,3410,21200,2018-01-16,DISNAVAL S.L.                                                                             ,,,"9KG PINT.PUERTA FRONTON OLAZ,5KG PINT SOTANO POLICIA,PINT.SUELO CP LIZARRAGA                                                                                                        ",119.9
Policía Local                           ,1321,21400,2018-01-16,DISNAVAL S.L.                                                                             ,,,1 NEUMATICO+EQUILIBRADO VEHICULO PM  TOYOTA 1071JTX                                                                                                                                 ,162.99
Administración General.                 ,9200,21200,2018-01-16,DISNAVAL S.L.                                                                             ,,,"9KG PINT.PUERTA FRONTON OLAZ,5KG PINT SOTANO POLICIA,PINT.SUELO CP LIZARRAGA                                                                                                        ",174.88
Promoción cultural                      ,3340,22750,2018-01-16,ECHARRI MATEO CRISTINA Y MORIONES GONZAL                                                  ,EZ MARIA ARANZAZU                       ,,700 BOLSAS NAVIDEÑAS PARA CABALGATA REYES                                                                                                                                           ,840.01
Policía Local                           ,1321,21400,2018-01-16,EGEA                                                                                      ,OLANO                                   ,JESUS MARIA                   ,4 NEUMATICOS NISSAN CABSTAR JARDINES+2 NEUMATICOS TOYOTA PM                                                                                                                         ,317.6
Parques y jardines                      ,1710,21400,2018-01-16,EGEA                                                                                      ,OLANO                                   ,JESUS MARIA                   ,4 NEUMATICOS NISSAN CABSTAR JARDINES+2 NEUMATICOS TOYOTA PM                                                                                                                         ,340.35
Desarrollo empresarial.                 ,4330,21000,2018-01-16,ENTIDAD URBANISTICA DE CONSERVACION                                                       ,CIUDAD DE LA INNOVACION                 ,,CUOTA MANTENIMIENTO CIUDAD INNOVA 10.3. 3º CUATRIMESTRE                                                                                                                             ,464.22
Desarrollo empresarial.                 ,4330,21000,2018-01-16,ENTIDAD URBANISTICA DE CONSERVACION                                                       ,CIUDAD DE LA INNOVACION                 ,,CUOTA MANTENIMIENTO CIUDAD INNOVA 10.6. 3º CUATRIMESTRE                                                                                                                             ,484.21
Desarrollo empresarial.                 ,4330,21000,2018-01-16,ENTIDAD URBANISTICA DE CONSERVACION                                                       ,CIUDAD DE LA INNOVACION                 ,,CUOTA MANTENIMIENTO CIUDAD INNOVA 10.5. 3º CUATRIMESTRE                                                                                                                             ,1170.53
Promoción cultural                      ,3340,22606,2018-01-16,ERASO                                                                                     ,FERNANDEZ                               ,ELENA                         ,4 SESIONES CURSO ESTIMULACION PARA BEBES DICIEMBRE                                                                                                                                  ,217.8
Funcionamiento de centros docentes de en,3232,21200,2018-01-16,EXTINIRUÑA S.L.                                                                           ,,,ANULACION PULSADOR POR FALSAS ALARMAS CP LIZARRAGA                                                                                                                                  ,30.54
